alcaldia,periodo,accidentes_ciclistas,victimas_ciclistas
Alvaro Obregon,2023-02,1,1
Alvaro Obregon,2023-04,1,1
Alvaro Obregon,2023-05,1,0
Alvaro Obregon,2023-06,3,3
Alvaro Obregon,2023-07,1,1
Alvaro Obregon,2023-11,1,1
Alvaro Obregon,2024-01,1,1
Alvaro Obregon,2024-03,3,3
Alvaro Obregon,2024-07,1,1
Alvaro Obregon,2025-02,1,1
Alvaro Obregon,2025-04,1,1
Azcapotzalco,2023-01,1,1
Azcapotzalco,2023-07,2,1
Azcapotzalco,2023-09,2,2
Azcapotzalco,2023-11,1,1
Azcapotzalco,2023-12,2,2
Azcapotzalco,2024-02,1,1
Azcapotzalco,2024-03,1,1
Azcapotzalco,2024-05,1,1
Azcapotzalco,2024-07,1,1
Azcapotzalco,2024-11,1,1
Azcapotzalco,2024-12,1,1
Azcapotzalco,2025-02,1,1
Azcapotzalco,2025-11,1,1
Benito Juarez,2023-01,1,1
Benito Juarez,2023-02,3,2
Benito Juarez,2023-03,6,4
Benito Juarez,2023-04,4,1
Benito Juarez,2023-05,2,2
Benito Juarez,2023-06,1,1
Benito Juarez,2023-07,1,1
Benito Juarez,2023-09,1,0
Benito Juarez,2023-10,3,3
Benito Juarez,2023-11,2,0
Benito Juarez,2023-12,2,2
Benito Juarez,2024-04,3,1
Benito Juarez,2024-05,1,0
Benito Juarez,2024-06,3,1
Benito Juarez,2024-09,1,1
Benito Juarez,2024-10,1,0
Benito Juarez,2025-01,2,1
Benito Juarez,2025-03,2,2
Benito Juarez,2025-04,1,1
Benito Juarez,2025-08,3,3
Benito Juarez,2025-11,1,0
Coyoacan,2023-02,1,0
Coyoacan,2023-03,1,0
Coyoacan,2023-06,1,1
Coyoacan,2023-10,2,1
Coyoacan,2023-11,2,1
Coyoacan,2024-04,3,3
Coyoacan,2024-09,2,2
Coyoacan,2024-10,2,2
Coyoacan,2024-12,1,0
Coyoacan,2025-02,1,1
Coyoacan,2025-03,1,0
Coyoacan,2025-04,1,0
Coyoacan,2025-05,1,1
Cuauhtemoc,2023-01,2,1
Cuauhtemoc,2023-02,2,2
Cuauhtemoc,2023-03,2,2
Cuauhtemoc,2023-05,1,1
Cuauhtemoc,2023-07,4,2
Cuauhtemoc,2023-08,5,4
Cuauhtemoc,2023-09,4,2
Cuauhtemoc,2023-10,2,1
Cuauhtemoc,2023-11,3,2
Cuauhtemoc,2023-12,1,0
Cuauhtemoc,2024-01,5,1
Cuauhtemoc,2024-02,3,1
Cuauhtemoc,2024-03,4,3
Cuauhtemoc,2024-04,2,1
Cuauhtemoc,2024-05,2,2
Cuauhtemoc,2024-06,4,3
Cuauhtemoc,2024-07,2,0
Cuauhtemoc,2024-09,3,2
Cuauhtemoc,2024-10,1,1
Cuauhtemoc,2024-12,2,0
Cuauhtemoc,2025-01,5,3
Cuauhtemoc,2025-02,4,2
Cuauhtemoc,2025-03,2,2
Cuauhtemoc,2025-04,2,2
Cuauhtemoc,2025-06,1,0
Cuauhtemoc,2025-07,1,1
Cuauhtemoc,2025-08,1,1
Cuauhtemoc,2025-09,5,4
Cuauhtemoc,2025-10,3,1
Cuauhtemoc,2025-11,3,1
Cuauhtemoc,2025-12,4,3
Miguel Hidalgo,2023-02,1,1
Miguel Hidalgo,2023-03,2,2
Miguel Hidalgo,2023-06,1,1
Miguel Hidalgo,2023-07,1,1
Miguel Hidalgo,2023-08,1,1
Miguel Hidalgo,2023-10,1,1
Miguel Hidalgo,2023-11,1,1
Miguel Hidalgo,2023-12,1,1
Miguel Hidalgo,2024-02,1,1
Miguel Hidalgo,2024-05,1,1
Miguel Hidalgo,2024-09,2,2
Miguel Hidalgo,2024-10,1,0
Miguel Hidalgo,2024-11,1,1
Miguel Hidalgo,2024-12,1,1
Miguel Hidalgo,2025-03,1,1
Miguel Hidalgo,2025-09,1,1
Miguel Hidalgo,2025-10,2,2
Miguel Hidalgo,2025-12,3,2
