horizon,model,n_splits,n_zones_per_split,origin_min,origin_max,n_predictions,MAE,RMSE,sMAPE,R2,directional_accuracy
1,persistence,18,106,2025-01,2026-07,1908,1789.7389937106918,3737.4927654656076,7.130495280774546,0.9938174534749779,0.0
1,seasonal_naive,18,106,2025-01,2026-07,1908,4177.470125786163,9296.662704587712,12.57166220775865,0.9617474121906121,0.5807127882599581
1,theil_sen,18,106,2025-01,2026-07,1908,7050.122004595306,14372.084311022538,17.98518465556457,0.908578954350632,0.46750524109014674
3,persistence,18,106,2024-11,2026-05,1908,2567.720649895178,5525.569639236331,9.425466294826487,0.9864867196979427,0.0
3,seasonal_naive,18,106,2024-11,2026-05,1908,4177.470125786163,9296.662704587712,12.57166220775865,0.9617474121906121,0.6079664570230608
3,theil_sen,18,106,2024-11,2026-05,1908,9465.717265219522,18901.01316330817,23.551670378833037,0.8418836279534438,0.42452830188679247
6,persistence,17,106,2024-08,2026-02,1802,2515.4572697003327,5798.670354497933,8.6654739884288,0.9849235242659663,0.0
6,seasonal_naive,17,106,2024-08,2026-02,1802,4133.488346281909,9294.900311114838,12.427759238342315,0.9612624219186731,0.5033296337402886
6,theil_sen,17,106,2024-08,2026-02,1802,13426.533036218594,26152.911469261897,32.34255321306422,0.6933216772332791,0.316315205327414
12,persistence,16,106,2024-04,2025-08,1696,4372.823113207547,9746.083410314212,12.023037014092969,0.9563794316623652,0.0
12,seasonal_naive,16,106,2024-04,2025-08,1696,4372.823113207547,9746.083410314212,12.023037014092969,0.9563794316623652,0.0
12,theil_sen,16,106,2024-04,2025-08,1696,24706.358414754806,44895.20661205115,56.45752618295875,0.07438364204295511,0.20577830188679244
