colonia_ecobici,periodo,aperturas_denue
Algarin,2026-04,1
Anzures,2025-04,1
Buenavista,2026-04,1
Centro,2025-04,6
Centro,2026-04,10
Cuauhtemoc,2026-04,2
Doctores,2026-04,3
Florida,2026-04,1
Hipodromo Condesa,2026-04,1
Insurgentes Mixcoac,2026-04,1
Irrigacion,2026-04,1
Juarez,2026-04,1
Modelo Pensil,2026-04,1
Napoles,2025-04,1
Napoles,2026-04,2
Obrera,2025-04,1
Obrera,2026-04,5
Popotla,2026-04,1
Roma Norte,2026-04,3
Roma Sur,2026-04,1
San Angel,2025-04,1
San Jose Insurgentes,2026-04,1
Santa Maria la Ribera,2026-04,1
Tacuba,2026-04,1
