colonia_ecobici,establecimientos_bici,establecimientos_mensajeria,establecimientos_relacionados_total
Acacias,1,0,1
Actipan,1,0,1
Alamos,2,2,4
Algarin,0,3,3
Americas Unidas,0,1,1
Ampliacion Napoles,2,1,3
Anahuac,1,0,1
Anahuac I Seccion,2,1,3
Angel Zimbron,1,0,1
Anzures,2,7,9
Atlampa,0,2,2
Bosque de Chapultepec,1,0,1
Buenavista,2,2,4
Centro,141,62,203
Ciudad de los Deportes,0,2,2
Claveria,2,1,3
Condesa,1,3,4
Credito Constructor,0,1,1
Cuauhtemoc,5,7,12
Del Carmen,3,3,6
Del Recreo,0,2,2
Del Valle Centro,5,1,6
Del Valle Norte,4,4,8
Del Valle Sur,2,2,4
Del valle Centro,5,1,6
Doctores,4,6,10
Florida,1,4,5
Granada,1,3,4
Guadalupe Inn,3,2,5
Hipodromo,2,5,7
Hipodromo Condesa,1,3,4
Independencia,5,1,6
Insurgentes Mixcoac,3,2,5
Insurgentes San Borja,1,0,1
Irrigacion,0,4,4
Juarez,4,14,18
Letran Valle,2,0,2
Mariano Escobedo,3,0,3
Modelo Pensil,0,1,1
Molino del Rey,0,1,1
Napoles,0,5,5
Narvarte Poniente,3,9,12
Nueva Santa Maria,3,0,3
Obrera,6,12,18
Parque San Andres,0,2,2
Piedad Narvarte,1,0,1
Popotla,2,4,6
Portales Norte,5,2,7
Roma Norte,11,11,22
Roma Sur,8,5,13
San Alvaro,1,1,2
San Angel,3,2,5
San Diego Churubusco,0,2,2
San Jose Insurgentes,2,2,4
San Pedro de los Pinos,0,3,3
San Rafael,7,0,7
San Simon Ticumac,3,2,5
Santa Catarina,1,1,2
Santa Cruz Atoyac,2,1,3
Santa Maria la Ribera,4,8,12
Santo Tomas,1,0,1
Sector Naval,0,1,1
Tabacalera,0,3,3
Tacuba,2,1,3
Tlatilco,1,0,1
Tlaxpana,2,0,2
Veronica Anzures,1,1,2
Villa Coyoacan,0,1,1
Xoco,1,0,1
