periodo,archivo,rows,bytes,sha256
2023-01,2023-01.csv,586433,36066543,26e9a1820b3cd1b43c97e0dc8d98f9cd05d6cf7ebe0de03b959554c4dd467eb8
2023-02,2023-02.csv,664982,40887810,4d18f1d3dab3e049e4ce42c4872ecb4bfafdb3a1ac9814763d0b472cd0c333ce
2023-03,2023-03.csv,818034,50275032,30d9c373026d34cf2d00fff5e795db1a0488f86165d625454109b750627c4724
2023-04,2023-04.csv,813629,49988957,cbea4271b8e9bfc6c71645b94fd7b221f49bc7d52e49768317de218d60042f03
2023-05,2023-05.csv,945163,58080469,0a72ca0b04573a781e9697aaa919c86b00a057528bd5aae7a8ebe560960a0a8c
2023-06,2023-06.csv,1010000,62051320,98c435abff6f477363f71c5b4e4e0d3b97bf2531baea3a93e87952f530616078
2023-07,2023-07.csv,999713,61419211,1deba9bb64c7bd76ed535d99bd7764e310dd3f07561f16761f95183f2fd2e426
2023-08,2023-08.csv,1109195,68143405,ad5c3d0245caf9ebda8b0a1e3e2069c10daa12ea6062d3d7467c178e696c3407
2023-09,2023-09.csv,1189636,73083994,8a1024a245ab0a9b4786aff389ca12a6f57461ee2f2038afac8ace9022a0e94f
2023-10,2023-10.csv,1401780,86097704,8347e8b85ba33875605bdb322f01020abbf1c7e9c614c7238c74910bf64b27fb
2023-11,2023-11.csv,1410655,86631366,765813491e512217ac13ef7fab9fa334a75d4fdba43175f56b0697aa93477003
2023-12,2023-12.csv,1228328,75392721,b6d3f268bb85f51aac16d7d446ca51a9dfa9dec722434151cf7bb32347b99946
2024-01,2024-01.csv,1558100,95637391,3b1644b32b06bc66a3adbce4c421e448bc4026a4ca02b764d138385c5d07e7ac
2024-02,2024-02.csv,1699409,104293806,484e49edb28a4adfaa52fedbb8403ca60fc9e135408e6ddc7f806c4064acf7ec
2024-03,2024-03.csv,1829763,112271594,b1f07caa11ff995992d305ae3bff3ec982402ec6695955bde9ae37d5ab8a4404
2024-04,2024-04.csv,1961633,120387538,90b45b2f3bcaa5429e7bce548956ade513318a3f97de9f64a3e050d410fbc510
2024-05,2024-05.csv,2053563,126029842,90a005d7d5c2ee38f1cb71717d1ed7524ce7f855ae25faf509dbeecc56356910
2024-06,2024-06.csv,1893520,116218796,edbb6308c063a0fb4ed2a1b886b2e7b32c243d3924c0a7e92601b597e7ed50af
2024-07,2024-07.csv,1825650,112061684,d9bfbab794c893131d6e48a945f613215bdd9cca7a19109193e9bf2f3810ed56
2024-08,2024-08.csv,1891319,148214764,a39277136077c52eddb2556dc7ebb21caa083dac0b3b7791484525836c2176ea
2024-09,2024-09.csv,1852179,145164107,5627a7a5a81193b203ce1048f8a9ff48a574e41ff1fac8b4439310922b80c8f3
2024-11,2024-11.csv,1942474,119219928,4e5e4ad2b8ba6b0b19d55b0d0434f8322610987bd97aff587d26c415c202d609
2024-12,2024-12.csv,1680650,103047276,9b461a3d1a93f70d011664ab8361dbda4d9c98496ecc3f4c12b290b70e2bce11
2025-01,2025-01.csv,1809775,110988817,6b23c3d000856dabb72802eeb6cc84fdbbe0e5d104601950d690d9d1f21ef315
2025-02,2025-02.csv,1745620,107105837,f61d8be8138e1f6f922335b807626db6649d7936bc859ad22a889f2f1401bd87
2025-03,2025-03.csv,1832587,112443905,a7cd8385505b596f895976bfb42d78dc4204c1b620255972556a709b925ac9b5
2025-04,2025-04.csv,1727987,106058647,d4cb45a4280c486ce905bfa932b9562731356cb979112e7708d27ffac9a4fb66
2025-05,2025-05.csv,1778594,109082864,943aa9677b9440abd1a83fce52946c5909c6699f82e2870ed4bafcf2c051cdcd
2025-06,2025-06.csv,1578804,96821733,e1f6f5f07436aa03668811f1f7e0d00aeeff411eeafbb6cba3154c838e79841e
2025-07,2025-07.csv,1663896,102053921,0a8bf13ce0b0bf1ba395435a07178bf7ac4381773bd63bbd324bd7d82928d419
2025-08,2025-08.csv,1610967,98785437,9be378627a1b4244a98d357c4d9c7a74570566b5598449b2e86b1cff74d5e72d
2025-09,2025-09.csv,1586508,97279076,ea5bafb251c93265a759fc2ce3d43b136d4fa75938af528c81b89a72ba5183c2
2025-10,2025-10.csv,1754353,107575521,1db4f8159d7ff26389cf97a744ecf364298d6c1eae1d6d3770082a2e83440b3b
2025-11,2025-11.csv,1600741,98150417,c3b43f4ce217e89a0d1fa5acd1e0d8ab0f9fdd6b569c27765271e406aef61d4b
2025-12,2025-12.csv,1445068,88530445,eac7663a00bd05f7fd5b5c3d624039707d4fe25ac58bb0ab5deb8ca1c26e7162
2026-01,2026-01.csv,1525302,93449915,d68667950cf3031ef5e76708faf631324b126bfb20202f4527bf26a00c89b044
2026-02,2026-02.csv,1528610,93694075,988568d1c59620c7b471ed83c479e2fd5b9075aa2bdde6c03f7db3340a383cf4
2026-03,2026-03.csv,1653373,101340383,5cc11a5866d6ad907e3aeb5afdd748f861816760c6c1002a35dbacfc9b6562a7
2026-04,2026-04.csv,1594967,97767405,f1ab0267dd8690721f7a0abb0c4f84d3faad408440086c17328fafff86f30a85
2026-05,2026-05.csv,1615360,98981947,1a9d813f97b3c619f7bd59ecbe216db954f151ff096669de2879055945891146
2026-06,2026-06.csv,1494265,96125283,278f097c1cd2d9bcb8605207a2f6cec0f10465cf9b317a275f3c0ab22cd9cb80
2026-07,2026-07.csv,1493484,96069105,abce636edacba11892b96c8d8768142023e8a3a5461736db4970da856a18c73e
2026-08,2026_08.csv,1473683,94785587,9261f64ac57285312e59e9c34a35830ad118a13eb2f69640a53c9c6fd505afcc
