periodo,archivo,rows,invalid_dates,reversed_dates,cross_month_trips,arrival_outside_file_month,duration_over_1_day,unmapped_origen,outside_window_origen,counted_origen,unmapped_in_window_origen,unmapped_destino,outside_window_destino,counted_destino,unmapped_in_window_destino
2023-01,2023-01.csv,586433,0,0,31,0,31,3,31,586399,3,15,0,586418,15
2023-02,2023-02.csv,664982,0,0,65,0,33,6,11,664965,6,41,0,664941,41
2023-03,2023-03.csv,818034,0,0,71,0,27,9,3,818022,9,36,0,817998,36
2023-04,2023-04.csv,813629,0,0,115,0,23,25,0,813604,25,38,0,813591,38
2023-05,2023-05.csv,945163,0,0,76,0,26,6,0,945157,6,40,0,945123,40
2023-06,2023-06.csv,1010000,0,0,88,0,14,4,0,1009996,4,25,0,1009975,25
2023-07,2023-07.csv,999713,0,0,145,0,19,1,0,999712,1,24,0,999689,24
2023-08,2023-08.csv,1109195,0,0,55,0,18,2,0,1109193,2,48,0,1109147,48
2023-09,2023-09.csv,1189636,0,0,86,0,19,10,0,1189626,10,52,0,1189584,52
2023-10,2023-10.csv,1401780,0,0,158,0,21,30,0,1401750,30,52,0,1401728,52
2023-11,2023-11.csv,1410655,0,0,149,0,27,103,1,1410551,103,111,0,1410544,111
2023-12,2023-12.csv,1228328,0,0,198,0,28,327,0,1228001,327,367,0,1227961,367
2024-01,2024-01.csv,1558100,0,0,83,0,29,0,0,1558100,0,27,0,1558073,27
2024-02,2024-02.csv,1699409,0,0,151,0,29,0,0,1699409,0,37,0,1699372,37
2024-03,2024-03.csv,1829763,0,0,217,0,36,0,0,1829763,0,53,0,1829710,53
2024-04,2024-04.csv,1961633,0,0,116,0,30,1,0,1961632,1,26,0,1961607,26
2024-05,2024-05.csv,2053563,0,0,230,0,34,2,1,2053560,2,38,0,2053525,38
2024-06,2024-06.csv,1893520,0,0,357,0,43,1,1,1893518,1,35,0,1893485,35
2024-07,2024-07.csv,1825650,0,0,68,0,31,1,0,1825649,1,30,0,1825620,30
2024-08,2024-08.csv,1891319,0,0,202,0,74,3,1,1891315,3,88,0,1891231,88
2024-09,2024-09.csv,1852179,0,0,245,0,47,0,0,1852179,0,50,0,1852129,50
2024-11,2024-11.csv,1942474,0,0,236,0,37,0,0,1942474,0,26,0,1942448,26
2024-12,2024-12.csv,1680650,0,0,222,0,26,1,0,1680649,1,22,0,1680628,22
2025-01,2025-01.csv,1809775,0,0,109,0,35,0,0,1809775,0,38,0,1809737,38
2025-02,2025-02.csv,1745620,0,0,207,0,26,0,0,1745620,0,33,0,1745587,33
2025-03,2025-03.csv,1832587,0,0,238,0,31,3,0,1832584,3,35,0,1832552,35
2025-04,2025-04.csv,1727987,0,0,174,0,51,401,1,1727585,401,429,0,1727558,429
2025-05,2025-05.csv,1778594,0,0,218,0,42,3,0,1778591,3,47,0,1778547,47
2025-06,2025-06.csv,1578804,0,0,76,0,48,7,0,1578797,7,53,0,1578751,53
2025-07,2025-07.csv,1663896,0,0,112,0,44,3,0,1663893,3,55,0,1663841,55
2025-08,2025-08.csv,1610967,0,0,109,0,33,1,0,1610966,1,39,0,1610928,39
2025-09,2025-09.csv,1586508,0,0,105,0,29,1,0,1586507,1,37,0,1586471,37
2025-10,2025-10.csv,1754353,0,0,149,0,37,17,0,1754336,17,41,0,1754312,41
2025-11,2025-11.csv,1600741,0,0,349,0,62,19,1,1600721,19,57,0,1600684,57
2025-12,2025-12.csv,1445068,0,0,94,0,35,10,0,1445058,10,36,0,1445032,36
2026-01,2026-01.csv,1525302,0,0,105,0,22,12,0,1525290,12,24,0,1525278,24
2026-02,2026-02.csv,1528610,0,0,150,0,33,13,0,1528597,13,23,0,1528587,23
2026-03,2026-03.csv,1653373,0,0,185,0,29,15,0,1653358,15,31,0,1653342,31
2026-04,2026-04.csv,1594967,0,0,129,0,42,472,0,1594495,472,540,0,1594427,540
2026-05,2026-05.csv,1615360,0,0,291,0,58,36,0,1615324,36,101,0,1615259,101
2026-06,2026-06.csv,1494265,0,0,124,0,57,227,0,1494038,227,345,0,1493920,345
2026-07,2026-07.csv,1493484,0,0,804,0,54,20,1,1493463,20,100,0,1493384,100
2026-08,2026_08.csv,1473683,0,0,152,0,30,0,0,1473683,0,0,0,1473683,0
