num_cicloe,viajes_retiro,viajes_arribo,viajes_total,sistema,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
271-272,304179,506142,810321,Ecobici,Jesus Garcia,Carlos J. Meneses,Buenavista,Cuauhtemoc,19.443684,-99.152465,Arroyo,Instalada
027,214352,222131,436483,Ecobici,Av. Paseo de la Reforma,Havre,Juarez,Cuauhtemoc,19.42916,-99.162703,Banqueta,Instalada
064,208867,218170,427037,Ecobici,Sonora,Amsterdam,Hipodromo,Cuauhtemoc,19.412982,-99.166936,Arroyo,Instalada
014,163941,213445,377386,Ecobici,Av. Paseo de la Reforma,Rio de la Plata,Cuauhtemoc,Cuauhtemoc,19.42454,-99.173247,Banqueta,Instalada
001,161283,166686,327969,Ecobici,Rio Sena,Rio Balsas,Cuauhtemoc,Cuauhtemoc,19.4335895,-99.1678193,Arroyo,Instalada
043,150698,176406,327104,Ecobici,Juarez,Doctor Mora,Centro,Cuauhtemoc,19.4351365,-99.1460756,Banqueta,Instalada
018,158339,165626,323965,Ecobici,Av. Paseo de la Reforma,Rio Rhin,Cuauhtemoc,Cuauhtemoc,19.428802,-99.164381,Banqueta,Instalada
208,170361,144890,315251,Ecobici,Hesiodo,Lamartine,Polanco,Miguel Hidalgo,19.434182,-99.189835,Arroyo,Instalada
031,152052,153722,305774,Ecobici,Hamburgo,Av. Insurgentes,Juarez,Cuauhtemoc,19.427937,-99.161245,Arroyo,Instalada
548,146744,158598,305342,Ecobici,Doctor Mariano Azuela,Jose Antonio Alzate,Santa Maria la Ribera,Cuauhtemoc,19.44701,-99.154318,Arroyo,Instalada
028,146135,156827,302962,Ecobici,Toledo,Tokio,Juarez,Cuauhtemoc,19.423664,-99.172568,Arroyo,Instalada
029,141023,161604,302627,Ecobici,Av. Paseo de la Reforma,Bucareli,Centro,Cuauhtemoc,19.434944,-99.150295,Banqueta,Instalada
158-159,150310,151917,302227,Ecobici,Huatabampo,Av. Cuauhtemoc,Roma Sur,Cuauhtemoc,19.407507,-99.155541,Arroyo,Instalada
038,151296,150295,301591,Ecobici,Cozumel,Puebla,Roma Norte,Cuauhtemoc,19.4208433,-99.1713729,Arroyo,Instalada
194,149133,147273,296406,Ecobici,Circuito Mahatma Gandhi,Av. Paseo de la Reforma,Bosque de Chapultepec,Miguel Hidalgo,19.424282,-99.180334,Banqueta,Instalada
555,148052,145317,293369,Ecobici,Av. Ribera de San Cosme,Av. Insurgentes Centro,Santa Maria la Ribera,Cuauhtemoc,19.44021597,-99.15616778,Banqueta,Instalada
107-108,147423,144681,292104,Ecobici,Tolsa,Balderas,Centro,Cuauhtemoc,19.427329,-99.149971,Arroyo,Instalada
134,137262,152167,289429,Ecobici,Alvaro Obregon,Orizaba,Roma Norte,Cuauhtemoc,19.418304,-99.15956,Camellón,Instalada
052,141879,146155,288034,Ecobici,Hidalgo,Trujano,Centro,Cuauhtemoc,19.436208,-99.141931,Banqueta,Instalada
041,143084,140661,283745,Ecobici,Av. Paseo de la Reforma,Av. de la Republica,Tabacalera,Cuauhtemoc,19.43542,-99.150317,Banqueta,Instalada
242,131289,147063,278352,Ecobici,Av. Moliere,Blvd. Miguel de Cervantes Saavedra,Polanco,Miguel Hidalgo,19.440195,-99.200715,Arroyo,Instalada
237-238,156578,119786,276364,Ecobici,Andres Bello,George Eliot,Polanco,Miguel Hidalgo,19.426744,-99.193986,Arroyo,Instalada
007,133301,141200,274501,Ecobici,Rio  Elba,Rio Lerma,Cuauhtemoc,Cuauhtemoc,19.425355,-99.17515,Arroyo,Instalada
053,135778,136647,272425,Ecobici,Fernando Montes de Oca,Tula,Condesa,Cuauhtemoc,19.4148233,-99.1783527,Arroyo,Instalada
056,133134,137173,270307,Ecobici,Alvaro Obregon,Medellin,Roma Norte,Cuauhtemoc,19.417102,-99.165607,Banqueta,Instalada
030,126886,141357,268243,Ecobici,Hamburgo,Genova,Juarez,Cuauhtemoc,19.426384,-99.164255,Arroyo,Instalada
017,127972,138427,266399,Ecobici,Av. Paseo de la Reforma,Rio Tiber,Cuauhtemoc,Cuauhtemoc,19.427553,-99.167396,Banqueta,Instalada
266-267,109788,152399,262187,Ecobici,Jesus Garcia,Carlos J. Meneses,Buenavista,Cuauhtemoc,19.444031,-99.152187,Arroyo,Instalada
192-193,140232,116713,256945,Ecobici,Ruben Dario,Av. Paseo de la Reforma,Bosque de Chapultepec,Miguel Hidalgo,19.42592,-99.190755,Camellón,Instalada
074,124749,127783,252532,Ecobici,Nuevo Leon,Ozulama,Hipodromo,Cuauhtemoc,19.410468,-99.172802,Banqueta,Instalada
032,124131,127088,251219,Ecobici,Londres,Sevilla,Juarez,Cuauhtemoc,19.4226672,-99.1699751,Arroyo,Instalada
047,121772,127617,249389,Ecobici,Plaza Madrid,Medellin,Roma Norte,Cuauhtemoc,19.41955,-99.166214,Arroyo,Instalada
036,123925,125069,248994,Ecobici,Puebla,Veracruz,Roma Norte,Cuauhtemoc,19.41966,-99.17588,Arroyo,Instalada
010,126276,122197,248473,Ecobici,Av. Paseo de la Reforma,Ramirez,Tabacalera,Cuauhtemoc,19.433431,-99.155142,Banqueta,Instalada
182,122972,122782,245754,Ecobici,Progreso,Astronomos,Escandon,Miguel Hidalgo,19.40198,-99.17132,Arroyo,Instalada
072,121661,119790,241451,Ecobici,Mazatlan,Alfonso Reyes,Hipodromo Condesa,Cuauhtemoc,19.409859,-99.179565,Banqueta,Instalada
174,124864,116477,241341,Ecobici,Joaquin Garcia Icazbalceta,Ignacio Manuel Altamirano,San Rafael,Cuauhtemoc,19.441114,-99.161636,Arroyo,Instalada
019,125988,114128,240116,Ecobici,Av. Paseo de la Reforma,Rio Rhin,Cuauhtemoc,Cuauhtemoc,19.429453,-99.16283,Banqueta,Instalada
141,113236,124366,237602,Ecobici,Zacatecas,Luis Cabrera,Roma Norte,Cuauhtemoc,19.415905,-99.15954,Arroyo,Instalada
154,119665,114343,234008,Ecobici,Tuxpan,Tlaxcala,Roma Sur,Cuauhtemoc,19.406683,-99.167962,Arroyo,Instalada
139,111101,119244,230345,Ecobici,Tonala,Guanajuato,Roma Norte,Cuauhtemoc,19.416128,-99.162097,Arroyo,Instalada
015,113532,116743,230275,Ecobici,Av. Paseo de la Reforma,Rio Mississippi,Cuauhtemoc,Cuauhtemoc,19.425597,-99.171409,Banqueta,Instalada
045,109065,116140,225205,Ecobici,Durango,Sonora,Roma Norte,Cuauhtemoc,19.418749,-99.171942,Banqueta,Instalada
273-274,101193,123665,224858,Ecobici,Luis Donaldo Colosio,Jesus Garcia,Buenavista,Cuauhtemoc,19.442707,-99.152956,Arroyo,Instalada
150,109140,114918,224058,Ecobici,Campeche,Medellin,Roma Sur,Cuauhtemoc,19.409894,-99.164288,Arroyo,Instalada
016,109756,110177,219933,Ecobici,Av. Paseo de la Reforma,Rio Tiber,Cuauhtemoc,Cuauhtemoc,19.4267528,-99.16861944,Banqueta,Instalada
059,105243,113923,219166,Ecobici,Popocatepetl,Amsterdam,Hipodromo,Cuauhtemoc,19.415237,-99.16659,Arroyo,Instalada
217,100577,118277,218854,Ecobici,Euler,Horacio,Polanco,Miguel Hidalgo,19.432888,-99.183605,Arroyo,Instalada
116,106835,110912,217747,Ecobici,Londres,Roma,Juarez,Cuauhtemoc,19.428985,-99.15664,Arroyo,Instalada
070,106077,110175,216252,Ecobici,Parque Mexico,Michoacan,Hipodromo,Cuauhtemoc,19.41128,-99.169825,Arroyo,Instalada
086,108931,106882,215813,Ecobici,Sullivan,Av. Insurgentes,San Rafael,Cuauhtemoc,19.432452,-99.15924,Banqueta,Instalada
390-391,113501,102112,215613,Ecobici,Oso,Felix Cuevas,Actipan,Benito Juarez,19.373384,-99.178173,Arroyo,Instalada
260,98323,113895,212218,Ecobici,Juarez,Balderas,Centro,Cuauhtemoc,19.4352787,-99.1477913,Banqueta,Instalada
142,101320,110473,211793,Ecobici,San Luis Potosi,Eje 2 Pte. Monterrey,Roma Norte,Cuauhtemoc,19.413232,-99.164121,Arroyo,Instalada
037,105116,105371,210487,Ecobici,Guadalajara,Puebla,Roma Norte,Cuauhtemoc,19.4204398,-99.1727208,Arroyo,Instalada
136,100423,108311,208734,Ecobici,Alvaro Obregon,Tonala,Roma Norte,Cuauhtemoc,19.417715,-99.162729,Camellón,Instalada
111,107265,101003,208268,Ecobici,Guillermo Prieto,Joaquin Velazquez de Leon,San Rafael,Cuauhtemoc,19.438197,-99.165918,Arroyo,Instalada
046,99008,107702,206710,Ecobici,Durango,Salamanca,Roma Norte,Cuauhtemoc,19.41919,-99.169764,Arroyo,Instalada
270,102944,103601,206545,Ecobici,Av. de la Republica,Ponciano Arriaga,Tabacalera,Cuauhtemoc,19.436764,-99.153865,Banqueta,Instalada
195,104831,100467,205298,Ecobici,Av. Paseo de la Reforma,Mahatma Gandhi,Bosque de Chapultepec,Miguel Hidalgo,19.424858,-99.185181,Camellón,Instalada
257,101438,100491,201929,Ecobici,Manuel Maria Conteras,Calz. Manuel Villalongin,San Rafael,Cuauhtemoc,19.433803,-99.166223,Arroyo,Instalada
068,98222,102264,200486,Ecobici,Tamaulipas,Michoacan,Condesa,Cuauhtemoc,19.411771,-99.173783,Banqueta,Instalada
005,97145,102992,200137,Ecobici,Rio Panuco,Rio Tiber,Cuauhtemoc,Cuauhtemoc,19.429804,-99.169451,Arroyo,Instalada
061,96651,102828,199479,Ecobici,Avenida Mexico,Sonora,Hipodromo,Cuauhtemoc,19.413789,-99.169427,Arroyo,Instalada
054,95250,102411,197661,Ecobici,Parque España,Sonora,Condesa,Cuauhtemoc,19.416163,-99.170795,Arroyo,Instalada
020,101995,95532,197527,Ecobici,Av. Paseo de la Reforma,Rio Tamesis,Cuauhtemoc,Cuauhtemoc,19.430907,-99.160148,Banqueta,Instalada
025,96930,99259,196189,Ecobici,Av. Paseo de la Reforma,Estocolmo,Juarez,Cuauhtemoc,19.427338,-99.16672,Banqueta,Instalada
006,98169,97325,195494,Ecobici,Rio Panuco,Rio Sena,Cuauhtemoc,Cuauhtemoc,19.430963,-99.166986,Arroyo,Instalada
121,96161,97045,193206,Ecobici,Niza,Chapultepec,Juarez,Cuauhtemoc,19.424137,-99.161317,Arroyo,Instalada
117,91393,101280,192673,Ecobici,Londres,Napoles,Juarez,Cuauhtemoc,19.427132,-99.160369,Arroyo,Instalada
084,99468,92505,191973,Ecobici,Chilpancingo,Tlaxcala,Hipodromo,Cuauhtemoc,19.406872,-99.169572,Arroyo,Instalada
449,96047,94710,190757,Ecobici,Acapulco,Puebla,Roma Norte,Cuauhtemoc,19.420281,-99.174392,Arroyo,Instalada
066,95141,94414,189555,Ecobici,Mazatlan,Francisco Marquez,Condesa,Cuauhtemoc,19.411825,-99.178456,Banqueta,Instalada
145,91231,96440,187671,Ecobici,Yucatan,Chiapas,Roma Norte,Cuauhtemoc,19.41286,-99.160661,Arroyo,Instalada
115,95955,91532,187487,Ecobici,Roma,Dinamarca,Juarez,Cuauhtemoc,19.429947,-99.159698,Arroyo,Instalada
119,91884,94623,186507,Ecobici,Turin,Abraham Gonzalez,Juarez,Cuauhtemoc,19.426785,-99.155535,Arroyo,Instalada
302,90427,95127,185554,Ecobici,Luz Saviñon,Magdalena,Del Valle Norte,Benito Juarez,19.393832,-99.171466,Arroyo,Instalada
033,90766,94101,184867,Ecobici,Londres,Florencia,Juarez,Cuauhtemoc,19.424187,-99.166497,Arroyo,Instalada
131,86553,97652,184205,Ecobici,Colima,Jalapa,Roma Norte,Cuauhtemoc,19.419579,-99.161314,Arroyo,Instalada
096,88205,95024,183229,Ecobici,Lopez,Ayuntamiento,Centro,Cuauhtemoc,19.430625,-99.14248,Arroyo,Instalada
553,91325,90164,181489,Ecobici,Jaime Torres Bodet,Av. Ribera de San Cosme,Santa Maria la Ribera,Cuauhtemoc,19.442,-99.15933333,Arroyo,Instalada
476,90732,89591,180323,Ecobici,Lago Como,Laguna de Mayran,Granada,Miguel Hidalgo,19.442127,-99.184433,Arroyo,Instalada
040,88833,90927,179760,Ecobici,Oaxaca,Puebla,Roma Norte,Cuauhtemoc,19.422379,-99.164137,Banqueta,Instalada
494,93942,81889,175831,Ecobici,Tlaloc,Calzada Mexico Tacuba,Tlaxpana,Miguel Hidalgo,19.444053,-99.167429,Arroyo,Instalada
034,86173,88086,174259,Ecobici,Liverpool,Genova,Juarez,Cuauhtemoc,19.424584,-99.163688,Arroyo,Instalada
495,94442,79655,174097,Ecobici,Amado Nervo,Avenida de los Maestros,Agricultura,Miguel Hidalgo,19.445528,-99.166934,Arroyo,Instalada
087,83219,90310,173529,Ecobici,Gante,Venustiano Carranza,Centro,Cuauhtemoc,19.432024,-99.139705,Banqueta,Instalada
146,85219,87039,172258,Ecobici,Coahuila,Manzanillo,Roma Norte,Cuauhtemoc,19.410737,-99.165716,Arroyo,Instalada
474,79780,91754,171534,Ecobici,Bahia  de San Hipolito,Bahia del Espiritu Santo,Anahuac I Seccion,Miguel Hidalgo,19.438984,-99.177549,Arroyo,Instalada
133,81170,90182,171352,Ecobici,Colima,Morelia,Roma Norte,Cuauhtemoc,19.421138,-99.154725,Arroyo,Instalada
123,88430,82695,171125,Ecobici,Claudio Bernard,Doctor Lavista,Doctores,Cuauhtemoc,19.424161,-99.153117,Arroyo,Instalada
183,88569,82434,171003,Ecobici,Gabino Barreda,Guillermo Prieto,San Rafael,Cuauhtemoc,19.437665,-99.164018,Arroyo,Instalada
389,88122,82484,170606,Ecobici,Santander,Felix Cuevas,Insurgentes Mixcoac,Benito Juarez,19.373438,-99.179531,Arroyo,Instalada
135,83785,86533,170318,Ecobici,Alvaro Obregon,Morelia,Roma Norte,Cuauhtemoc,19.419225,-99.155099,Camellón,Instalada
180,84781,84218,168999,Ecobici,Quintana Roo,Villahermosa,Hipodromo,Cuauhtemoc,19.404554,-99.169953,Arroyo,Instalada
594,81097,87739,168836,Ecobici,Xochicalco,Obrero Mundial,Piedad Narvarte,Benito Juarez,19.402277,-99.153294,Arroyo,Instalada
190,85957,82194,168151,Ecobici,Gobernador Ignacio Esteva,Maestro Jose Vasconcelos,San Miguel Chapultepec,Miguel Hidalgo,19.409577,-99.183818,Arroyo,Instalada
128,81058,86199,167257,Ecobici,Orizaba,Rio de Janeiro,Roma Norte,Cuauhtemoc,19.422148,-99.160645,Arroyo,Instalada
060,81767,80504,162271,Ecobici,Mazatlan,Fernando Montes de Oca,Condesa,Cuauhtemoc,19.414119,-99.177214,Banqueta,Instalada
049,81692,80000,161692,Ecobici,Mazatlan,Juan de la Barrera,Condesa,Cuauhtemoc,19.41689,-99.17562,Banqueta,Instalada
175,81362,80321,161683,Ecobici,Mutualismo,Jose Marti,Escandon,Miguel Hidalgo,19.400767,-99.172533,Arroyo,Instalada
071,80056,81506,161562,Ecobici,Amsterdam,Michoacan,Hipodromo,Cuauhtemoc,19.411361,-99.171271,Arroyo,Instalada
137,78052,82287,160339,Ecobici,Alvaro Obregon,Merida,Roma Norte,Cuauhtemoc,19.418774,-99.157081,Camellón,Instalada
082,79432,80282,159714,Ecobici,Independencia,Jose Maria Marroqui,Centro,Cuauhtemoc,19.433344,-99.14404,Banqueta,Instalada
280,72048,86847,158895,Ecobici,Anaxagoras,Obrero Mundial,Narvarte Poniente,Benito Juarez,19.4015,-99.156406,Arroyo,Instalada
212,82747,75864,158611,Ecobici,Hegel,Horacio,Polanco,Miguel Hidalgo,19.433567,-99.188096,Arroyo,Instalada
563,79126,78481,157607,Ecobici,Doctor Velasco,Niños Heroes,Doctores,Cuauhtemoc,19.419444,-99.149776,Arroyo,Instalada
126,73601,83495,157096,Ecobici,Jalapa,Puebla,Roma Norte,Cuauhtemoc,19.422288,-99.162138,Arroyo,Instalada
372,77641,79233,156874,Ecobici,Doctor Roberto Gayol,Tlacoquemecatl,Del Valle Sur,Benito Juarez,19.377966,-99.170272,Arroyo,Instalada
077,79781,76474,156255,Ecobici,Choapan,Tamaulipas,Hipodromo,Cuauhtemoc,19.406745,-99.178272,Arroyo,Instalada
151,75770,80044,155814,Ecobici,Campeche,Tonala,Roma Sur,Cuauhtemoc,19.410529,-99.160873,Arroyo,Instalada
023,78326,75110,153436,Ecobici,Av. Paseo de la Reforma,Praga,Juarez,Cuauhtemoc,19.42528,-99.171099,Banqueta,Instalada
447,78124,74598,152722,Ecobici,Agustin Melgar,Zamora,Condesa,Cuauhtemoc,19.418879,-99.176854,Arroyo,Instalada
125,78095,74222,152317,Ecobici,Morelia,Circular de Morelia,Roma Norte,Cuauhtemoc,19.424197,-99.156127,Arroyo,Instalada
024,76853,74600,151453,Ecobici,Av. Paseo de la Reforma,Varsovia,Juarez,Cuauhtemoc,19.426614,-99.168078,Banqueta,Instalada
291,75524,75400,150924,Ecobici,Magdalena,Av. Division del Norte,Del Valle Norte,Benito Juarez,19.397651,-99.169946,Arroyo,Instalada
185,75443,74099,149542,Ecobici,General Antonio Leon,General Pedro Antonio de los Santos,San Miguel Chapultepec,Miguel Hidalgo,19.412776,-99.182805,Arroyo,Instalada
079,75533,73735,149268,Ecobici,Saltillo,Alfonso Reyes,Hipodromo,Cuauhtemoc,19.407479,-99.174403,Banqueta,Instalada
129,72020,76895,148915,Ecobici,Tonala,Durango,Roma Norte,Cuauhtemoc,19.4206,-99.163312,Arroyo,Instalada
155,73318,75150,148468,Ecobici,Jalapa,Tlaxcala,Roma Sur,Cuauhtemoc,19.408218,-99.159911,Arroyo,Instalada
080,75789,72536,148325,Ecobici,Nuevo Leon,Aguascalientes,Hipodromo,Cuauhtemoc,19.407233,-99.172131,Banqueta,Instalada
004,71191,76820,148011,Ecobici,Rio  Nilo,Rio Panuco,Cuauhtemoc,Cuauhtemoc,19.428491,-99.171693,Arroyo,Instalada
164,72816,75069,147885,Ecobici,Bajio,Tlacotalpan,Roma Sur,Cuauhtemoc,19.403204,-99.16596,Arroyo,Instalada
058,73837,73632,147469,Ecobici,Parque España,Juan de la Barrera,Condesa,Cuauhtemoc,19.415358,-99.171902,Banqueta,Instalada
051,71833,75534,147367,Ecobici,Colima,Oaxaca,Roma Norte,Cuauhtemoc,19.418031,-99.168435,Arroyo,Instalada
166,75784,71355,147139,Ecobici,Progreso,Cda. Antonio Maceo,Escandon,Miguel Hidalgo,19.406069,-99.183549,Arroyo,Instalada
211,84706,61662,146368,Ecobici,Isaac Newton,Horacio,Polanco,Miguel Hidalgo,19.433607,-99.188528,Arroyo,Instalada
405,73841,72257,146098,Ecobici,Division del Norte,Municipio Libre,Portales Norte,Benito Juarez,19.3705556,-99.15666667,Banqueta,Instalada
085,74139,71717,145856,Ecobici,Jose Rosas Moreno,James Sullivan,San Rafael,Cuauhtemoc,19.434081,-99.162434,Arroyo,Instalada
475,71918,73173,145091,Ecobici,Lago Muritz,Lago Alberto,Anahuac I Seccion,Miguel Hidalgo,19.439249,-99.181065,Arroyo,Instalada
