feature_name,feature_group,historical_safe,reference_time,uses_target_history,uses_static_snapshot,allowed_in_rolling_model,notes
accidentes,DESCRIPTIVE_ONLY,False,not a rolling predictor,False,True,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
accidentes_available_from,DESCRIPTIVE_ONLY,False,not a rolling predictor,False,True,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
accidentes_forecast_eligible,DESCRIPTIVE_ONLY,False,not a rolling predictor,False,True,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
accidentes_reference_date,DESCRIPTIVE_ONLY,False,not a rolling predictor,False,True,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
accidentes_reportados_legacy,DESCRIPTIVE_ONLY,False,not a rolling predictor,False,True,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
accidentes_source_version,DESCRIPTIVE_ONLY,False,not a rolling predictor,False,True,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
activation_date_verified,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
alcaldia,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
aliases,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
archivo,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
archivo_disponible,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
colonia,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
cos_month,TEMPORAL_SAFE,True,known destination calendar,False,False,True,Conditional on earliest-availability guard; actual publication vintage unverified
data_cutoff_date,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
data_status,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
datos_disponibles,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
estaciones_por_km2_catalogo,DESCRIPTIVE_ONLY,False,not a rolling predictor,False,True,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
feature_causality,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
feature_reference_period,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
feature_target,BLOCKED_HISTORICAL,False,not a rolling predictor,False,False,False,"Excluded: snapshot, fixed geometry descriptor, identifier, label or incidental metadata"
