feature_name,horizon,n_rows_total,n_valid,coverage,coverage_evaluation_all,calibration_coverage,selected_for_model
lag_1,1,1908,1093,0.5728511530398323,1.0,1.0,True
lag_3,1,1908,1863,0.9764150943396226,0.9935956084172004,0.760806916426513,True
lag_6,1,1908,1793,0.939727463312369,0.9423604757548033,0.4755043227665706,False
lag_12,1,1908,1899,0.9952830188679245,0.9990850869167429,0.12536023054755044,False
rolling_mean_3,1,1908,1074,0.5628930817610063,0.9826166514181153,0.7550432276657061,True
rolling_mean_6,1,1908,912,0.4779874213836478,0.8344007319304666,0.4668587896253602,False
rolling_mean_12,1,1908,585,0.30660377358490565,0.535224153705398,0.11959654178674352,False
rolling_std_3,1,1908,1074,0.5628930817610063,0.9826166514181153,0.7550432276657061,True
rolling_std_6,1,1908,912,0.4779874213836478,0.8344007319304666,0.4668587896253602,False
rolling_std_12,1,1908,585,0.30660377358490565,0.535224153705398,0.11959654178674352,False
growth_1,1,1908,1081,0.5665618448637316,0.9890210430009149,0.8760806916426513,True
growth_3,1,1908,1037,0.5435010482180294,0.9487648673376029,0.659942363112392,True
growth_6,1,1908,1034,0.5419287211740041,0.9460201280878316,0.3976945244956772,False
growth_12,1,1908,1038,0.5440251572327044,0.94967978042086,0.07780979827089338,False
month,1,1908,1908,1.0,1.0,1.0,True
year,1,1908,1908,1.0,1.0,1.0,True
sin_month,1,1908,1908,1.0,1.0,1.0,True
cos_month,1,1908,1908,1.0,1.0,1.0,True
trend_3,1,1908,1074,0.5628930817610063,0.9826166514181153,0.7550432276657061,True
trend_6,1,1908,912,0.4779874213836478,0.8344007319304666,0.4668587896253602,False
trend_12,1,1908,585,0.30660377358490565,0.535224153705398,0.11959654178674352,False
neighbor_trips_lag1,1,1908,1110,0.5817610062893082,0.6422689844464776,,True
neighbor_growth_lag1,1,1908,1104,0.5786163522012578,0.6404391582799634,,True
neighbor_trips_mean_lag3,1,1908,1103,0.5780922431865828,0.6395242451967064,,True
neighbor_active_zones,1,1908,1422,0.7452830188679245,0.7319304666056725,,True
neighbor_observation_coverage,1,1908,1422,0.7452830188679245,0.7319304666056725,,True
lag_1,3,1908,1099,0.5759958071278826,1.0,1.0,True
lag_3,3,1908,1749,0.9166666666666666,0.9262966333030027,0.760806916426513,True
lag_6,3,1908,1788,0.9371069182389937,0.9426751592356688,0.4755043227665706,False
lag_12,3,1908,1783,0.9344863731656184,0.9408553230209281,0.12536023054755044,False
rolling_mean_3,3,1908,950,0.4979035639412998,0.8644222020018199,0.7550432276657061,True
rolling_mean_6,3,1908,788,0.4129979035639413,0.7170154686078253,0.4668587896253602,False
rolling_mean_12,3,1908,481,0.2520964360587002,0.43767060964513194,0.11959654178674352,False
rolling_std_3,3,1908,950,0.4979035639412998,0.8644222020018199,0.7550432276657061,True
rolling_std_6,3,1908,788,0.4129979035639413,0.7170154686078253,0.4668587896253602,False
rolling_std_12,3,1908,481,0.2520964360587002,0.43767060964513194,0.11959654178674352,False
growth_1,3,1908,1030,0.539832285115304,0.9372156505914467,0.8760806916426513,True
growth_3,3,1908,1042,0.5461215932914046,0.9481346678798908,0.659942363112392,True
growth_6,3,1908,1041,0.5455974842767296,0.9472247497725205,0.3976945244956772,False
growth_12,3,1908,1030,0.539832285115304,0.9372156505914467,0.07780979827089338,False
month,3,1908,1908,1.0,1.0,1.0,True
year,3,1908,1908,1.0,1.0,1.0,True
sin_month,3,1908,1908,1.0,1.0,1.0,True
cos_month,3,1908,1908,1.0,1.0,1.0,True
trend_3,3,1908,950,0.4979035639412998,0.8644222020018199,0.7550432276657061,True
trend_6,3,1908,788,0.4129979035639413,0.7170154686078253,0.4668587896253602,False
trend_12,3,1908,481,0.2520964360587002,0.43767060964513194,0.11959654178674352,False
neighbor_trips_lag1,3,1908,1114,0.5838574423480084,0.6360327570518653,,True
neighbor_growth_lag1,3,1908,1046,0.5482180293501048,0.5996360327570519,,True
neighbor_trips_mean_lag3,3,1908,974,0.510482180293501,0.5532302092811647,,True
neighbor_active_zones,3,1908,1422,0.7452830188679245,0.727024567788899,,True
neighbor_observation_coverage,3,1908,1422,0.7452830188679245,0.727024567788899,,True
lag_1,6,1802,1091,0.6054384017758047,1.0,1.0,True
lag_3,6,1802,1649,0.9150943396226415,0.925756186984418,0.760806916426513,True
lag_6,6,1802,1684,0.9345172031076582,0.9431714023831348,0.4755043227665706,False
lag_12,6,1802,1633,0.9062153163152054,0.9083409715857012,0.12536023054755044,False
rolling_mean_3,6,1802,942,0.5227524972253053,0.8634280476626948,0.7550432276657061,True
rolling_mean_6,6,1802,781,0.43340732519422864,0.7158570119156737,0.4668587896253602,False
rolling_mean_12,6,1802,420,0.23307436182019978,0.384967919340055,0.11959654178674352,False
rolling_std_3,6,1802,942,0.5227524972253053,0.8634280476626948,0.7550432276657061,True
rolling_std_6,6,1802,781,0.43340732519422864,0.7158570119156737,0.4668587896253602,False
rolling_std_12,6,1802,420,0.23307436182019978,0.384967919340055,0.11959654178674352,False
growth_1,6,1802,1022,0.5671476137624861,0.9367552703941339,0.8760806916426513,True
growth_3,6,1802,1032,0.5726970033296337,0.9459211732355637,0.659942363112392,True
growth_6,6,1802,1088,0.6037735849056604,0.997250229147571,0.3976945244956772,False
growth_12,6,1802,974,0.5405105438401776,0.8927589367552704,0.07780979827089338,False
month,6,1802,1802,1.0,1.0,1.0,True
year,6,1802,1802,1.0,1.0,1.0,True
