zone_id,colonia,horizon_months,origin_period,target_period,issue_time,forecast_model,forecast_explanation,context_signal_1_feature,context_signal_2_feature,context_signal_3_feature,context_signal_1,context_signal_1_value,context_signal_1_direction,context_signal_2,context_signal_2_value,context_signal_2_direction,context_signal_3,context_signal_3_value,context_signal_3_direction,spatial_context_available,context_coverage,limitations,explanation_version
col_058b0a95e3e35746bf806f626cc29e3c,Del Valle Centro,1,2025-05,2025-06,2025-06-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,NONE,crecimiento reciente: 6.93% (contexto no causal),0.0693392173709286,POSITIVE,tendencia trimestral: -234.50 endpoints/mes (contexto no causal),-234.5,NEGATIVE,SIN_DATO,,UNAVAILABLE,False,,Las señales espaciales no están disponibles para este origen; el contexto no implica causalidad. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_075ade1e8b735efcac21da8802b37c0a,Obrero Popular,1,2026-07,2026-08,2026-08-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,neighbor_growth_lag1,crecimiento reciente: -8.20% (contexto no causal),-0.081994459833795,NEGATIVE,tendencia trimestral: -180.00 endpoints/mes (contexto no causal),-180.0,NEGATIVE,crecimiento vecinal reciente: 2.91% (contexto no causal),0.029101241796589,POSITIVE,True,1.0,Las señales vecinales son contextuales y no implican causalidad; la geometría y disponibilidad espacial son parciales. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_0d7a0b5c2d6b5f31bd586ed063d99183,San Alvaro,1,2026-07,2026-08,2026-08-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,neighbor_growth_lag1,crecimiento reciente: 6.04% (contexto no causal),0.0604211168751907,POSITIVE,tendencia trimestral: -20.00 endpoints/mes (contexto no causal),-20.0,NEGATIVE,crecimiento vecinal reciente: 4.10% (contexto no causal),0.0409538138850613,POSITIVE,True,0.6666666666666666,Las señales vecinales son contextuales y no implican causalidad; la geometría y disponibilidad espacial son parciales. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_145462232cb0506eac0d954b79bb4e67,Tlatilco,1,2026-06,2026-07,2026-07-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,neighbor_growth_lag1,crecimiento reciente: -3.15% (contexto no causal),-0.0315347895269781,NEGATIVE,tendencia trimestral: 64.00 endpoints/mes (contexto no causal),64.0,POSITIVE,crecimiento vecinal reciente: 0.92% (contexto no causal),0.0091807909604519,POSITIVE,True,0.3333333333333333,Las señales vecinales son contextuales y no implican causalidad; la geometría y disponibilidad espacial son parciales. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_175c1726756a5dda90d2345c13795848,Angel Zimbron,1,2026-07,2026-08,2026-08-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,neighbor_growth_lag1,crecimiento reciente: 7.74% (contexto no causal),0.0774294670846394,POSITIVE,tendencia trimestral: -110.00 endpoints/mes (contexto no causal),-110.0,NEGATIVE,crecimiento vecinal reciente: 1.77% (contexto no causal),0.0177243234689033,POSITIVE,True,0.5,Las señales vecinales son contextuales y no implican causalidad; la geometría y disponibilidad espacial son parciales. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_19663fbe37bd50ee8eff60a93705eb35,Nextitla,1,2026-06,2026-07,2026-07-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,NONE,crecimiento reciente: -13.78% (contexto no causal),-0.1377559654763919,NEGATIVE,tendencia trimestral: -379.50 endpoints/mes (contexto no causal),-379.5,NEGATIVE,SIN_DATO,,UNAVAILABLE,False,,Las señales espaciales no están disponibles para este origen; el contexto no implica causalidad. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_1fd836f8991b530f861257d28b0cb970,Agricola,1,2026-07,2026-08,2026-08-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,NONE,crecimiento reciente: 5.84% (contexto no causal),0.0583684950773558,POSITIVE,tendencia trimestral: -70.50 endpoints/mes (contexto no causal),-70.5,NEGATIVE,SIN_DATO,,UNAVAILABLE,False,,Las señales espaciales no están disponibles para este origen; el contexto no implica causalidad. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_2006d9e5f6975534a01a4ae3d0063ec1,Plutarco Elias Calles,1,2026-07,2026-08,2026-08-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,neighbor_growth_lag1,crecimiento reciente: -41.31% (contexto no causal),-0.413073538654934,NEGATIVE,tendencia trimestral: -1920.50 endpoints/mes (contexto no causal),-1920.5,NEGATIVE,crecimiento vecinal reciente: -25.59% (contexto no causal),-0.2559338255926885,NEGATIVE,True,1.0,Las señales vecinales son contextuales y no implican causalidad; la geometría y disponibilidad espacial son parciales. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_218c753a6a38548aa02718260c2caef7,Del Recreo,1,2026-06,2026-07,2026-07-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,neighbor_growth_lag1,crecimiento reciente: -7.91% (contexto no causal),-0.079136690647482,NEGATIVE,tendencia trimestral: -141.50 endpoints/mes (contexto no causal),-141.5,NEGATIVE,crecimiento vecinal reciente: -9.77% (contexto no causal),-0.0976776475086744,NEGATIVE,True,0.6666666666666666,Las señales vecinales son contextuales y no implican causalidad; la geometría y disponibilidad espacial son parciales. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
col_21faee63d17e537f90a501b5c0313a20,General Pedro Maria Anaya,1,2026-07,2026-08,2026-08-01T00:00:00,PERSISTENCE,El forecast mantiene el nivel de actividad registrado en su origen: persistencia fue seleccionada por su desempeño retrospectivo. Las señales contextuales no modifican esta predicción.,growth_1,trend_3,neighbor_growth_lag1,crecimiento reciente: 10.30% (contexto no causal),0.1030347753897241,POSITIVE,tendencia trimestral: -319.50 endpoints/mes (contexto no causal),-319.5,NEGATIVE,crecimiento vecinal reciente: 14.81% (contexto no causal),0.1480894523683747,POSITIVE,True,0.3333333333333333,Las señales vecinales son contextuales y no implican causalidad; la geometría y disponibilidad espacial son parciales. Catálogo de estaciones sin vigencia histórica verificada. Pronóstico retrospectivo; no es una corrida futura común.,2.0-phase6-persistence-context
