zone_id,colonia,alcaldia,geometry_available,geometry_valid,geometry_type,geometry_usable,validity_error,repairability,repair_method_proposed,geometry_repaired,source_crs,analysis_crs,export_crs,area_m2,area_km2,centroid_x,centroid_y,centroid_lon,centroid_lat,n_neighbors_queen,n_neighbors_distance,n_overlap_pairs,notes
col_058b0a95e3e35746bf806f626cc29e3c,Del Valle Centro,Benito Juarez,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_075ade1e8b735efcac21da8802b37c0a,Obrero Popular,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,348703.77159068506,0.34870377159068505,481668.2099160785,2152173.1330598053,-99.17466352030341,19.463950290486434,3.0,0.0,1,positive_area_intersections_reported
col_0d7a0b5c2d6b5f31bd586ed063d99183,San Alvaro,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,361982.6023386814,0.3619826023386814,480712.84684173233,2151900.6542154765,-99.18376331880101,19.461478850674105,3.0,0.0,0,
col_0f6878a834535080af77fae943ae9b95,Tabacalera,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,566564.110861667,0.5665641108616669,483839.4821887209,2149053.4685118813,-99.15394931388191,19.43577597950074,5.0,0.0,0,
col_145462232cb0506eac0d954b79bb4e67,Tlatilco,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,329263.0060885826,0.3292630060885826,482922.7447479255,2151893.030639824,-99.16270794592602,19.461430073257766,3.0,0.0,2,positive_area_intersections_reported
col_175c1726756a5dda90d2345c13795848,Angel Zimbron,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,241940.42107742402,0.24194042107742403,480151.62023816165,2152600.0660672635,-99.18911785787274,19.467794061676056,2.0,0.0,0,
col_19663fbe37bd50ee8eff60a93705eb35,Nextitla,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,161445.0469219608,0.1614450469219608,481794.27244477364,2151249.3475535316,-99.17345353593322,19.45560301770454,0.0,0.0,2,queen_isolate_no_fallback;positive_area_intersections_reported
col_1fd836f8991b530f861257d28b0cb970,Agricola,Alvaro Obregon,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_2006d9e5f6975534a01a4ae3d0063ec1,Plutarco Elias Calles,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,326606.91737772245,0.32660691737772246,482241.7484192163,2151164.436973028,-99.16918946462935,19.454839691545946,2.0,0.0,4,positive_area_intersections_reported
col_218c753a6a38548aa02718260c2caef7,Del Recreo,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,527589.6087685939,0.5275896087685938,480669.19542486983,2153150.931693297,-99.18419197982742,19.472777409207268,3.0,0.0,0,
col_21faee63d17e537f90a501b5c0313a20,General Pedro Maria Anaya,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,549482.3881974908,0.5494823881974908,483325.50683975586,2140722.3945434745,-99.15877251953447,19.360481687284487,3.0,0.0,1,positive_area_intersections_reported
col_296d6268c64b5552821a2eebfad2256f,Lomas de Chapultepec Seccion III,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_2d383baad6155258af666ad388181e00,Ampliacion Granada,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_321ef9a198015257a1d0afd095d56686,Victoria de las Democracias,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,202721.68449063963,0.20272168449063963,482774.32314859406,2152717.649356208,-99.16412956654528,19.468881034671057,2.0,0.0,1,positive_area_intersections_reported
col_333380f5322950cf9a22ac2947f13767,Lomas de Chapultepec Seccion V,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_347bf8c118ae5cde8343a717c911525d,Independencia,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,401678.6925479318,0.4016786925479318,484448.65390985727,2142856.0750315515,-99.14809549278601,19.379773389999567,3.0,0.0,0,
col_34ef10debc6452f7a37e4eb02f41010f,Villa Coyoacan,Coyoacan,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,429169.1008552572,0.42916910085525717,482869.72932628094,2139270.911107116,-99.16309932706397,19.34736035898514,2.0,0.0,0,
col_39b7c034d6a15d22952ae31d1eab536a,Tlaxpana,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,357609.38350351556,0.35760938350351557,482233.17044498294,2149594.351347677,-99.16925647715497,19.44065042970945,5.0,0.0,2,positive_area_intersections_reported
col_3c107741e9aa5999ac5f00ed40d5deea,San Diego Churubusco,Coyoacan,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,330276.26959211874,0.33027626959211875,484410.28586872434,2140201.6029429995,-99.14843915216149,19.355783848770393,3.0,0.0,1,positive_area_intersections_reported
col_3d725e14185a5c38a7d3e1cda93adc73,Anahuac I Seccion,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_43db8a95c872541680d0688e731fe141,Polanco,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,5115979.2665991755,5.115979266599176,479789.6178315582,2148344.603727281,-99.1925216847459,19.42933299780402,3.0,0.0,4,positive_area_intersections_reported
col_46ef3d6067b85bc580fd6f574f0e5a26,Claveria,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,867157.4635911037,0.8671574635911037,480912.3978667237,2152406.42677709,-99.18186714896987,19.466051526893185,7.0,0.0,0,
col_47716220585b527aaf095e5cd827326f,San Angel,Alvaro Obregon,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,938756.9061328304,0.9387569061328305,479720.2739105008,2139135.710284355,-99.19308410959175,19.346109199732478,1.0,0.0,0,
col_479170cdfd5b53c484ffa7a376547b3a,Alamos,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1104410.2602822145,1.1044102602822146,485143.15072727774,2144874.0065060174,-99.14149756879256,19.398015255442836,2.0,0.0,1,positive_area_intersections_reported
col_49351caf73a652ba8bcc7655ce37dd18,Anahuac,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1485468.251217982,1.485468251217982,481456.80448148266,2149960.5107273464,-99.17665611566909,19.443952438646885,4.0,0.0,2,positive_area_intersections_reported
col_49f6b5a0ab625bda9ca00f7acd601c17,Americas Unidas,Benito Juarez,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_4a6ce89e87ac5037b13cd12239825b31,Residencial Emperadores,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,128798.44370502484,0.12879844370502483,483457.9871745283,2141601.2108937255,-99.15751868931261,19.368424903636335,1.0,0.0,0,
col_4b057d99c17f5783822af98b43744780,Santa Catarina,Coyoacan,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,787876.0871478713,0.7878760871478713,481770.78708380356,2139377.6042896123,-99.17356347062169,19.348314910987227,2.0,0.0,0,
col_4d16bf4016d1531fac1806d04420e1fc,Acacias,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,335013.84480872937,0.33501384480872937,481719.88586407586,2141124.9585175784,-99.17406486015575,19.364105801820017,4.0,0.0,2,positive_area_intersections_reported
col_506a1cf0beec53eb97a74f9abc9cfe66,San Jose Insurgentes,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,700899.4069421368,0.7008994069421368,480522.7380780646,2141392.449490103,-99.18546689791438,19.36651193738562,3.0,0.0,1,positive_area_intersections_reported
col_5176ae04e5c95d57b5192bbca17b2436,Condesa,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,673077.1296283924,0.6730771296283924,481490.9919929006,2146727.9986255234,-99.17629890109438,19.41473983284815,2.0,0.0,3,positive_area_intersections_reported
col_5322fef4c1c650588d41946f956ec97e,Hipodromo,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1119773.401899531,1.1197734018995311,482019.86244782084,2146118.093493709,-99.1712556387707,19.409232792760708,5.0,0.0,0,
col_543d04998daf5e4ab3306049617a67b4,Florida,Alvaro Obregon,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1140789.5627048407,1.1407895627048408,481058.2454774023,2140347.3410718353,-99.18035730854811,19.357072118269926,1.0,0.0,4,positive_area_intersections_reported
col_5481a24d7414578eb3d8dcf5c715fb23,Niños Heroes de Chapultepec,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,358692.4157515112,0.3586924157515112,484870.3780151804,2143576.137752799,-99.14408514605952,19.38628402312035,3.0,0.0,0,
col_588e4e85b75a566e85b1e464fdd27b30,Portales Norte,Benito Juarez,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_62bb8f5cf8d25a898a34208ad6dee465,San Miguel Chapultepec,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1433888.040506951,1.433888040506951,480304.04011436057,2146577.566040703,-99.18760305301043,19.413369015862976,3.0,0.0,3,positive_area_intersections_reported
col_64a29c6aaaf85a42bb0e87a40667ac42,Insurgentes San Borja,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,217525.6394448599,0.2175256394448599,481723.98463721765,2143273.8962317538,-99.17404645115306,19.383526382648743,5.0,0.0,0,
col_6573c9286c5a50288130ecf1765ab3b5,Del Carmen,Coyoacan,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,2083881.4167183468,2.083881416718347,482796.000789598,2140018.3598860814,-99.16380804471902,19.354114650949654,5.0,0.0,5,positive_area_intersections_reported
col_6954f4d5482a5e07b5721c81d464cd43,Algarin,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,386550.10754222685,0.38655010754222685,485272.8977400762,2145711.6548273265,-99.14026834079696,19.40558626122387,2.0,0.0,1,positive_area_intersections_reported
col_6bf10fd8943e5967b7603760fb6cd344,Napoles,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1183057.217520486,1.183057217520486,481441.9590665284,2144235.6354526607,-99.17674161103605,19.392215281471195,4.0,0.0,1,positive_area_intersections_reported
col_6e124db5b88b5695a72b6c82db5754cd,Santa Cruz Atoyac,Benito Juarez,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_6e932760ad7e5318b2922fea188ea3f8,Cuauhtemoc Pensil,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,190561.8925119167,0.1905618925119167,479652.89634317765,2150075.102297323,-99.19384263060137,19.444970479192733,2.0,0.0,0,
col_6f85f8cb1357503bae86559c4ab47194,Veronica Anzures,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,456066.0216763351,0.4560660216763351,481686.7013780199,2149125.7987435968,-99.17445789775479,19.436411090343352,4.0,0.0,1,positive_area_intersections_reported
col_76cd2cc2efb657e1a3779dc11ff63e1d,Cuauhtemoc,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1241856.0196525773,1.2418560196525774,482293.3299072487,2148413.314256506,-99.16867234608053,19.42997767418049,5.0,0.0,2,positive_area_intersections_reported
col_76d47b3676925748aa9d3dee653c6562,Modelo Pensil,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,141334.76875617972,0.14133476875617973,480076.93796587933,2150234.5093779406,-99.18980456562582,19.44641534342086,1.0,0.0,0,
col_77126fcee0bf5162978113f718dc8420,Hipodromo Condesa,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,372128.32703973324,0.37212832703973325,481151.0277504152,2146131.674821045,-99.17953114454627,19.40934754292697,2.0,0.0,2,positive_area_intersections_reported
col_7d88ca5b0c8d519c962986381a6c0a11,San Pedro de los Pinos,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,941654.5308901295,0.9416545308901295,480599.7362398569,2144039.169863172,-99.18476067294516,19.39043179941891,3.0,0.0,1,positive_area_intersections_reported
col_7f4389bc274355ffaf821a5f6d5a33f1,Mariano Escobedo,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_81496637921a5e749f117e8ef4f2ee99,Credito Constructor,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,178922.04638421573,0.17892204638421574,481062.7705125028,2141217.2451911643,-99.18032286491797,19.36493373304486,4.0,0.0,1,positive_area_intersections_reported
col_81ad18034e5855e38b63dfffe608d3d3,Letran Valle,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,711575.6751227268,0.7115756751227268,483716.2594508708,2142453.807495996,-99.15506662778031,19.376132174731953,5.0,0.0,0,
col_84c2fef5059c546e9a59e6816fb7e72b,Extremadura Insurgentes,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,244637.75761839107,0.24463775761839107,481111.7912168055,2142556.234007554,-99.17986936091111,19.377035006380318,5.0,0.0,0,
col_8694171d7ed551d78020504424e7148c,Xoco,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,596242.1935811114,0.5962421935811114,482485.62950577843,2140872.6880550054,-99.16677108690227,19.361832785276075,2.0,0.0,2,positive_area_intersections_reported
col_8dd63c1e84435db49a927bcd4b149776,Atlampa,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1068944.9034705465,1.0689449034705465,483587.8147473946,2151584.1893017143,-99.15636866278278,19.458644588702022,3.0,0.0,0,
col_8e89f7e8963258c3b4c0ec85deb35ae9,Tlacoquemecatl del Valle,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,498775.06941808976,0.49877506941808974,481642.3157193201,2142476.4534879187,-99.17481651044129,19.37631893173996,5.0,0.0,0,
col_926ff32000a751399a54daad7479254d,Anzures,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,846171.733627053,0.846171733627053,481314.0373297649,2148575.6141867507,-99.17800257536057,19.43143550742455,4.0,0.0,1,positive_area_intersections_reported
col_92cd6e3f23155eedb10936246b2da76c,Popotla,Miguel Hidalgo,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,978950.5421006772,0.9789505421006771,481219.7363916911,2151073.376249436,-99.17892561644392,19.45400741293019,5.0,0.0,4,positive_area_intersections_reported
col_96af67dbdc945131a7e1fb18aab974fa,Parque San Andres,Coyoacan,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,552705.411247507,0.5527054112475069,484418.4889376033,2139087.306182985,-99.14835194327385,19.345713666639558,0.0,0.0,1,queen_isolate_no_fallback;positive_area_intersections_reported
col_99820d9ec1005837855fcf0d7f8dcaf0,Narvarte Poniente,Benito Juarez,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_9b8d9872383b59f7a23d22ab97fc79d8,Roma Norte,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,2314754.7925754003,2.3147547925754,482932.39393971843,2147118.3014145633,-99.16257305038265,19.418279897084357,4.0,0.0,1,positive_area_intersections_reported
col_9bbea60acc995fa7b9c482efc14ebb94,Ciudad de los Deportes,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,386090.7825489418,0.3860907825489418,481092.1145052365,2143259.4991245754,-99.18006372248767,19.383390415587165,5.0,0.0,0,
col_9f7b23fc019150a58f8d3fa8ecb0545b,Actipan,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,295662.5875100872,0.29566258751008717,481289.7349838848,2141764.5376978656,-99.17816706037978,19.369881896621852,6.0,0.0,0,
col_a069943804255517b1a44551a37b7d8e,Insurgentes Mixcoac,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,508979.52656463184,0.5089795265646319,480739.8249426101,2142080.3750659097,-99.18340671007205,19.37273100464308,6.0,0.0,0,
col_a11503ab8f7b52ecba6e146f1cd2bcae,Noche Buena,Benito Juarez,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,148274.84910016434,0.14827484910016434,481219.4713719988,2142960.7252968573,-99.17884793352314,19.380691513583262,4.0,0.0,0,
col_a20da3b32dc95373bfc155a68e4197fa,Roma Sur,Cuauhtemoc,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,1404212.7986738612,1.4042127986738613,482963.8143247587,2145820.030134758,-99.16226212458992,19.40654737129191,4.0,0.0,1,positive_area_intersections_reported
col_a21a9068f97957a2a0828f64e9102bde,Nueva Santa Maria,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,717965.3872756773,0.7179653872756773,482368.6797974838,2152049.6718105124,-99.16798838369459,19.4628408551043,3.0,0.0,3,positive_area_intersections_reported
col_a4784e1d94d556b3b35e2f91d799fbf4,Bosque de Chapultepec,Miguel Hidalgo,False,,,False,,missing_source,,False,OGC:CRS84,EPSG:32614,EPSG:4326,,,,,,,,,0,no_polygon_match
col_a8d3b136a1115b0380f6f041ad7b12a8,Sector Naval,Azcapotzalco,True,True,Polygon,True,,not_needed,,False,OGC:CRS84,EPSG:32614,EPSG:4326,56762.19828157639,0.056762198281576394,481421.0212308662,2152845.4632016867,-99.17702529783973,19.470023975928036,3.0,0.0,0,
