colonia,alcaldia,n_periodos_con_datos,viajes_total_acumulado,km_ciclovia,establecimientos_denue_relacionados,aperturas_denue_en_ventana_panel,accidentes_ciclistas_en_ventana_panel,victimas_ciclistas_en_ventana_panel,poblacion_colonia_2020,poblacion_alcaldia_2020,indice_uso_ecobici_promedio,indice_demanda_compuesto_promedio,tendencia_pendiente_theilsen,tendencia_categoria
Roma Norte,Cuauhtemoc,25,6550585,18.132130641303046,22,3,45,26,25414.143707893338,545884,5.432023969608913,2.3626154278894185,0.0011434535532151928,Estable
Centro,Cuauhtemoc,25,3860983,5.344333172152654,203,16,45,26,31514.09304003132,545884,2.9682502534609743,1.7750787393855496,-0.00192505815472261,Estable
Juarez,Cuauhtemoc,25,4587465,11.94795826976694,18,1,45,26,8881.881724163952,545884,3.636133467542416,1.5499078613163468,-0.00269692814219324,Estable
Cuauhtemoc,Cuauhtemoc,25,3758341,3.3357183012360077,12,2,45,26,11939.533285947571,545884,2.893872064533318,1.5448919335462608,-0.006177889311439459,Estable
Polanco,Miguel Hidalgo,25,4497080,22.74234618955419,0,0,12,11,31364.847127472596,414470,3.5210193233934968,1.1327485927377787,0.006182705581477344,Estable
Hipodromo,Cuauhtemoc,25,3270942,8.665113258638913,7,0,45,26,11858.33224859694,545884,2.4573964543091478,1.1089970616929345,-0.007792636171937892,Estable
Santa Maria la Ribera,Cuauhtemoc,25,2079824,4.1955649470906895,12,1,45,26,42345.18602760298,545884,1.2280119317246527,0.9397647804436245,0.021535826652007366,Creciente
Roma Sur,Cuauhtemoc,25,2224350,6.398193686672896,13,1,45,26,19020.550774655458,545884,1.4483578474645447,0.7602185006328057,0.002378063424563207,Estable
Condesa,Cuauhtemoc,25,2013862,2.2718878064356542,4,0,45,26,8733.129884759386,545884,1.2877391374139657,0.744976796000004,-0.006169205643845821,Estable
San Rafael,Cuauhtemoc,25,1846179,4.97218850793591,7,0,45,26,21729.96513567864,545884,1.1238143255346542,0.6719879707201609,-0.0021811529256378897,Estable
Buenavista,Cuauhtemoc,25,1585338,3.767136694628792,4,1,45,26,16095.066813605745,545884,0.8950561106914106,0.5600855232418751,-0.005436813174642027,Estable
Doctores,Cuauhtemoc,25,1548337,11.288781286734237,10,3,45,26,50109.728848962026,545884,0.7728974073282997,0.5149172849348846,0.01566960739182329,Estable
Escandon,Miguel Hidalgo,25,1624040,6.052793610961007,0,0,12,11,27153.64059262174,414470,0.9057617269036814,0.43610055526108743,0.0012939851991024104,Estable
Del Valle Norte,Benito Juarez,25,1561066,,8,0,28,19,,434153,0.8372870038666802,0.42944051842255254,0.0004401052663221824,Estable
Narvarte Poniente,Benito Juarez,25,1337169,,12,0,28,19,,434153,0.653097643448846,0.33734583821363545,-0.003998325298273089,Estable
Del Valle Sur,Benito Juarez,25,1249846,,4,0,28,19,,434153,0.5642221410412575,0.29290808700984117,-0.0022752110480828095,Estable
Obrera,Cuauhtemoc,17,582114,6.431290152408508,18,6,45,26,34618.95757482006,545884,0.09414291844980525,0.2835890981074089,0.003957102722591278,Estable
Portales,Benito Juarez,17,763449,6.96023842576016,0,0,28,19,40872.00361785096,434153,0.3149257870043305,0.25364032198026076,0.009985662014632664,Estable
Narvarte,Benito Juarez,17,753506,8.827615638051679,0,0,28,19,49304.1456234127,434153,0.3027723370207045,0.24890343036386464,0.006189906649256595,Estable
Napoles,Benito Juarez,25,1137443,6.874044181937556,5,3,28,19,21044.856422728015,434153,0.4810004521838937,0.20869272550742982,-0.005652440786288112,Estable
Tabacalera,Cuauhtemoc,25,1219936,5.865490295769558,3,0,45,26,4173.904472831688,545884,0.5499191927334096,0.19665291868848292,-0.0018024792045498506,Estable
Anahuac,Miguel Hidalgo,21,652377,3.870025444174845,1,0,12,11,36655.77548536034,414470,0.060137892322788856,0.18770675674866538,0.007076370585313206,Estable
Hipodromo Condesa,Cuauhtemoc,25,678207,0.5545874836292937,4,1,45,26,3606.783556442895,545884,0.05501857644161436,0.15543014825889212,-0.003059771067615843,Estable
San Pedro de los Pinos,Benito Juarez,25,719837,2.3872439082131787,3,0,28,19,15584.34031547826,434153,0.08447501964093583,0.11683427581513384,-0.003422269688853884,Estable
Anzures,Miguel Hidalgo,25,799365,0.3519898855122308,9,1,12,11,6321.012789472237,414470,0.16036449954513085,0.11217873865854772,-0.00038071102434718653,Estable
Del Valle Centro,Benito Juarez,25,846433,,6,0,28,19,,434153,0.19838069938306296,0.10998736618074395,-0.0032817988194030236,Estable
San Miguel Chapultepec,Miguel Hidalgo,25,1013166,5.825950295810988,0,0,12,11,11771.838503104907,414470,0.34276780039244287,0.028734326959469713,0.003438609162433944,Estable
Bosque de Chapultepec,Miguel Hidalgo,25,758649,,1,0,12,11,,414470,0.12103204131366035,0.020929963794311255,-0.0008431250141500275,Estable
Alamos,Benito Juarez,17,440929,4.0865002385792435,4,0,28,19,21647.84917904753,434153,-0.07830194780858668,0.00026226349290797945,0.005797012785814056,Estable
Santa Cruz Atoyac,Benito Juarez,25,531362,,3,0,28,19,,434153,-0.09508895082315771,-0.03674745892236642,-0.0030523267133794477,Estable
Algarin,Cuauhtemoc,16,199238,1.3106186856425484,3,1,45,26,6026.38004158699,545884,-0.36487052471435966,-0.04719673380929016,-0.005048800323960505,Estable
Insurgentes Mixcoac,Benito Juarez,25,665130,3.889564477782453,5,1,28,19,5782.867867230586,434153,0.028507882334483564,-0.050247184169054285,-0.0018075905241121308,Estable
Anahuac I Seccion,Miguel Hidalgo,25,567008,,3,0,12,11,,414470,-0.05982990582866014,-0.069501009776849,0.0010228563238281127,Estable
Granada,Miguel Hidalgo,25,552490,5.867978457022641,4,0,12,11,23404.36878284745,414470,-0.06999302925593973,-0.07742932078863132,0.0004206446618526449,Estable
General Pedro Maria Anaya,Benito Juarez,25,280817,0.6398460863398647,0,0,28,19,7834.563041735815,434153,-0.30917264180095516,-0.08001230478674458,-0.00484024643703122,Estable
Actipan,Benito Juarez,25,445332,1.9630723821160991,1,0,28,19,4135.995638377992,434153,-0.15967075364584848,-0.08900877997997939,-0.004695448191923198,Estable
Tlaxpana,Miguel Hidalgo,20,302440,0.3701088006902779,2,0,12,11,8311.187275791783,414470,-0.2815835651240172,-0.09207637983685324,0.0032111196093390416,Estable
San Jose Insurgentes,Benito Juarez,25,390773,1.925632631520763,4,1,28,19,6844.609186001575,434153,-0.23098989770221706,-0.09446450819376556,-0.0007866678194666189,Estable
Vertiz Narvarte,Benito Juarez,17,257084,0.6028232032461439,0,0,28,19,7125.904919317074,434153,-0.303015760275795,-0.10401231014245947,0.002132619475677607,Estable
Tlacoquemecatl del Valle,Benito Juarez,25,453401,3.2942193128411565,0,0,28,19,7661.651665990737,434153,-0.159669360254469,-0.1098115310670284,-0.003583941486770388,Estable
Atlampa,Cuauhtemoc,21,142860,3.664565898107673,2,0,45,26,14447.333348567048,545884,-0.44939966489323474,-0.11406638852304193,-0.0021726283066081245,Estable
Popotla,Miguel Hidalgo,20,308002,3.057932288634092,6,1,12,11,15253.398928775398,414470,-0.2724317057415329,-0.1247593938883264,0.0016617763850411426,Estable
Agricultura,Miguel Hidalgo,21,286457,0.1979709234141713,0,0,12,11,4693.484414269831,414470,-0.3021344200585721,-0.1307330066700836,0.0014181920076562875,Estable
Irrigacion,Miguel Hidalgo,25,173868,0.0,4,1,12,11,10380.759331315392,414470,-0.41419643727194894,-0.1307413777518541,-9.588939967796636e-05,Estable
Veronica Anzures,Miguel Hidalgo,25,311403,0.0,2,0,12,11,3412.661028456114,414470,-0.28987390800206364,-0.13462439629319842,-0.00019787136777376393,Estable
Claveria,Azcapotzalco,16,193151,1.0210896022770786,3,0,11,10,9995.42539143723,432205,-0.3726424956015635,-0.13627566412788464,-0.0007628844345085256,Estable
Ciudad de los Deportes,Benito Juarez,25,270363,1.249022770273093,2,0,28,19,5037.696323928133,434153,-0.3273951341080138,-0.1372583216772965,-0.003990377673874197,Estable
Nonoalco,Benito Juarez,25,159946,0.973158678886878,0,0,28,19,9322.714911440162,434153,-0.42564689307709286,-0.1381584331630752,-0.003735769194258661,Estable
San Simon Ticumac,Benito Juarez,17,222415,2.163348403377232,5,0,28,19,12278.610656857218,434153,-0.3445571440516583,-0.14024483491950218,0.0027905340058689337,Estable
Acacias,Benito Juarez,25,228948,1.2848066693068314,1,0,28,19,5864.753876507198,434153,-0.36211030980954606,-0.14876368881571966,-0.003438281937224562,Estable
Ampliacion Napoles,Benito Juarez,25,278154,,3,0,28,19,,434153,-0.323913183420492,-0.15115957522103357,-0.0028040185180268204,Estable
Del Carmen,Coyoacan,24,606823,4.912313884263389,6,0,5,1,10249.105797046055,614447,-0.0350168295135286,-0.15428651323434886,0.006723811692788831,Estable
Ampliacion Granada,Miguel Hidalgo,25,369379,,0,0,12,11,,414470,-0.2476791106987614,-0.16342561221189963,0.002701103913888771,Estable
