colonia_ecobici,km_ciclovia
Acacias,1.2848066693068314
Actipan,1.9630723821160994
Agricultura,0.1979709234141713
Alamos,4.0865002385792435
Algarin,1.3106186856425484
Anahuac,3.870025444174845
Angel Zimbron,0.016650325739750296
Anzures,0.3519898855122308
Atlampa,3.664565898107673
Axotla,0.0
Buenavista,3.767136694628792
Centro,5.344333172152654
Centro Urbano Presidente Aleman,0.16636932005223995
Ciudad de los Deportes,1.249022770273093
Claveria,1.0210896022770786
Condesa,2.2718878064356542
Credito Constructor,1.1660566332495608
Cuauhtemoc,3.3357183012360077
Cuauhtemoc Pensil,0.5598909029235637
Del Carmen,4.912313884263389
Del Recreo,1.7641521328558927
Doctores,11.288781286734235
Escandon,6.052793610961007
Extremadura Insurgentes,1.30914280194569
Florida,1.3770348423031933
General Pedro Maria Anaya,0.6398460863398647
Granada,5.867978457022641
Guadalupe Inn,3.2071646311617106
Hipodromo,8.665113258638913
Hipodromo Condesa,0.5545874836292937
Ignacio Allende,0.025278033052702015
Independencia,1.1133709978210002
Insurgentes Mixcoac,3.889564477782453
Insurgentes San Borja,0.29377136217136496
Irrigacion,0.0
Josefa Ortiz de Dominguez,0.18658881087866963
Juarez,11.947958269766941
Letran Valle,3.8441576507053528
Modelo Pensil,0.7476168143891591
Molino del Rey,7.955732757130039
Napoles,6.874044181937556
Narvarte,8.827615638051679
Nextitla,0.0
Niños Heroes de Chapultepec,0.946962165153755
Noche Buena,0.7990986847027288
Nonoalco,0.973158678886878
Nueva Santa Maria,2.875477552655641
Obrera,6.431290152408508
Obrero Popular,1.1920263999701008
Parque San Andres,1.5067941131304357
Piedad Narvarte,0.9846862244474107
Plutarco Elias Calles,1.446577656516791
Polanco,22.74234618955419
Popotla,3.057932288634092
Portales,6.96023842576016
Postal,0.5485578509484828
Residencial Emperadores,0.4684523919364831
Roma Norte,18.132130641303046
Roma Sur,6.398193686672896
San Alvaro,0.3243558502787198
San Angel,2.577240782557102
San Diego Churubusco,0.46908529980046537
San Jose Insurgentes,1.925632631520763
San Mateo,0.19664498912118422
San Miguel Chapultepec,5.825950295810988
San Pedro de los Pinos,2.3872439082131787
San Rafael,4.97218850793591
San Salvador Xochimanca,1.098436692815504
San Simon Ticumac,2.163348403377232
Santa Catarina,0.0
Santa Maria la Ribera,4.1955649470906895
Santo Tomas,0.5103318015536391
Sector Naval,0.35007907330504345
Tabacalera,5.865490295769558
Tacuba,1.4069478055899691
Tlacoquemecatl del Valle,3.2942193128411565
Tlatilco,1.1939827884784224
Tlaxpana,0.3701088006902779
Un Hogar para Nosotros,1.423447140441596
Veronica Anzures,0.0
Vertiz Narvarte,0.6028232032461439
Victoria de las Democracias,0.0
Villa Coyoacan,0.0
Xoco,0.5389930024546307
