horizon,coverage_bucket,model,n_observations,MAE,mean_neighbor_coverage,spatial_improvement_pct
1,HIGH_COVERAGE,LGBM_TEMPORAL,266,543.7179293424938,1.0,0.7848069664335566
1,HIGH_COVERAGE,LGBM_TEMPORAL_SPATIAL,266,539.4507931552656,1.0,0.7848069664335566
1,HIGH_COVERAGE,PERSISTENCE,266,552.6203007518797,1.0,0.7848069664335566
1,LOW_COVERAGE,LGBM_TEMPORAL,222,857.2758754559616,0.4532282282282283,-3.638325828877299
1,LOW_COVERAGE,LGBM_TEMPORAL_SPATIAL,222,888.4663650574098,0.4532282282282283,-3.638325828877299
1,LOW_COVERAGE,PERSISTENCE,222,920.6666666666666,0.4532282282282283,-3.638325828877299
1,MEDIUM_COVERAGE,LGBM_TEMPORAL,169,856.218075299778,0.7265708650324035,2.0797665631176327
1,MEDIUM_COVERAGE,LGBM_TEMPORAL_SPATIAL,169,838.4107380623238,0.7265708650324035,2.0797665631176327
1,MEDIUM_COVERAGE,PERSISTENCE,169,882.0769230769231,0.7265708650324035,2.0797665631176327
3,HIGH_COVERAGE,LGBM_TEMPORAL,225,740.6960531826498,1.0,-13.445712688167688
3,HIGH_COVERAGE,LGBM_TEMPORAL_SPATIAL,225,840.2879163861867,1.0,-13.445712688167688
3,HIGH_COVERAGE,PERSISTENCE,225,775.6622222222222,1.0,-13.445712688167688
3,LOW_COVERAGE,LGBM_TEMPORAL,188,1233.0091191195647,0.45354609929078016,-18.39216600186568
3,LOW_COVERAGE,LGBM_TEMPORAL_SPATIAL,188,1459.7862031261768,0.45354609929078016,-18.39216600186568
3,LOW_COVERAGE,PERSISTENCE,188,1006.5957446808511,0.45354609929078016,-18.39216600186568
3,MEDIUM_COVERAGE,LGBM_TEMPORAL,153,1009.5013670649987,0.7199968876439464,-7.797799482700188
3,MEDIUM_COVERAGE,LGBM_TEMPORAL_SPATIAL,153,1088.2202594438445,0.7199968876439464,-7.797799482700188
3,MEDIUM_COVERAGE,PERSISTENCE,153,908.7973856209151,0.7199968876439464,-7.797799482700188
6,HIGH_COVERAGE,LGBM_TEMPORAL,267,2477.035944575751,1.0,-5.7799696007619135
6,HIGH_COVERAGE,LGBM_TEMPORAL_SPATIAL,267,2620.207869172175,1.0,-5.7799696007619135
6,HIGH_COVERAGE,PERSISTENCE,267,716.5093632958801,1.0,-5.7799696007619135
6,LOW_COVERAGE,LGBM_TEMPORAL,172,2348.845331228586,0.44980620155038764,-12.838004005969356
6,LOW_COVERAGE,LGBM_TEMPORAL_SPATIAL,172,2650.390188945736,0.44980620155038764,-12.838004005969356
6,LOW_COVERAGE,PERSISTENCE,172,1108.5523255813953,0.44980620155038764,-12.838004005969356
6,MEDIUM_COVERAGE,LGBM_TEMPORAL,132,1583.7810811534619,0.7344877344877343,-11.903179138929906
6,MEDIUM_COVERAGE,LGBM_TEMPORAL_SPATIAL,132,1772.3013804116392,0.7344877344877343,-11.903179138929906
6,MEDIUM_COVERAGE,PERSISTENCE,132,854.0984848484849,0.7344877344877343,-11.903179138929906
12,HIGH_COVERAGE,LGBM_TEMPORAL,259,6134.641791338353,1.0,-4.221558028503379
12,HIGH_COVERAGE,LGBM_TEMPORAL_SPATIAL,259,6393.619254400521,1.0,-4.221558028503379
12,HIGH_COVERAGE,PERSISTENCE,259,1395.5289575289576,1.0,-4.221558028503379
12,LOW_COVERAGE,LGBM_TEMPORAL,149,5532.829454603169,0.4425055928411633,-30.394984214524186
12,LOW_COVERAGE,LGBM_TEMPORAL_SPATIAL,149,7214.532093946347,0.4425055928411633,-30.394984214524186
12,LOW_COVERAGE,PERSISTENCE,149,1260.8389261744967,0.4425055928411633,-30.394984214524186
12,MEDIUM_COVERAGE,LGBM_TEMPORAL,124,6034.3874727219145,0.7405337941628264,1.7197410438940435
12,MEDIUM_COVERAGE,LGBM_TEMPORAL_SPATIAL,124,5930.611634605915,0.7405337941628264,1.7197410438940435
12,MEDIUM_COVERAGE,PERSISTENCE,124,1498.6209677419354,0.7405337941628264,1.7197410438940435
