evaluation_scope,model,horizon,split_id,origin_period,target_period,MAE,RMSE,sMAPE,R2,directional_accuracy,n_observations
EVALUATION_ALL,PERSISTENCE,1,h1_2025-01,2025-01,2025-02,467.64150943396226,712.3440312573164,5.311463631855531,0.9931064835646974,0.0,53
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-01,2025-01,2025-02,1509.5922441533876,2293.0207015311894,11.305236375945375,0.9285705695669411,0.4528301886792453,53
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-01,2025-01,2025-02,1392.0418544634895,2233.071195221876,10.177974820077775,0.9322566958911418,0.4716981132075472,53
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-01,2025-01,2025-02,,,,,,0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-01,2025-01,2025-02,,,,,,0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-01,2025-01,2025-02,,,,,,0
EVALUATION_ALL,PERSISTENCE,1,h1_2025-02,2025-02,2025-03,535.34,834.4449772153944,6.543145996310577,0.9921458630819556,0.0,50
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-02,2025-02,2025-03,836.7598206413473,999.8958925500148,13.759595280151334,0.9887225054239853,0.36,50
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-02,2025-02,2025-03,953.8234296817277,1104.3922122295958,16.424179219510144,0.9862421766391031,0.4,50
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-02,2025-02,2025-03,665.4666666666667,1014.4384325001362,7.180195098272148,0.9894511244882148,0.0,30
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-02,2025-02,2025-03,858.0139480663745,1055.3011492260089,11.825200298876057,0.9885841671623516,0.36666666666666664,30
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-02,2025-02,2025-03,962.626344395398,1134.6885105406595,14.115352940452025,0.9868020009327358,0.4666666666666667,30
EVALUATION_ALL,PERSISTENCE,1,h1_2025-03,2025-03,2025-04,708.1694915254237,1085.458116204351,7.704149798243577,0.9873169959760281,0.0,59
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-03,2025-03,2025-04,1432.7277053327591,3058.3177609905424,12.40820891406955,0.8993158278884625,0.15254237288135594,59
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-03,2025-03,2025-04,1330.199653075315,2927.6254205813007,11.755555443492744,0.9077371196709058,0.1864406779661017,59
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-03,2025-03,2025-04,744.4864864864865,992.8210693149474,9.259618192198108,0.9780897959600057,0.0,37
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-03,2025-03,2025-04,1186.4754716899035,1610.794241472652,13.625324246182693,0.942325400341996,0.13513513513513514,37
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-03,2025-03,2025-04,1181.9065112084434,1646.2572707719721,13.791283707653726,0.9397579331070286,0.10810810810810811,37
EVALUATION_ALL,PERSISTENCE,1,h1_2025-04,2025-04,2025-05,500.0877192982456,732.6912539973509,5.78866865344739,0.9952844836373914,0.0,57
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-04,2025-04,2025-05,535.3076209845059,879.6785308276757,6.408725507343428,0.9932027189554685,0.631578947368421,57
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-04,2025-04,2025-05,517.0757328252166,924.9190189167268,6.25475028920741,0.9924855939167221,0.631578947368421,57
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-04,2025-04,2025-05,561.6176470588235,806.8541124785381,6.503749138016215,0.9796777607450975,0.0,34
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-04,2025-04,2025-05,508.5914019218885,668.632645018095,6.598001965027684,0.986044137582332,0.6176470588235294,34
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-04,2025-04,2025-05,472.1725456975345,603.1096375124511,6.749285355175175,0.9886453418649757,0.6176470588235294,34
EVALUATION_ALL,PERSISTENCE,1,h1_2025-05,2025-05,2025-06,1593.388888888889,2793.1675318732873,10.754778191458472,0.974395923744912,0.0,72
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-05,2025-05,2025-06,1419.7441699727867,3543.894512106598,7.1659014853667795,0.958782968129589,0.8055555555555556,72
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-05,2025-05,2025-06,1577.4207671697966,3606.3656966850676,9.4130366786533,0.9573170263260291,0.6666666666666666,72
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-05,2025-05,2025-06,1168.0851063829787,1664.9169425325442,10.115474208466738,0.9675883503096745,0.0,47
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-05,2025-05,2025-06,695.5548075168384,1240.2804242129005,5.801828398400358,0.9820131228266948,0.8297872340425532,47
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-05,2025-05,2025-06,872.8741941678848,1297.1455110151226,8.523887417960859,0.980325967483494,0.7021276595744681,47
EVALUATION_ALL,PERSISTENCE,1,h1_2025-06,2025-06,2025-07,830.2539682539683,1268.3965756086986,9.327835781665163,0.9862433545620486,0.0,63
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-06,2025-06,2025-07,932.3612673791091,1173.4580043137546,12.524910704750603,0.9882256341588704,0.3333333333333333,63
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-06,2025-06,2025-07,932.5431944372972,1212.6315127309604,12.145214444216624,0.98742638603756,0.42857142857142855,63
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-06,2025-06,2025-07,839.1282051282051,1357.3798478252324,10.021338339364219,0.9828376352702294,0.0,39
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-06,2025-06,2025-07,985.1776508582908,1250.9870578781347,13.412664548904088,0.985422603511573,0.3076923076923077,39
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-06,2025-06,2025-07,932.5156783037539,1274.1636093730456,12.667622472999406,0.9848774605044843,0.46153846153846156,39
EVALUATION_ALL,PERSISTENCE,1,h1_2025-07,2025-07,2025-08,706.5138888888889,1323.7208238312353,5.5364140903437296,0.9936001980470551,0.0,72
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-07,2025-07,2025-08,939.3355514543853,1964.0386204762685,6.6185072680554455,0.9859112072824197,0.625,72
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-07,2025-07,2025-08,871.9706988851309,1964.7617906681953,5.9848223152366975,0.9859008302250882,0.625,72
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-07,2025-07,2025-08,659.0925925925926,1005.2681142269864,5.161446928609494,0.9953678421978717,0.0,54
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-07,2025-07,2025-08,818.6606590185166,1432.2548560393786,6.122607094162831,0.9905971363679517,0.6481481481481481,54
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-07,2025-07,2025-08,718.4492075138332,1273.8863860037802,5.328775909189647,0.992561576111806,0.6481481481481481,54
EVALUATION_ALL,PERSISTENCE,1,h1_2025-08,2025-08,2025-09,391.6,846.9370333510859,5.258098939539056,0.98746377928573,0.0,65
EVALUATION_ALL,LGBM_TEMPORAL,1,h1_2025-08,2025-08,2025-09,435.651477233561,735.4152489461075,5.136111958017315,0.9905478709010814,0.5384615384615384,65
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,h1_2025-08,2025-08,2025-09,433.9650322452746,753.6046303955993,5.264308286565034,0.9900745204343986,0.6,65
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,h1_2025-08,2025-08,2025-09,455.44444444444446,985.2391813384426,5.918622396691232,0.9853377057406585,0.0,45
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,h1_2025-08,2025-08,2025-09,507.8971693853658,850.062995432363,5.64804263373767,0.9890850737920729,0.4888888888888889,45
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,h1_2025-08,2025-08,2025-09,507.7100788547775,872.4492919159655,5.809316867238655,0.9885026177407853,0.6,45
