feature_name,model_type,horizon,gain_importance,split_importance,n_fits
cos_month,LGBM_TEMPORAL,1,3672380945.4444447,133.0,18
cos_month,LGBM_TEMPORAL,3,15114112437.555555,156.11111111111111,18
cos_month,LGBM_TEMPORAL,6,15036683196.470589,119.6470588235294,17
cos_month,LGBM_TEMPORAL,12,15701566881.5,115.4375,16
cos_month,LGBM_TEMPORAL_SPATIAL,1,3156772819.5555553,107.83333333333333,18
cos_month,LGBM_TEMPORAL_SPATIAL,3,9795886044.444445,117.83333333333333,18
cos_month,LGBM_TEMPORAL_SPATIAL,6,13018691284.470589,85.0,17
cos_month,LGBM_TEMPORAL_SPATIAL,12,11306877827.375,70.3125,16
growth_1,LGBM_TEMPORAL,1,14783740653.666666,367.1111111111111,18
growth_1,LGBM_TEMPORAL,3,35023806090.55556,325.1111111111111,18
growth_1,LGBM_TEMPORAL,6,54198195570.47059,383.47058823529414,17
growth_1,LGBM_TEMPORAL,12,86004699454.80917,500.875,16
growth_1,LGBM_TEMPORAL_SPATIAL,1,19985116409.88889,248.77777777777777,18
growth_1,LGBM_TEMPORAL_SPATIAL,3,14016114740.777779,175.61111111111111,18
growth_1,LGBM_TEMPORAL_SPATIAL,6,30706473179.882355,258.6470588235294,17
growth_1,LGBM_TEMPORAL_SPATIAL,12,58813427240.63629,320.625,16
growth_3,LGBM_TEMPORAL,1,22783667912.27778,484.94444444444446,18
growth_3,LGBM_TEMPORAL,3,94700063510.55556,452.77777777777777,18
growth_3,LGBM_TEMPORAL,6,139796149406.0,452.05882352941177,17
growth_3,LGBM_TEMPORAL,12,102937404084.375,296.8125,16
growth_3,LGBM_TEMPORAL_SPATIAL,1,24130670223.666668,397.6666666666667,18
growth_3,LGBM_TEMPORAL_SPATIAL,3,53616662645.55556,320.55555555555554,18
growth_3,LGBM_TEMPORAL_SPATIAL,6,107583633534.23529,320.0,17
growth_3,LGBM_TEMPORAL_SPATIAL,12,90262172437.3125,185.9375,16
lag_1,LGBM_TEMPORAL,1,3520851076445.3335,1135.388888888889,18
lag_1,LGBM_TEMPORAL,3,6060899739379.223,1091.8333333333333,18
lag_1,LGBM_TEMPORAL,6,5088839689725.294,1108.4117647058824,17
lag_1,LGBM_TEMPORAL,12,2266728400050.819,1029.5625,16
lag_1,LGBM_TEMPORAL_SPATIAL,1,3253302494780.1113,1042.1666666666667,18
lag_1,LGBM_TEMPORAL_SPATIAL,3,5603365636970.777,982.1111111111111,18
lag_1,LGBM_TEMPORAL_SPATIAL,6,4682603599507.883,860.4117647058823,17
lag_1,LGBM_TEMPORAL_SPATIAL,12,2134797059097.9375,685.1875,16
lag_3,LGBM_TEMPORAL,1,794991165809.0,398.55555555555554,18
lag_3,LGBM_TEMPORAL,3,1336438550725.4443,372.44444444444446,18
lag_3,LGBM_TEMPORAL,6,792691416672.0,371.0,17
lag_3,LGBM_TEMPORAL,12,65298355881.5,272.4375,16
lag_3,LGBM_TEMPORAL_SPATIAL,1,1025611688253.6666,381.1666666666667,18
lag_3,LGBM_TEMPORAL_SPATIAL,3,1573254291690.889,289.77777777777777,18
lag_3,LGBM_TEMPORAL_SPATIAL,6,989121670921.8823,279.1764705882353,17
lag_3,LGBM_TEMPORAL_SPATIAL,12,146464703605.0625,227.0625,16
month,LGBM_TEMPORAL,1,15212503023.277779,422.8333333333333,18
month,LGBM_TEMPORAL,3,114126123468.22223,413.1666666666667,18
month,LGBM_TEMPORAL,6,127439864071.88235,373.0,17
month,LGBM_TEMPORAL,12,37804508603.94154,206.5,16
month,LGBM_TEMPORAL_SPATIAL,1,14270779684.444445,342.55555555555554,18
month,LGBM_TEMPORAL_SPATIAL,3,72892061919.55556,254.22222222222223,18
month,LGBM_TEMPORAL_SPATIAL,6,92665609804.70589,256.05882352941177,17
month,LGBM_TEMPORAL_SPATIAL,12,28846442331.72876,127.625,16
neighbor_active_zones,LGBM_TEMPORAL_SPATIAL,1,680222504.6666666,43.888888888888886,18
neighbor_active_zones,LGBM_TEMPORAL_SPATIAL,3,4573027202.555555,53.72222222222222,18
neighbor_active_zones,LGBM_TEMPORAL_SPATIAL,6,9468375347.411764,83.94117647058823,17
neighbor_active_zones,LGBM_TEMPORAL_SPATIAL,12,22316645051.1875,138.8125,16
neighbor_growth_lag1,LGBM_TEMPORAL_SPATIAL,1,2902801084.7777777,157.55555555555554,18
neighbor_growth_lag1,LGBM_TEMPORAL_SPATIAL,3,12310931845.333334,167.44444444444446,18
neighbor_growth_lag1,LGBM_TEMPORAL_SPATIAL,6,11330653684.235294,182.23529411764707,17
neighbor_growth_lag1,LGBM_TEMPORAL_SPATIAL,12,14026630311.875,141.75,16
neighbor_observation_coverage,LGBM_TEMPORAL_SPATIAL,1,13240499819.11111,121.27777777777777,18
neighbor_observation_coverage,LGBM_TEMPORAL_SPATIAL,3,22247226842.333332,113.44444444444444,18
neighbor_observation_coverage,LGBM_TEMPORAL_SPATIAL,6,31951069192.588234,182.76470588235293,17
neighbor_observation_coverage,LGBM_TEMPORAL_SPATIAL,12,139842005607.0,273.75,16
neighbor_trips_lag1,LGBM_TEMPORAL_SPATIAL,1,7183357082.888889,185.61111111111111,18
neighbor_trips_lag1,LGBM_TEMPORAL_SPATIAL,3,167399832014.66666,302.1111111111111,18
neighbor_trips_lag1,LGBM_TEMPORAL_SPATIAL,6,167718102859.7647,346.8235294117647,17
neighbor_trips_lag1,LGBM_TEMPORAL_SPATIAL,12,60229116774.5,365.625,16
neighbor_trips_mean_lag3,LGBM_TEMPORAL_SPATIAL,1,1232372898.6666667,81.5,18
neighbor_trips_mean_lag3,LGBM_TEMPORAL_SPATIAL,3,170998333098.77777,267.27777777777777,18
neighbor_trips_mean_lag3,LGBM_TEMPORAL_SPATIAL,6,129071248547.17647,274.7647058823529,17
neighbor_trips_mean_lag3,LGBM_TEMPORAL_SPATIAL,12,10239368202.0,126.125,16
rolling_mean_3,LGBM_TEMPORAL,1,88738549727.77777,268.72222222222223,18
rolling_mean_3,LGBM_TEMPORAL,3,254358864725.33334,276.0,18
rolling_mean_3,LGBM_TEMPORAL,6,330355048068.1177,267.0,17
rolling_mean_3,LGBM_TEMPORAL,12,293521129805.5,196.875,16
rolling_mean_3,LGBM_TEMPORAL_SPATIAL,1,95436853629.55556,245.27777777777777,18
rolling_mean_3,LGBM_TEMPORAL_SPATIAL,3,303851782160.8889,236.16666666666666,18
rolling_mean_3,LGBM_TEMPORAL_SPATIAL,6,321807670062.7059,194.2941176470588,17
rolling_mean_3,LGBM_TEMPORAL_SPATIAL,12,270227757040.4375,154.4375,16
rolling_std_3,LGBM_TEMPORAL,1,22722168092.72222,334.8333333333333,18
rolling_std_3,LGBM_TEMPORAL,3,188395664483.1111,416.6666666666667,18
rolling_std_3,LGBM_TEMPORAL,6,205993142367.88235,394.6470588235294,17
rolling_std_3,LGBM_TEMPORAL,12,144675201404.125,353.5,16
rolling_std_3,LGBM_TEMPORAL_SPATIAL,1,23773725467.22222,288.0,18
rolling_std_3,LGBM_TEMPORAL_SPATIAL,3,119884623597.66667,331.94444444444446,18
rolling_std_3,LGBM_TEMPORAL_SPATIAL,6,203006486609.88235,303.94117647058823,17
rolling_std_3,LGBM_TEMPORAL_SPATIAL,12,121447998937.125,252.9375,16
sin_month,LGBM_TEMPORAL,1,3559319781.2222223,233.44444444444446,18
sin_month,LGBM_TEMPORAL,3,20247635343.444443,220.55555555555554,18
sin_month,LGBM_TEMPORAL,6,59517906820.47059,227.58823529411765,17
sin_month,LGBM_TEMPORAL,12,15470824491.387451,109.1875,16
sin_month,LGBM_TEMPORAL_SPATIAL,1,3429133205.2222223,193.72222222222223,18
sin_month,LGBM_TEMPORAL_SPATIAL,3,17931886461.666668,202.22222222222223,18
sin_month,LGBM_TEMPORAL_SPATIAL,6,47940013964.82353,165.58823529411765,17
sin_month,LGBM_TEMPORAL_SPATIAL,12,22070090369.331238,82.3125,16
trend_3,LGBM_TEMPORAL,1,8825112744.166666,249.5,18
trend_3,LGBM_TEMPORAL,3,34950942703.77778,263.3888888888889,18
trend_3,LGBM_TEMPORAL,6,58423683667.05882,293.88235294117646,17
trend_3,LGBM_TEMPORAL,12,100890469549.25,277.1875,16
