evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-01,2025-02,663.5111384365683,1509.5922441533876,2.275157351104068,False,1112,53,2025-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-01,2025-02,663.5111384365683,,,False,1112,0,2025-01
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-01,2025-02,646.1534688898012,1392.0418544634895,2.154351746892651,False,1112,53,2025-01
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-01,2025-02,646.1534688898012,,,False,1112,0,2025-01
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-02,2025-03,675.4718629323869,836.7598206413473,1.2387782031493813,False,1174,50,2025-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-02,2025-03,675.4718629323869,858.0139480663745,1.2702438031119878,False,1174,30,2025-02
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-02,2025-03,651.5243894318592,953.8234296817277,1.4639872967970986,False,1174,50,2025-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-02,2025-03,651.5243894318592,962.626344395398,1.4774985557099791,False,1174,30,2025-02
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-03,2025-04,660.6308893855422,1432.7277053327591,2.168726483052208,False,1225,59,2025-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-03,2025-04,660.6308893855422,1186.4754716899035,1.7959733502522919,False,1225,37,2025-03
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-03,2025-04,638.7836347815008,1330.199653075315,2.082394696179586,False,1225,59,2025-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-03,2025-04,638.7836347815008,1181.9065112084434,1.8502454459603062,False,1225,37,2025-03
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-04,2025-05,670.8301544801947,535.3076209845059,0.7979778747413331,False,1287,57,2025-04
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-04,2025-05,670.8301544801947,508.5914019218885,0.7581522663005215,False,1287,34,2025-04
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-04,2025-05,644.0543284958794,517.0757328252166,0.8028448997971835,False,1287,57,2025-04
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-04,2025-05,644.0543284958794,472.1725456975345,0.7331253355601901,False,1287,34,2025-04
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-05,2025-06,628.1607428324555,1419.7441699727867,2.2601606136209376,False,1353,72,2025-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-05,2025-06,628.1607428324555,695.5548075168384,1.1072879282148302,False,1353,47,2025-05
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-05,2025-06,607.7922057542772,1577.4207671697966,2.5953290487037406,False,1353,72,2025-05
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-05,2025-06,607.7922057542772,872.8741941678848,1.4361391704334834,False,1353,47,2025-05
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-06,2025-07,624.0452486572269,932.3612673791091,1.4940603576187674,False,1412,63,2025-06
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-06,2025-07,624.0452486572269,985.1776508582908,1.5786958605615877,False,1412,39,2025-06
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-06,2025-07,600.3510035329923,932.5431944372972,1.5533299502281073,False,1412,63,2025-06
