colonia,poblacion_colonia_2020
Acacias,5864.753876507198
Actipan,4135.995638377992
Agricultura,4693.484414269831
Alamos,21647.84917904753
Algarin,6026.38004158699
Anahuac,36655.77548536034
Angel Zimbron,2714.2772001119547
Anzures,6321.012789472237
Atlampa,14447.333348567048
Axotla,1828.601117285683
Buenavista,16095.066813605743
Centro,31514.09304003132
Centro Urbano Presidente Aleman,770.0035912182456
Ciudad de los Deportes,5037.696323928133
Claveria,9995.42539143723
Condesa,8733.129884759386
Credito Constructor,1730.8238934596482
Cuauhtemoc,11939.533285947571
Cuauhtemoc Pensil,6363.47192724256
Del Carmen,10249.105797046055
Del Recreo,8276.649616790746
Doctores,50109.728848962026
Escandon,27153.64059262174
Extremadura Insurgentes,3296.9854833383597
Florida,6905.408597846009
General Pedro Maria Anaya,7834.563041735815
Granada,23404.36878284745
Guadalupe Inn,3936.8978121303594
Hipodromo,11858.33224859694
Hipodromo Condesa,3606.783556442895
Ignacio Allende,1876.584185040144
Independencia,9025.768352823097
Insurgentes Mixcoac,5782.867867230586
Insurgentes San Borja,890.4060543120113
Irrigacion,10380.759331315392
Josefa Ortiz de Dominguez,1470.5391406797382
Juarez,8881.881724163952
Letran Valle,10982.887102901606
Modelo Pensil,3623.8820318664634
Molino del Rey,512.6837024456141
Napoles,21044.856422728015
Narvarte,49304.1456234127
Nextitla,1267.4761951362534
Niños Heroes de Chapultepec,10997.120795317016
Noche Buena,1823.02535011251
Nonoalco,9322.714911440162
Nueva Santa Maria,9734.375890121548
Obrera,34618.95757482006
Obrero Popular,3440.637112539797
Parque San Andres,3383.228947907367
Piedad Narvarte,4740.847301839064
Plutarco Elias Calles,1215.7573736578108
Polanco,31364.847127472596
Popotla,15253.398928775398
Portales,40872.00361785096
Postal,4091.5582470496984
Residencial Emperadores,1609.028237814523
Roma Norte,25414.143707893334
Roma Sur,19020.550774655458
San Alvaro,6423.966589900932
San Angel,3739.3219445070185
San Diego Churubusco,2549.473836862634
San Jose Insurgentes,6844.609186001575
San Mateo,2531.2450906273116
San Miguel Chapultepec,11771.838503104907
San Pedro de los Pinos,15584.340315478259
San Rafael,21729.96513567864
San Salvador Xochimanca,2295.818552063357
San Simon Ticumac,12278.610656857218
Santa Catarina,3312.528924892983
Santa Maria la Ribera,42345.18602760298
Santo Tomas,493.7821043403027
Sector Naval,826.6849385743901
Tabacalera,4173.904472831688
Tacuba,13195.032242363868
Tlacoquemecatl del Valle,7661.651665990737
Tlatilco,6231.427611218678
Tlaxpana,8311.187275791783
Un Hogar para Nosotros,931.0023952670608
Veronica Anzures,3412.661028456114
Vertiz Narvarte,7125.904919317074
Victoria de las Democracias,3681.8672614835145
Villa Coyoacan,2296.916059758132
Xoco,5448.491814157558
