colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Acacias,Benito Juarez,1,-0.28463433871039595,-0.3152095925264924,-0.25860672812634394,Estable
Acacias,Benito Juarez,3,-0.3671531052037855,-0.4588788666520748,-0.2890702734516294,Estable
Acacias,Benito Juarez,5,-0.4496718716971751,-0.6025481407776572,-0.3195338187769149,Estable
Actipan,Benito Juarez,1,-0.270248913409877,-0.29698299377465426,-0.23225091156935715,Estable
Actipan,Benito Juarez,3,-0.38293967001603374,-0.4631419111103655,-0.2689456644944742,Estable
Actipan,Benito Juarez,5,-0.4956304266221905,-0.6293008284460768,-0.30564041741959125,Estable
Agricola,Alvaro Obregon,1,-0.28515192719248666,-0.3337326357094646,-0.2534633838971271,Estable
Agricola,Alvaro Obregon,3,-0.21966741399948053,-0.36540953955041444,-0.12460178411340184,Estable
Agricola,Alvaro Obregon,5,-0.15418290080647443,-0.3970864433913643,0.004259815670323408,Estable
Agricultura,Miguel Hidalgo,1,-0.10845490394314863,-0.13438154092509805,-0.07763795520167939,Estable
Agricultura,Miguel Hidalgo,3,-0.07441829575939773,-0.152198206705246,0.018032550465009983,Estable
Agricultura,Miguel Hidalgo,5,-0.04038168757564685,-0.17001487248539396,0.11370305613169931,Estable
Alamos,Benito Juarez,1,0.14720351028280493,0.10080601418091215,0.18062678249138747,Estable
Alamos,Benito Juarez,3,0.28633181714234224,0.14713932883666392,0.38660163376808987,Estable
Alamos,Benito Juarez,5,0.4254601240018795,0.19347264349241566,0.5925764850447923,Estable
Algarin,Cuauhtemoc,1,-0.1215279729288464,-0.20396859650415455,-0.030081634903979727,Estable
Algarin,Cuauhtemoc,3,-0.24269918070389845,-0.49002105142982283,0.0316398333707016,Estable
Algarin,Cuauhtemoc,5,-0.3638703884789505,-0.7760735063554911,0.09336130164538292,Estable
Americas Unidas,Benito Juarez,1,-0.15041061195400002,-0.19907467137273735,-0.10938431703754939,Estable
Americas Unidas,Benito Juarez,3,-0.10116984954324772,-0.2471620277994597,0.02190903520610421,Estable
Americas Unidas,Benito Juarez,5,-0.0519290871324954,-0.2952493842261821,0.1532023874497578,Estable
Ampliacion Granada,Miguel Hidalgo,1,-0.08450112550754198,-0.10406046365887302,-0.06469586427666678,Estable
Ampliacion Granada,Miguel Hidalgo,3,-0.019674631574211482,-0.07835264602820458,0.03974115211841413,Estable
Ampliacion Granada,Miguel Hidalgo,5,0.04515186235911901,-0.052644828397536134,0.14417816851349502,Estable
Ampliacion Napoles,Benito Juarez,1,-0.25578073160886566,-0.28314587317686685,-0.23277660770986158,Estable
