colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Acacias,Benito Juarez,1,-0.1837368039927586,-0.18953150777159558,-0.1805996509255934,Estable
Acacias,Benito Juarez,3,-0.18036263993541438,-0.20649517543275864,-0.164409198356282,Estable
Acacias,Benito Juarez,5,-0.18107774326280482,-0.2072495092041296,-0.1556872103848862,Estable
Actipan,Benito Juarez,1,-0.14572786659097176,-0.14096586871069222,-0.14008047671742666,Estable
Actipan,Benito Juarez,3,-0.14765707883882961,-0.15792910200310664,-0.12938122992955792,Estable
Actipan,Benito Juarez,5,-0.1483721821662201,-0.15894553687856766,-0.1192103487586777,Estable
Agricola,Alvaro Obregon,1,-0.29311105349096084,-0.2899836525760106,-0.28111101747380496,Estable
Agricola,Alvaro Obregon,3,-0.2825537707116793,-0.2815890224961836,-0.27275364295992427,Estable
Agricola,Alvaro Obregon,5,-0.2825537707116793,-0.28188604840930725,-0.26770090192700435,Estable
Agricultura,Miguel Hidalgo,1,-0.09374745192760524,-0.12211691651222753,-0.08068861724188299,Estable
Agricultura,Miguel Hidalgo,3,-0.08728223260391249,-0.1002267507541643,-0.0879944292854098,Estable
Agricultura,Miguel Hidalgo,5,-0.08728223260391249,-0.09165838569608248,-0.08934695003933243,Estable
Alamos,Benito Juarez,1,0.0524590853242805,0.008928116486363078,0.08913455188642143,Estable
Alamos,Benito Juarez,3,0.06272464076694587,0.032428829788682584,0.07573357691975792,Estable
Alamos,Benito Juarez,5,0.06251242295134368,0.042295443542869356,0.07411610351936747,Estable
Algarin,Cuauhtemoc,1,-0.13273406783209502,-0.12267331041783157,-0.004303190781639345,Estable
Algarin,Cuauhtemoc,3,-0.14129147348365773,-0.10791710467659153,-0.028807266957870753,Estable
Algarin,Cuauhtemoc,5,-0.1416410939226868,-0.10414973223385207,-0.03100332136957285,Estable
Americas Unidas,Benito Juarez,1,-0.18713096007727603,-0.19391559334674974,-0.17272605470680713,Estable
Americas Unidas,Benito Juarez,3,-0.18605198796080627,-0.18879515447991496,-0.1715258159754073,Estable
Americas Unidas,Benito Juarez,5,-0.1866138262154375,-0.18919050107106306,-0.16295745091732547,Estable
Ampliacion Granada,Miguel Hidalgo,1,-0.10918326575415976,-0.13887147570456054,-0.0958728021192139,Estable
Ampliacion Granada,Miguel Hidalgo,3,-0.09103714136011327,-0.11356239094653721,-0.09928143785473727,Estable
Ampliacion Granada,Miguel Hidalgo,5,-0.09086927971923749,-0.10890113255240683,-0.10012692718086173,Estable
Ampliacion Napoles,Benito Juarez,1,-0.1853355292969215,-0.17866678905456204,-0.17648296071059644,Estable
Ampliacion Napoles,Benito Juarez,3,-0.18224111445616745,-0.19923292312302457,-0.1665529528439852,Estable
Ampliacion Napoles,Benito Juarez,5,-0.1828029527107987,-0.20096885307498202,-0.15786919868049604,Estable
Anahuac,Miguel Hidalgo,1,0.28818653048044673,0.22793430030951772,0.3142407475098789,Estable
Anahuac,Miguel Hidalgo,3,0.30961311896619154,0.25308903092840135,0.2915092422057791,Estable
Anahuac,Miguel Hidalgo,5,0.3092949859554565,0.25650839662283187,0.28855977580264697,Estable
Anahuac I Seccion,Miguel Hidalgo,1,-0.04108221147560659,-0.06755905377692,-0.026195449305800346,Estable
Anahuac I Seccion,Miguel Hidalgo,3,-0.037183026929117714,-0.04257423085643112,-0.039399722599366166,Estable
Anahuac I Seccion,Miguel Hidalgo,5,-0.037183026929117714,-0.04205134085740911,-0.03442405991862419,Estable
Angel Zimbron,Azcapotzalco,1,-0.1977101908623998,-0.20755077675944625,-0.19890983085340264,Estable
Angel Zimbron,Azcapotzalco,3,-0.18820110152986738,-0.20122569443525007,-0.18188740266368414,Estable
Angel Zimbron,Azcapotzalco,5,-0.18752967424728448,-0.20162104102639816,-0.17373723172587716,Estable
Anzures,Miguel Hidalgo,1,0.11012086715061845,0.09075769508596385,0.17639826902638636,Estable
Anzures,Miguel Hidalgo,3,0.11398191613591967,0.107176704701038,0.14219353150281755,Estable
Anzures,Miguel Hidalgo,5,0.11421359222821185,0.11098273409491889,0.14051689110404844,Estable
Atlampa,Cuauhtemoc,1,-0.1540017894965013,-0.20440362816809854,-0.03368536777767197,Estable
Atlampa,Cuauhtemoc,3,-0.16664106139343782,-0.18642159539241737,-0.04545085882207855,Estable
Atlampa,Cuauhtemoc,5,-0.16715765359965784,-0.18127447255416965,-0.047680616518264725,Estable
Axotla,Alvaro Obregon,1,-0.23879192134142813,-0.24311560740522728,-0.23421725966990958,Estable
Axotla,Alvaro Obregon,3,-0.22686685728216535,-0.24330217635126178,-0.21597464884831052,Estable
Axotla,Alvaro Obregon,5,-0.22680304283074895,-0.2437976152502913,-0.21194070104725468,Estable
Barrio San Lucas,Coyoacan,1,-0.2911503934467514,-0.2853109872903348,-0.2807507835410086,Estable
Barrio San Lucas,Coyoacan,3,-0.27935951412944743,-0.2815824824325115,-0.2645398737674295,Estable
Barrio San Lucas,Coyoacan,5,-0.27952648589663837,-0.28187950834563513,-0.25978446872691957,Estable
Barrio la Concepcion,Coyoacan,1,-0.2758789284056934,-0.2787374418057476,-0.2728968688691939,Estable
Barrio la Concepcion,Coyoacan,3,-0.26405018015115683,-0.2817232822256369,-0.2432633085342514,Estable
