split_id,horizon,origin_period,target_period,seasonal_reference_period,status,reason,n_zones,n_predictions,min_history_points
h1_2023-01,1,2023-01,2023-02,2022-02,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-02,1,2023-02,2023-03,2022-03,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-03,1,2023-03,2023-04,2022-04,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-04,1,2023-04,2023-05,2022-05,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-05,1,2023-05,2023-06,2022-06,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-06,1,2023-06,2023-07,2022-07,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-07,1,2023-07,2023-08,2022-08,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-08,1,2023-08,2023-09,2022-09,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-09,1,2023-09,2023-10,2022-10,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-10,1,2023-10,2023-11,2022-11,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-11,1,2023-11,2023-12,2022-12,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2023-12,1,2023-12,2024-01,2023-01,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2024-01,1,2024-01,2024-02,2023-02,EXCLUDED,origin_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2024-02,1,2024-02,2024-03,2023-03,EXCLUDED,seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2024-03,1,2024-03,2024-04,2023-04,EXCLUDED,seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h1_2024-04,1,2024-04,2024-05,2023-05,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-05,1,2024-05,2024-06,2023-06,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-06,1,2024-06,2024-07,2023-07,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-07,1,2024-07,2024-08,2023-08,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-08,1,2024-08,2024-09,2023-09,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-09,1,2024-09,2024-10,2023-10,EXCLUDED,target_missing_or_incomplete;seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-10,1,2024-10,2024-11,2023-11,EXCLUDED,origin_missing_or_incomplete;seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-11,1,2024-11,2024-12,2023-12,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2024-12,1,2024-12,2025-01,2024-01,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2025-01,1,2025-01,2025-02,2024-02,USED,,106,106,11
h1_2025-02,1,2025-02,2025-03,2024-03,USED,,106,106,12
h1_2025-03,1,2025-03,2025-04,2024-04,USED,,106,106,13
h1_2025-04,1,2025-04,2025-05,2024-05,USED,,106,106,14
h1_2025-05,1,2025-05,2025-06,2024-06,USED,,106,106,15
h1_2025-06,1,2025-06,2025-07,2024-07,USED,,106,106,16
h1_2025-07,1,2025-07,2025-08,2024-08,USED,,106,106,17
h1_2025-08,1,2025-08,2025-09,2024-09,USED,,106,106,18
h1_2025-09,1,2025-09,2025-10,2024-10,EXCLUDED,seasonal_reference_missing_or_incomplete,0,0,0
h1_2025-10,1,2025-10,2025-11,2024-11,USED,,106,106,20
h1_2025-11,1,2025-11,2025-12,2024-12,USED,,106,106,21
h1_2025-12,1,2025-12,2026-01,2025-01,USED,,106,106,22
h1_2026-01,1,2026-01,2026-02,2025-02,USED,,106,106,23
h1_2026-02,1,2026-02,2026-03,2025-03,USED,,106,106,24
h1_2026-03,1,2026-03,2026-04,2025-04,USED,,106,106,25
h1_2026-04,1,2026-04,2026-05,2025-05,USED,,106,106,26
h1_2026-05,1,2026-05,2026-06,2025-06,USED,,106,106,27
h1_2026-06,1,2026-06,2026-07,2025-07,USED,,106,106,28
h1_2026-07,1,2026-07,2026-08,2025-08,USED,,106,106,29
h1_2026-08,1,2026-08,2026-09,2025-09,EXCLUDED,target_outside_calendar,0,0,0
h3_2023-01,3,2023-01,2023-04,2022-04,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h3_2023-02,3,2023-02,2023-05,2022-05,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
h3_2023-03,3,2023-03,2023-06,2022-06,EXCLUDED,origin_missing_or_incomplete;target_missing_or_incomplete;seasonal_reference_missing_or_incomplete;insufficient_expanding_history,0,0,0
