num_cicloe,periodo,viajes_origen,viajes_destino,viajes_total,activity_status
001,2026-01,6141,6370,12511,OBSERVED
002,2026-01,2682,2566,5248,OBSERVED
003,2026-01,3228,2997,6225,OBSERVED
004,2026-01,3333,3761,7094,OBSERVED
005,2026-01,3718,3989,7707,OBSERVED
006,2026-01,3501,3407,6908,OBSERVED
007,2026-01,5662,5378,11040,OBSERVED
008,2026-01,2143,2098,4241,OBSERVED
009,2026-01,2633,2613,5246,OBSERVED
010,2026-01,5067,4907,9974,OBSERVED
011,2026-01,2395,2537,4932,OBSERVED
012,2026-01,2557,2567,5124,OBSERVED
013,2026-01,1954,1884,3838,OBSERVED
014,2026-01,6734,8039,14773,OBSERVED
015,2026-01,4510,4496,9006,OBSERVED
016,2026-01,4293,4019,8312,OBSERVED
017,2026-01,4784,4941,9725,OBSERVED
018,2026-01,6335,6628,12963,OBSERVED
019,2026-01,5118,4618,9736,OBSERVED
020,2026-01,4178,4059,8237,OBSERVED
021,2026-01,2625,1900,4525,OBSERVED
022,2026-01,2243,1520,3763,OBSERVED
023,2026-01,3266,3155,6421,OBSERVED
024,2026-01,3356,3265,6621,OBSERVED
025,2026-01,3346,3691,7037,OBSERVED
026,2026-01,2792,2794,5586,OBSERVED
027,2026-01,8347,8806,17153,OBSERVED
028,2026-01,5449,5891,11340,OBSERVED
029,2026-01,5745,6667,12412,OBSERVED
030,2026-01,5071,5710,10781,OBSERVED
031,2026-01,6354,6395,12749,OBSERVED
032,2026-01,4905,5051,9956,OBSERVED
033,2026-01,3687,3827,7514,OBSERVED
034,2026-01,3684,3674,7358,OBSERVED
035,2026-01,3030,3051,6081,OBSERVED
036,2026-01,5116,5154,10270,OBSERVED
037,2026-01,4013,3597,7610,OBSERVED
038,2026-01,7101,6782,13883,OBSERVED
039,2026-01,2865,2982,5847,OBSERVED
040,2026-01,3332,3491,6823,OBSERVED
041,2026-01,5042,4973,10015,OBSERVED
042,2026-01,2505,2482,4987,OBSERVED
043,2026-01,5440,6586,12026,OBSERVED
044,2026-01,2215,2144,4359,OBSERVED
045,2026-01,4671,5081,9752,OBSERVED
046,2026-01,3434,3744,7178,OBSERVED
047,2026-01,5099,5483,10582,OBSERVED
048,2026-01,2484,2494,4978,OBSERVED
049,2026-01,3068,2986,6054,OBSERVED
050,2026-01,2240,2100,4340,OBSERVED
051,2026-01,2912,3109,6021,OBSERVED
052,2026-01,5406,5703,11109,OBSERVED
053,2026-01,4789,4874,9663,OBSERVED
054,2026-01,3786,4085,7871,OBSERVED
055,2026-01,2233,2619,4852,OBSERVED
056,2026-01,5438,5525,10963,OBSERVED
057,2026-01,1820,1801,3621,OBSERVED
058,2026-01,2267,2213,4480,OBSERVED
059,2026-01,4193,4661,8854,OBSERVED
060,2026-01,3094,3046,6140,OBSERVED
061,2026-01,3957,4320,8277,OBSERVED
062,2026-01,2053,2090,4143,OBSERVED
063,2026-01,2406,2506,4912,OBSERVED
064,2026-01,7859,8409,16268,OBSERVED
065,2026-01,2285,2547,4832,OBSERVED
066,2026-01,3846,3915,7761,OBSERVED
067,2026-01,2637,2671,5308,OBSERVED
068,2026-01,3899,4178,8077,OBSERVED
069,2026-01,2885,2973,5858,OBSERVED
070,2026-01,4023,4215,8238,OBSERVED
071,2026-01,3082,3164,6246,OBSERVED
072,2026-01,4246,4321,8567,OBSERVED
073,2026-01,3294,3379,6673,OBSERVED
074,2026-01,4645,4899,9544,OBSERVED
075,2026-01,2717,2762,5479,OBSERVED
076,2026-01,2642,2619,5261,OBSERVED
077,2026-01,3324,3279,6603,OBSERVED
078,2026-01,2379,2156,4535,OBSERVED
079,2026-01,2809,2820,5629,OBSERVED
080,2026-01,2997,2915,5912,OBSERVED
081,2026-01,2393,2189,4582,OBSERVED
082,2026-01,3232,3322,6554,OBSERVED
083,2026-01,2298,2108,4406,OBSERVED
084,2026-01,4395,4067,8462,OBSERVED
085,2026-01,3210,3174,6384,OBSERVED
086,2026-01,4535,4520,9055,OBSERVED
087,2026-01,3161,3560,6721,OBSERVED
088,2026-01,1388,1616,3004,OBSERVED
089,2026-01,1339,1352,2691,OBSERVED
090,2026-01,1107,1086,2193,OBSERVED
091,2026-01,1447,1462,2909,OBSERVED
092,2026-01,2027,2081,4108,OBSERVED
093,2026-01,1222,1441,2663,OBSERVED
094,2026-01,754,758,1512,OBSERVED
095,2026-01,1832,2149,3981,OBSERVED
096,2026-01,3796,4206,8002,OBSERVED
097,2026-01,1482,1627,3109,OBSERVED
098,2026-01,1968,2314,4282,OBSERVED
099,2026-01,2452,2790,5242,OBSERVED
100,2026-01,1194,1267,2461,OBSERVED
102,2026-01,1500,1496,2996,OBSERVED
103,2026-01,1972,1534,3506,OBSERVED
104,2026-01,1101,1041,2142,OBSERVED
105,2026-01,673,757,1430,OBSERVED
106,2026-01,2175,2177,4352,OBSERVED
107-108,2026-01,4591,4510,9101,OBSERVED
109,2026-01,1036,1292,2328,OBSERVED
110,2026-01,1821,1909,3730,OBSERVED
111,2026-01,4441,4113,8554,OBSERVED
112,2026-01,2682,2875,5557,OBSERVED
113,2026-01,2473,2629,5102,OBSERVED
114,2026-01,2435,2546,4981,OBSERVED
115,2026-01,4084,3844,7928,OBSERVED
116,2026-01,4263,4422,8685,OBSERVED
117,2026-01,3409,4021,7430,OBSERVED
118,2026-01,2347,2272,4619,OBSERVED
119,2026-01,3777,3911,7688,OBSERVED
120,2026-01,2807,2813,5620,OBSERVED
121,2026-01,3832,3882,7714,OBSERVED
122,2026-01,1198,1125,2323,OBSERVED
123,2026-01,3846,3581,7427,OBSERVED
124,2026-01,2487,2501,4988,OBSERVED
125,2026-01,2850,2794,5644,OBSERVED
126,2026-01,3239,3615,6854,OBSERVED
127,2026-01,2208,2272,4480,OBSERVED
128,2026-01,3099,3449,6548,OBSERVED
129,2026-01,2850,2965,5815,OBSERVED
130,2026-01,2548,3112,5660,OBSERVED
131,2026-01,3453,3960,7413,OBSERVED
132,2026-01,2671,2954,5625,OBSERVED
133,2026-01,3450,3693,7143,OBSERVED
134,2026-01,5889,6673,12562,OBSERVED
135,2026-01,3179,3130,6309,OBSERVED
136,2026-01,3742,4213,7955,OBSERVED
137,2026-01,3087,3186,6273,OBSERVED
138,2026-01,2089,2285,4374,OBSERVED
139,2026-01,4200,4668,8868,OBSERVED
140,2026-01,2443,2393,4836,OBSERVED
141,2026-01,4478,4968,9446,OBSERVED
142,2026-01,4442,4907,9349,OBSERVED
143,2026-01,2677,2869,5546,OBSERVED
144,2026-01,2538,2789,5327,OBSERVED
145,2026-01,4009,4158,8167,OBSERVED
146,2026-01,4155,4194,8349,OBSERVED
147,2026-01,2533,2559,5092,OBSERVED
148,2026-01,1655,1544,3199,OBSERVED
149,2026-01,3925,3882,7807,OBSERVED
150,2026-01,3909,4136,8045,OBSERVED
151,2026-01,3503,3695,7198,OBSERVED
152,2026-01,2973,2803,5776,OBSERVED
153,2026-01,1692,1618,3310,OBSERVED
154,2026-01,5652,5377,11029,OBSERVED
155,2026-01,3370,3516,6886,OBSERVED
156,2026-01,1973,1922,3895,OBSERVED
157,2026-01,1867,1633,3500,OBSERVED
158-159,2026-01,5972,5857,11829,OBSERVED
160,2026-01,2511,2035,4546,OBSERVED
161,2026-01,1720,1629,3349,OBSERVED
162,2026-01,2553,2582,5135,OBSERVED
163,2026-01,3005,3375,6380,OBSERVED
164,2026-01,3506,3556,7062,OBSERVED
165,2026-01,3048,3023,6071,OBSERVED
166,2026-01,3376,3022,6398,OBSERVED
167,2026-01,2571,2447,5018,OBSERVED
168,2026-01,1984,1999,3983,OBSERVED
169,2026-01,2896,2905,5801,OBSERVED
170,2026-01,3237,3179,6416,OBSERVED
171,2026-01,2001,1867,3868,OBSERVED
172,2026-01,2424,2488,4912,OBSERVED
173,2026-01,2728,2346,5074,OBSERVED
174,2026-01,5039,4848,9887,OBSERVED
175,2026-01,3262,3227,6489,OBSERVED
176,2026-01,711,951,1662,OBSERVED
177,2026-01,1673,1430,3103,OBSERVED
178,2026-01,2114,1964,4078,OBSERVED
179,2026-01,2102,2031,4133,OBSERVED
180,2026-01,3376,3398,6774,OBSERVED
181,2026-01,2091,2076,4167,OBSERVED
182,2026-01,5434,5539,10973,OBSERVED
183,2026-01,3521,3448,6969,OBSERVED
184,2026-01,1958,1974,3932,OBSERVED
185,2026-01,3083,3031,6114,OBSERVED
186,2026-01,3033,2822,5855,OBSERVED
187,2026-01,1897,1689,3586,OBSERVED
188,2026-01,2744,2405,5149,OBSERVED
189,2026-01,1542,1250,2792,OBSERVED
190,2026-01,3474,3353,6827,OBSERVED
191,2026-01,1937,1668,3605,OBSERVED
192-193,2026-01,4629,4119,8748,OBSERVED
194,2026-01,5960,5864,11824,OBSERVED
195,2026-01,3952,3831,7783,OBSERVED
196,2026-01,1227,1215,2442,OBSERVED
197,2026-01,4268,4239,8507,OBSERVED
198,2026-01,1488,1630,3118,OBSERVED
199,2026-01,1110,925,2035,OBSERVED
200,2026-01,1872,1454,3326,OBSERVED
201,2026-01,1668,1864,3532,OBSERVED
202,2026-01,1030,977,2007,OBSERVED
203,2026-01,1173,832,2005,OBSERVED
204,2026-01,2373,1777,4150,OBSERVED
205,2026-01,2161,2404,4565,OBSERVED
206,2026-01,3006,3071,6077,OBSERVED
207,2026-01,2155,2283,4438,OBSERVED
208,2026-01,9934,8300,18234,OBSERVED
209,2026-01,2119,1999,4118,OBSERVED
210,2026-01,2342,1464,3806,OBSERVED
211,2026-01,3848,2951,6799,OBSERVED
212,2026-01,3513,3049,6562,OBSERVED
213,2026-01,1012,817,1829,OBSERVED
214,2026-01,1392,1234,2626,OBSERVED
215,2026-01,1213,1003,2216,OBSERVED
216,2026-01,1577,1393,2970,OBSERVED
217,2026-01,4382,5219,9601,OBSERVED
218,2026-01,1884,1941,3825,OBSERVED
219,2026-01,2706,2493,5199,OBSERVED
220,2026-01,1040,995,2035,OBSERVED
221,2026-01,1682,1571,3253,OBSERVED
222,2026-01,2768,2658,5426,OBSERVED
223,2026-01,3543,3022,6565,OBSERVED
224,2026-01,2396,2237,4633,OBSERVED
225,2026-01,2444,2565,5009,OBSERVED
226,2026-01,2316,2505,4821,OBSERVED
227,2026-01,1246,1009,2255,OBSERVED
228,2026-01,2156,1687,3843,OBSERVED
229,2026-01,1355,1271,2626,OBSERVED
230,2026-01,1718,1604,3322,OBSERVED
231,2026-01,1957,1878,3835,OBSERVED
232,2026-01,2015,2121,4136,OBSERVED
233,2026-01,2230,2166,4396,OBSERVED
234,2026-01,1768,1722,3490,OBSERVED
235-236,2026-01,3014,2568,5582,OBSERVED
237-238,2026-01,5725,4597,10322,OBSERVED
239,2026-01,1920,2014,3934,OBSERVED
240,2026-01,881,673,1554,OBSERVED
241,2026-01,1301,1013,2314,OBSERVED
242,2026-01,5335,6014,11349,OBSERVED
243,2026-01,2189,2129,4318,OBSERVED
244,2026-01,740,668,1408,OBSERVED
245,2026-01,1443,1206,2649,OBSERVED
246,2026-01,1660,1613,3273,OBSERVED
247,2026-01,1784,1946,3730,OBSERVED
248,2026-01,1865,1726,3591,OBSERVED
249,2026-01,1530,1262,2792,OBSERVED
250,2026-01,2646,2597,5243,OBSERVED
251,2026-01,1345,1215,2560,OBSERVED
252,2026-01,2051,1789,3840,OBSERVED
253,2026-01,2893,2860,5753,OBSERVED
254,2026-01,2388,2439,4827,OBSERVED
255,2026-01,2932,2730,5662,OBSERVED
256,2026-01,3197,3018,6215,OBSERVED
257,2026-01,4405,4539,8944,OBSERVED
258,2026-01,2082,2052,4134,OBSERVED
259,2026-01,2017,2443,4460,OBSERVED
260,2026-01,3354,4301,7655,OBSERVED
261,2026-01,2439,2224,4663,OBSERVED
262,2026-01,1618,1784,3402,OBSERVED
263,2026-01,1419,1309,2728,OBSERVED
264-275,2026-01,683,706,1389,OBSERVED
265,2026-01,1046,1207,2253,OBSERVED
266-267,2026-01,2741,5977,8718,OBSERVED
268-269,2026-01,1438,1350,2788,OBSERVED
270,2026-01,4437,4600,9037,OBSERVED
271-272,2026-01,7711,13536,21247,OBSERVED
273-274,2026-01,4034,5479,9513,OBSERVED
276,2026-01,1860,1815,3675,OBSERVED
277,2026-01,1925,2116,4041,OBSERVED
278,2026-01,1277,1290,2567,OBSERVED
279,2026-01,1218,1199,2417,OBSERVED
280,2026-01,2291,2770,5061,OBSERVED
281,2026-01,2635,2622,5257,OBSERVED
282,2026-01,2118,2156,4274,OBSERVED
283,2026-01,1244,1199,2443,OBSERVED
284,2026-01,1830,1942,3772,OBSERVED
285,2026-01,1608,1368,2976,OBSERVED
286,2026-01,2829,2486,5315,OBSERVED
287,2026-01,1618,1353,2971,OBSERVED
288,2026-01,2029,1795,3824,OBSERVED
290,2026-01,2507,2860,5367,OBSERVED
291,2026-01,3506,3473,6979,OBSERVED
292,2026-01,2226,2257,4483,OBSERVED
293,2026-01,1364,1368,2732,OBSERVED
294,2026-01,1342,1312,2654,OBSERVED
295,2026-01,2455,2404,4859,OBSERVED
296,2026-01,1679,1563,3242,OBSERVED
297,2026-01,1089,942,2031,OBSERVED
298,2026-01,1540,1546,3086,OBSERVED
299,2026-01,2209,2189,4398,OBSERVED
300,2026-01,2003,1906,3909,OBSERVED
301,2026-01,1832,1744,3576,OBSERVED
302,2026-01,3589,3874,7463,OBSERVED
303,2026-01,1805,2154,3959,OBSERVED
304,2026-01,1735,1739,3474,OBSERVED
305,2026-01,2322,2157,4479,OBSERVED
306,2026-01,1445,1398,2843,OBSERVED
307,2026-01,804,704,1508,OBSERVED
308,2026-01,1741,1619,3360,OBSERVED
309,2026-01,1652,1500,3152,OBSERVED
310,2026-01,3164,3036,6200,OBSERVED
312,2026-01,1778,1537,3315,OBSERVED
313,2026-01,1562,1410,2972,OBSERVED
314,2026-01,1096,995,2091,OBSERVED
315,2026-01,1760,1994,3754,OBSERVED
316,2026-01,1868,1660,3528,OBSERVED
317,2026-01,3301,3289,6590,OBSERVED
318,2026-01,1658,1548,3206,OBSERVED
319,2026-01,1615,1487,3102,OBSERVED
320,2026-01,1617,1493,3110,OBSERVED
321,2026-01,1857,1841,3698,OBSERVED
322,2026-01,827,768,1595,OBSERVED
323,2026-01,2279,2277,4556,OBSERVED
324,2026-01,1480,1396,2876,OBSERVED
325,2026-01,1650,1530,3180,OBSERVED
326,2026-01,2317,2559,4876,OBSERVED
327,2026-01,2227,2011,4238,OBSERVED
328,2026-01,2125,1782,3907,OBSERVED
329,2026-01,2611,2252,4863,OBSERVED
330,2026-01,912,537,1449,OBSERVED
331,2026-01,1674,1278,2952,OBSERVED
332,2026-01,1002,687,1689,OBSERVED
333,2026-01,1215,985,2200,OBSERVED
334,2026-01,1906,1938,3844,OBSERVED
335,2026-01,1113,1148,2261,OBSERVED
336,2026-01,1650,1589,3239,OBSERVED
337,2026-01,1821,1781,3602,OBSERVED
338,2026-01,1903,1863,3766,OBSERVED
339,2026-01,865,774,1639,OBSERVED
340,2026-01,2964,2853,5817,OBSERVED
341,2026-01,1354,1190,2544,OBSERVED
342,2026-01,883,746,1629,OBSERVED
343,2026-01,1145,1070,2215,OBSERVED
345,2026-01,892,835,1727,OBSERVED
346,2026-01,835,898,1733,OBSERVED
347,2026-01,1716,1583,3299,OBSERVED
348,2026-01,1294,1123,2417,OBSERVED
349,2026-01,1346,1147,2493,OBSERVED
351,2026-01,2032,1829,3861,OBSERVED
352,2026-01,1844,1545,3389,OBSERVED
353,2026-01,941,792,1733,OBSERVED
354,2026-01,1737,1741,3478,OBSERVED
355,2026-01,1091,982,2073,OBSERVED
356,2026-01,1751,1691,3442,OBSERVED
357,2026-01,1888,1845,3733,OBSERVED
358,2026-01,1132,1038,2170,OBSERVED
359,2026-01,2437,2294,4731,OBSERVED
360,2026-01,1460,1346,2806,OBSERVED
361,2026-01,1128,1013,2141,OBSERVED
362,2026-01,1011,818,1829,OBSERVED
363,2026-01,1737,1693,3430,OBSERVED
365,2026-01,2250,2240,4490,OBSERVED
366,2026-01,1438,1300,2738,OBSERVED
367,2026-01,925,762,1687,OBSERVED
369,2026-01,3418,3586,7004,OBSERVED
370,2026-01,2113,2060,4173,OBSERVED
371,2026-01,1662,1631,3293,OBSERVED
372,2026-01,3147,3248,6395,OBSERVED
373,2026-01,1235,1245,2480,OBSERVED
374,2026-01,2797,2723,5520,OBSERVED
375,2026-01,1152,1050,2202,OBSERVED
377,2026-01,2905,3102,6007,OBSERVED
378,2026-01,1972,2077,4049,OBSERVED
380,2026-01,1317,1244,2561,OBSERVED
381,2026-01,1945,1793,3738,OBSERVED
384,2026-01,2748,2538,5286,OBSERVED
385,2026-01,2341,2122,4463,OBSERVED
386,2026-01,1918,1701,3619,OBSERVED
387,2026-01,1163,1110,2273,OBSERVED
389,2026-01,4644,4518,9162,OBSERVED
390-391,2026-01,5140,4560,9700,OBSERVED
392,2026-01,1709,1676,3385,OBSERVED
393,2026-01,2179,2019,4198,OBSERVED
394,2026-01,1773,1652,3425,OBSERVED
395,2026-01,1224,1186,2410,OBSERVED
396,2026-01,1548,1450,2998,OBSERVED
397,2026-01,2218,2126,4344,OBSERVED
398,2026-01,3363,3283,6646,OBSERVED
399,2026-01,2307,2455,4762,OBSERVED
401,2026-01,2158,2192,4350,OBSERVED
402,2026-01,0,0,0,NO_RECORD
404,2026-01,2223,2105,4328,OBSERVED
405,2026-01,4176,4087,8263,OBSERVED
407,2026-01,1053,1070,2123,OBSERVED
409,2026-01,1167,1241,2408,OBSERVED
412,2026-01,2287,2449,4736,OBSERVED
413,2026-01,1225,1108,2333,OBSERVED
414,2026-01,1156,1079,2235,OBSERVED
415,2026-01,950,797,1747,OBSERVED
416,2026-01,1306,967,2273,OBSERVED
417,2026-01,1158,1072,2230,OBSERVED
419,2026-01,2111,2136,4247,OBSERVED
420,2026-01,1762,1571,3333,OBSERVED
421,2026-01,1058,824,1882,OBSERVED
422,2026-01,652,485,1137,OBSERVED
423,2026-01,921,890,1811,OBSERVED
424,2026-01,1228,1178,2406,OBSERVED
425,2026-01,2473,2626,5099,OBSERVED
427,2026-01,1962,1946,3908,OBSERVED
428,2026-01,1242,1208,2450,OBSERVED
429,2026-01,1029,969,1998,OBSERVED
430,2026-01,1463,1523,2986,OBSERVED
432,2026-01,1632,1696,3328,OBSERVED
433,2026-01,822,707,1529,OBSERVED
434,2026-01,630,464,1094,OBSERVED
436,2026-01,1172,1141,2313,OBSERVED
437,2026-01,838,753,1591,OBSERVED
438,2026-01,981,865,1846,OBSERVED
439,2026-01,1018,901,1919,OBSERVED
440,2026-01,2078,1885,3963,OBSERVED
441,2026-01,1996,2216,4212,OBSERVED
442,2026-01,1063,1049,2112,OBSERVED
443,2026-01,499,453,952,OBSERVED
444,2026-01,1144,1232,2376,OBSERVED
445-446,2026-01,1284,1317,2601,OBSERVED
447,2026-01,2813,2798,5611,OBSERVED
448,2026-01,2095,1977,4072,OBSERVED
449,2026-01,4036,3871,7907,OBSERVED
450,2026-01,2383,2973,5356,OBSERVED
451,2026-01,1558,1179,2737,OBSERVED
452,2026-01,1366,1260,2626,OBSERVED
453,2026-01,1757,1112,2869,OBSERVED
454,2026-01,1435,854,2289,OBSERVED
455,2026-01,2685,1919,4604,OBSERVED
456,2026-01,1452,834,2286,OBSERVED
457,2026-01,1269,640,1909,OBSERVED
458,2026-01,1704,1154,2858,OBSERVED
459,2026-01,1274,973,2247,OBSERVED
460,2026-01,2084,1743,3827,OBSERVED
461,2026-01,2880,2237,5117,OBSERVED
462,2026-01,1512,1471,2983,OBSERVED
463,2026-01,2629,2701,5330,OBSERVED
464,2026-01,2891,2934,5825,OBSERVED
465,2026-01,4020,3348,7368,OBSERVED
466,2026-01,2825,2625,5450,OBSERVED
467,2026-01,2302,2255,4557,OBSERVED
468,2026-01,1313,1389,2702,OBSERVED
469,2026-01,1480,1411,2891,OBSERVED
470,2026-01,1705,1559,3264,OBSERVED
471,2026-01,1133,1078,2211,OBSERVED
472,2026-01,1641,1662,3303,OBSERVED
473,2026-01,776,755,1531,OBSERVED
474,2026-01,3428,4096,7524,OBSERVED
475,2026-01,2878,2910,5788,OBSERVED
476,2026-01,4085,4130,8215,OBSERVED
477,2026-01,2779,2635,5414,OBSERVED
478,2026-01,1739,1313,3052,OBSERVED
479,2026-01,986,842,1828,OBSERVED
480,2026-01,3075,3078,6153,OBSERVED
481,2026-01,2815,2880,5695,OBSERVED
482,2026-01,1028,937,1965,OBSERVED
483,2026-01,1145,1086,2231,OBSERVED
484,2026-01,2097,1851,3948,OBSERVED
485,2026-01,2913,2919,5832,OBSERVED
486,2026-01,2760,2774,5534,OBSERVED
487,2026-01,1460,1427,2887,OBSERVED
488,2026-01,1147,1054,2201,OBSERVED
489,2026-01,2399,2271,4670,OBSERVED
490,2026-01,1840,1792,3632,OBSERVED
491,2026-01,1556,1453,3009,OBSERVED
492,2026-01,3974,3822,7796,OBSERVED
493,2026-01,1902,1707,3609,OBSERVED
494,2026-01,5893,5094,10987,OBSERVED
495,2026-01,5141,4267,9408,OBSERVED
496,2026-01,1666,1480,3146,OBSERVED
