station_id,zone_id_catalog,zone_id_spatial,inside_catalog_polygon,distance_to_catalog_polygon_m,possible_zone_candidate,candidate_basis,n_covering_polygons,status,assignment_changed
001,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
002,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
003,col_0f6878a834535080af77fae943ae9b95,col_0f6878a834535080af77fae943ae9b95,True,0.0,"[""col_0f6878a834535080af77fae943ae9b95""]",covers,1,inside,False
004,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
005,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
006,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
007,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
008,col_0f6878a834535080af77fae943ae9b95,col_b9647cb13b4b5ebebd069fd56e70a36f,False,25.643504882114986,"[""col_b9647cb13b4b5ebebd069fd56e70a36f""]",covers,1,outside,False
009,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
010,col_0f6878a834535080af77fae943ae9b95,col_0f6878a834535080af77fae943ae9b95,True,0.0,"[""col_0f6878a834535080af77fae943ae9b95""]",covers,1,inside,False
011,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
012,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
013,col_76cd2cc2efb657e1a3779dc11ff63e1d,col_76cd2cc2efb657e1a3779dc11ff63e1d,True,0.0,"[""col_76cd2cc2efb657e1a3779dc11ff63e1d""]",covers,1,inside,False
