colonia,poblacion_colonia_2020,establecimientos_totales_denue,densidad_comercial_por_mil_hab,tipo_zona
Acacias,5864.753876507198,165.0,28.1341729720237,Residencial
Actipan,4135.995638377992,309.0,74.70994338891038,Mixta
Agricola,,1.0,,Sin clasificar
Agricultura,4693.484414269831,163.0,34.728995691223155,Residencial
Alamos,21647.84917904753,1101.0,50.85955611080445,Mixta
Algarin,6026.38004158699,1219.0,202.27731931738376,Comercial
Americas Unidas,,128.0,,Sin clasificar
Ampliacion Granada,,285.0,,Sin clasificar
Ampliacion Napoles,,269.0,,Sin clasificar
Anahuac,36655.77548536034,29.0,0.791144086191331,Residencial
Anahuac I Seccion,,649.0,,Sin clasificar
Angel Zimbron,2714.2772001119547,148.0,54.52648682820439,Mixta
Anzures,6321.012789472237,890.0,140.80022136362567,Comercial
Atlampa,14447.333348567048,271.0,18.757786884378838,Residencial
Axotla,1828.601117285683,91.0,49.76481701765418,Mixta
Barrio San Lucas,,2.0,,Sin clasificar
Bosque de Chapultepec,,800.0,,Sin clasificar
Buenavista,16095.066813605745,2278.0,141.5340505498445,Comercial
Centro,31514.09304003132,29011.0,920.5722647054534,Comercial
Centro Urbano Presidente Aleman,770.0035912182456,,,Sin clasificar
Ciudad de los Deportes,5037.696323928133,346.0,68.68218680760161,Mixta
Claveria,9995.42539143723,731.0,73.13345569326394,Mixta
Condesa,8733.129884759386,547.0,62.63504690965338,Mixta
Credito Constructor,1730.8238934596482,156.0,90.13048675228318,Comercial
Cuauhtemoc,11939.533285947571,2207.0,184.84809641575893,Comercial
Cuauhtemoc Pensil,6363.47192724256,162.0,25.45780068683329,Residencial
Del Carmen,10249.105797046055,1599.0,156.0136105201349,Comercial
Del Recreo,8276.649616790746,258.0,31.172033606037676,Residencial
Del Valle Centro,,1154.0,,Sin clasificar
Del Valle Norte,,1523.0,,Sin clasificar
Del Valle Sur,,1390.0,,Sin clasificar
Del valle Centro,,1154.0,,Sin clasificar
Doctores,50109.728848962026,3510.0,70.04627805070844,Mixta
Escandon,27153.64059262174,24.0,0.8838593822487781,Residencial
Extremadura Insurgentes,3296.9854833383597,119.0,36.09357717872226,Residencial
Florida,6905.408597846009,241.0,34.900179560000936,Residencial
General Pedro Maria Anaya,7834.563041735815,110.0,14.04034908060789,Residencial
Granada,23404.36878284745,1046.0,44.69251060368654,Residencial
Guadalupe Inn,3936.8978121303594,677.0,171.96280734390143,Comercial
Hipodromo,11858.33224859694,1426.0,120.25299764802273,Comercial
Hipodromo Condesa,3606.783556442895,377.0,104.52526304955413,Comercial
Hogar y Seguridad,,3.0,,Sin clasificar
Ignacio Allende,1876.584185040144,139.0,74.07075105294385,Mixta
Independencia,9025.768352823095,470.0,52.0731290265158,Mixta
Insurgentes Mixcoac,5782.867867230586,541.0,93.55219804790124,Comercial
Insurgentes San Borja,890.4060543120113,138.0,154.9854690808771,Comercial
Irrigacion,10380.759331315392,330.0,31.78958200143382,Residencial
Josefa Ortiz de Dominguez,1470.5391406797382,63.0,42.84143023277778,Residencial
Juarez,8881.881724163952,2916.0,328.3088078134121,Comercial
Letran Valle,10982.887102901606,530.0,48.256892293828415,Mixta
Mariano Escobedo,,142.0,,Sin clasificar
Modelo Pensil,3623.8820318664634,160.0,44.15154759262204,Residencial
Molino del Rey,512.6837024456141,107.0,208.7056785491453,Comercial
Napoles,21044.856422728015,1305.0,62.010401676612375,Mixta
Narvarte,49304.1456234127,34.0,0.6895971843766149,Residencial
Narvarte Poniente,,1622.0,,Sin clasificar
Nextitla,1267.4761951362534,64.0,50.49404497346004,Mixta
Niños Heroes de Chapultepec,10997.120795317016,2.0,0.18186578443802076,Residencial
Noche Buena,1823.02535011251,185.0,101.47966400389468,Comercial
Nonoalco,9322.714911440162,6.0,0.6435893467724979,Residencial
Nueva Santa Maria,9734.375890121548,785.0,80.64204720064473,Mixta
Obrera,34618.95757482006,2292.0,66.20649957603217,Mixta
Obrero Popular,3440.637112539797,304.0,88.35572891196144,Mixta
Parque San Andres,3383.228947907367,305.0,90.15056465175142,Comercial
Piedad Narvarte,4740.847301839064,328.0,69.18594485689565,Mixta
Plutarco Elias Calles,1215.7573736578108,95.0,78.14059125479658,Mixta
Polanco,31364.847127472596,62.0,1.9767352841867976,Residencial
Popotla,15253.398928775398,520.0,34.09076248697756,Residencial
Portales,40872.00361785096,22.0,0.5382657577959168,Residencial
Portales Norte,,995.0,,Sin clasificar
Postal,4091.5582470496984,115.0,28.106651074299897,Residencial
Residencial Emperadores,1609.028237814523,35.0,21.752259641843867,Residencial
Roma Norte,25414.143707893338,4075.0,160.34378521021551,Comercial
Roma Sur,19020.550774655458,2552.0,134.17066783368304,Comercial
San Alvaro,6423.966589900932,199.0,30.977745169603832,Residencial
San Angel,3739.3219445070185,968.0,258.8704621761629,Comercial
San Diego Churubusco,2549.473836862634,189.0,74.13294353809968,Mixta
San Jose Insurgentes,6844.609186001575,486.0,71.00478446511676,Mixta
San Mateo,2531.2450906273116,443.0,175.01268511703563,Comercial
San Miguel Chapultepec,11771.838503104907,23.0,1.9538154549039715,Residencial
San Pedro de los Pinos,15584.34031547826,1160.0,74.43369282996828,Mixta
San Rafael,21729.96513567864,1552.0,71.42211183080806,Mixta
San Salvador Xochimanca,2295.818552063357,127.0,55.31796050949205,Mixta
San Simon Ticumac,12278.610656857218,1049.0,85.43311856005195,Mixta
Santa Catarina,3312.528924892983,462.0,139.47048025095378,Comercial
Santa Cruz Atoyac,,741.0,,Sin clasificar
Santa Maria la Ribera,42345.18602760298,2100.0,49.59241408530126,Mixta
Santo Tomas,493.7821043403027,232.0,469.84286785758286,Comercial
Sector Naval,826.6849385743901,28.0,33.87021910461526,Residencial
Tabacalera,4173.904472831688,767.0,183.76079399815464,Comercial
Tacuba,13195.032242363868,1560.0,118.22631209581104,Comercial
Tlacoquemecatl del Valle,7661.651665990737,7.0,0.9136411188036988,Residencial
Tlatilco,6231.427611218678,255.0,40.92160190401855,Residencial
Tlaxpana,8311.187275791783,611.0,73.51536907123679,Mixta
Un Hogar para Nosotros,931.0023952670608,103.0,110.63344253851693,Comercial
Veronica Anzures,3412.661028456114,660.0,193.39746740055915,Comercial
Vertiz Narvarte,7125.904919317074,345.0,48.41490363767915,Mixta
Victoria de las Democracias,3681.8672614835145,161.0,43.72781215777159,Residencial
Villa Coyoacan,2296.916059758132,676.0,294.30766402111516,Comercial
Xoco,5448.491814157558,629.0,115.44479122930564,Comercial
