zone_id,horizon_months,origin_period,target_period,actual,forecast_value,residual_available_at,interval_lower_80,interval_upper_80,interval_width,lower_clipped,covered,n_calibration_points,n_calibration_cuts,max_calibration_available_at,uncertainty_status
col_075ade1e8b735efcac21da8802b37c0a,1,2025-01,2025-02,1981.0,2209.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_145462232cb0506eac0d954b79bb4e67,1,2025-01,2025-02,6414.0,6490.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_175c1726756a5dda90d2345c13795848,1,2025-01,2025-02,8118.0,8128.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_19663fbe37bd50ee8eff60a93705eb35,1,2025-01,2025-02,5276.0,5499.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_2006d9e5f6975534a01a4ae3d0063ec1,1,2025-01,2025-02,11343.0,8722.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_218c753a6a38548aa02718260c2caef7,1,2025-01,2025-02,1715.0,1833.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_21faee63d17e537f90a501b5c0313a20,1,2025-01,2025-02,13199.0,13162.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_296d6268c64b5552821a2eebfad2256f,1,2025-01,2025-02,5435.0,5952.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_2d383baad6155258af666ad388181e00,1,2025-01,2025-02,20596.0,21678.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_321ef9a198015257a1d0afd095d56686,1,2025-01,2025-02,3755.0,4167.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_39b7c034d6a15d22952ae31d1eab536a,1,2025-01,2025-02,18435.0,18212.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_3c107741e9aa5999ac5f00ed40d5deea,1,2025-01,2025-02,6633.0,6310.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_3d725e14185a5c38a7d3e1cda93adc73,1,2025-01,2025-02,28398.0,30275.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_47716220585b527aaf095e5cd827326f,1,2025-01,2025-02,3416.0,3607.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_49f6b5a0ab625bda9ca00f7acd601c17,1,2025-01,2025-02,12099.0,12702.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_4a6ce89e87ac5037b13cd12239825b31,1,2025-01,2025-02,2089.0,2425.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_4d16bf4016d1531fac1806d04420e1fc,1,2025-01,2025-02,12610.0,13268.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_543d04998daf5e4ab3306049617a67b4,1,2025-01,2025-02,8012.0,7834.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_588e4e85b75a566e85b1e464fdd27b30,1,2025-01,2025-02,11092.0,11006.0,2025-04-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
col_64a29c6aaaf85a42bb0e87a40667ac42,1,2025-01,2025-02,6119.0,6477.0,2025-03-01,,,,False,,0,0,,INSUFFICIENT_CALIBRATION_HISTORY
