periodo,fecha,archivo_disponible,archivo,source_status
2023-01,2023-01-01,True,2023-01.csv,AVAILABLE
2023-02,2023-02-01,True,2023-02.csv,AVAILABLE
2023-03,2023-03-01,True,2023-03.csv,AVAILABLE
2023-04,2023-04-01,True,2023-04.csv,AVAILABLE
2023-05,2023-05-01,True,2023-05.csv,AVAILABLE
2023-06,2023-06-01,True,2023-06.csv,AVAILABLE
2023-07,2023-07-01,True,2023-07.csv,AVAILABLE
2023-08,2023-08-01,True,2023-08.csv,AVAILABLE
2023-09,2023-09-01,True,2023-09.csv,AVAILABLE
2023-10,2023-10-01,True,2023-10.csv,AVAILABLE
2023-11,2023-11-01,True,2023-11.csv,AVAILABLE
2023-12,2023-12-01,True,2023-12.csv,AVAILABLE
2024-01,2024-01-01,True,2024-01.csv,AVAILABLE
2024-02,2024-02-01,True,2024-02.csv,AVAILABLE
2024-03,2024-03-01,True,2024-03.csv,AVAILABLE
2024-04,2024-04-01,True,2024-04.csv,AVAILABLE
2024-05,2024-05-01,True,2024-05.csv,AVAILABLE
2024-06,2024-06-01,True,2024-06.csv,AVAILABLE
2024-07,2024-07-01,True,2024-07.csv,AVAILABLE
2024-08,2024-08-01,True,2024-08.csv,AVAILABLE
2024-09,2024-09-01,True,2024-09.csv,AVAILABLE
2024-10,2024-10-01,False,,MISSING_DATA
2024-11,2024-11-01,True,2024-11.csv,AVAILABLE
2024-12,2024-12-01,True,2024-12.csv,AVAILABLE
2025-01,2025-01-01,True,2025-01.csv,AVAILABLE
2025-02,2025-02-01,True,2025-02.csv,AVAILABLE
2025-03,2025-03-01,True,2025-03.csv,AVAILABLE
2025-04,2025-04-01,True,2025-04.csv,AVAILABLE
2025-05,2025-05-01,True,2025-05.csv,AVAILABLE
2025-06,2025-06-01,True,2025-06.csv,AVAILABLE
2025-07,2025-07-01,True,2025-07.csv,AVAILABLE
2025-08,2025-08-01,True,2025-08.csv,AVAILABLE
2025-09,2025-09-01,True,2025-09.csv,AVAILABLE
2025-10,2025-10-01,True,2025-10.csv,AVAILABLE
2025-11,2025-11-01,True,2025-11.csv,AVAILABLE
2025-12,2025-12-01,True,2025-12.csv,AVAILABLE
2026-01,2026-01-01,True,2026-01.csv,AVAILABLE
2026-02,2026-02-01,True,2026-02.csv,AVAILABLE
2026-03,2026-03-01,True,2026-03.csv,AVAILABLE
2026-04,2026-04-01,True,2026-04.csv,AVAILABLE
2026-05,2026-05-01,True,2026-05.csv,AVAILABLE
2026-06,2026-06-01,True,2026-06.csv,AVAILABLE
2026-07,2026-07-01,True,2026-07.csv,AVAILABLE
2026-08,2026-08-01,True,2026_08.csv,AVAILABLE
