zone_id,colonia,alcaldia,aliases,geometry_available,n_estaciones_catalogo_actual,station_history_available
col_1fd836f8991b530f861257d28b0cb970,Agricola,Alvaro Obregon,"[""Agricola""]",False,1,False
col_d4e474286fa85c0aa9cd393c8e2880c1,Axotla,Alvaro Obregon,"[""Axotla""]",True,2,False
col_543d04998daf5e4ab3306049617a67b4,Florida,Alvaro Obregon,"[""Florida""]",True,5,False
col_f884dc870afb59218eed6bb359ce0e0f,Guadalupe Chimalistac,Alvaro Obregon,"[""Guadalupe Chimalistac""]",False,2,False
col_cbef3a463b0b5bc2ac31e747b6721178,Guadalupe Inn,Alvaro Obregon,"[""Guadalupe Inn""]",True,6,False
col_47716220585b527aaf095e5cd827326f,San Angel,Alvaro Obregon,"[""San Angel""]",True,1,False
col_175c1726756a5dda90d2345c13795848,Angel Zimbron,Azcapotzalco,"[""Angel Zimbron""]",True,2,False
col_46ef3d6067b85bc580fd6f574f0e5a26,Claveria,Azcapotzalco,"[""Claveria""]",True,6,False
col_218c753a6a38548aa02718260c2caef7,Del Recreo,Azcapotzalco,"[""Del Recreo""]",True,1,False
col_debb68f1d0525506bae6ef15b9e39d2f,Hogar y Seguridad,Azcapotzalco,"[""Hogar y Seguridad""]",False,2,False
col_d24f94824377561c8616923a56c96081,Ignacio Allende,Azcapotzalco,"[""Ignacio Allende""]",True,1,False
col_a21a9068f97957a2a0828f64e9102bde,Nueva Santa Maria,Azcapotzalco,"[""Nueva Santa Maria""]",True,5,False
col_075ade1e8b735efcac21da8802b37c0a,Obrero Popular,Azcapotzalco,"[""Obrero Popular""]",True,1,False
col_0d7a0b5c2d6b5f31bd586ed063d99183,San Alvaro,Azcapotzalco,"[""San Alvaro""]",True,2,False
col_ba378e9f675c57f6b84cd80ba4906921,San Salvador Xochimanca,Azcapotzalco,"[""San Salvador Xochimanca""]",True,2,False
col_a8d3b136a1115b0380f6f041ad7b12a8,Sector Naval,Azcapotzalco,"[""Sector Naval""]",True,1,False
