colonia,alcaldia,periodo_prueba,valor_real,prediccion_p50,prediccion_p10,prediccion_p90,error_abs,error,dentro_p10_p90,categoria_predicha,categoria_real,categoria_acierto,prediccion_naive,error_abs_naive,error_naive
Acacias,Benito Juarez,2026-06,-0.1858561626660829,-0.2580276767962901,-0.260964337758011,-0.2555893379996875,0.07217151413020717,0.07217151413020717,False,Estable,Creciente,False,-0.1834406842766947,0.002415478389388215,-0.002415478389388215
Actipan,Benito Juarez,2026-06,-0.146321904263687,-0.2257778585252954,-0.22853291853333596,-0.222519239693872,0.0794559542616084,0.0794559542616084,False,Estable,Creciente,False,-0.1442564279139118,0.0020654763497751916,-0.0020654763497751916
Agricola,Alvaro Obregon,2026-06,-0.2967934482300611,-0.32894820099313055,-0.3326321520205195,-0.32565653980674386,0.03215475276306945,0.03215475276306945,False,Estable,Creciente,False,-0.3041669091170702,0.007373460887009131,0.007373460887009131
Agricultura,Miguel Hidalgo,2026-06,-0.0906059770475202,-0.12514691230710967,-0.1276979626697737,-0.12251857046175942,0.03454093525958947,0.03454093525958947,False,Estable,Creciente,False,-0.0901651893485971,0.000440787698923098,-0.000440787698923098
Alamos,Benito Juarez,2026-06,0.0777942887878844,0.07294752421093767,0.06915415031165807,0.07648278548678378,0.00484676457694673,0.00484676457694673,False,Estable,Estable,True,0.0697829838670647,0.008011304920819695,0.008011304920819695
Algarin,Cuauhtemoc,2026-06,-0.1339184779442272,-0.04932486525121374,-0.05697838735087665,-0.042487807217528754,0.08459361269301346,-0.08459361269301346,False,Estable,Decreciente,False,-0.1513496610399609,0.017431183095733688,0.017431183095733688
Americas Unidas,Benito Juarez,2026-06,-0.1718064077648381,-0.19744856514950124,-0.20170300061251528,-0.19375405529970152,0.025642157384663133,0.025642157384663133,False,Estable,Creciente,False,-0.1651486581170428,0.006657749647795308,-0.006657749647795308
Ampliacion Granada,Miguel Hidalgo,2026-06,-0.1040551673012059,-0.12366235301442106,-0.12539894652848818,-0.12180630361519466,0.019607185713215167,0.019607185713215167,False,Estable,Creciente,False,-0.0936203742998294,0.010434793001376494,-0.010434793001376494
Ampliacion Napoles,Benito Juarez,2026-06,-0.1822882525704513,-0.23387391090008475,-0.23594093558337964,-0.23146007424144532,0.05158565832963344,0.05158565832963344,False,Estable,Creciente,False,-0.1806413029360848,0.0016469496343665124,-0.0016469496343665124
Anahuac,Miguel Hidalgo,2026-06,0.2596492977270656,0.31961142826758915,0.31705745862242407,0.32260521262238473,0.05996213054052357,-0.05996213054052357,False,Estable,Decreciente,False,0.2985049817900748,0.03885568406300921,-0.03885568406300921
Anahuac I Seccion,Miguel Hidalgo,2026-06,-0.0361135514511469,-0.06425375128617615,-0.06636708380994533,-0.06290073039542401,0.028140199835029252,0.028140199835029252,False,Estable,Creciente,False,-0.0491136498093631,0.013000098358216201,0.013000098358216201
Angel Zimbron,Azcapotzalco,2026-06,-0.1981334162165349,-0.229937389052418,-0.23310020163787204,-0.2230827738467164,0.0318039728358831,0.0318039728358831,False,Estable,Creciente,False,-0.2029798289064273,0.004846412689892388,0.004846412689892388
Anzures,Miguel Hidalgo,2026-06,0.1092275447835172,0.10049494248085812,0.09858811451864553,0.1024029243668875,0.008732602302659084,0.008732602302659084,False,Estable,Estable,True,0.1131704447157815,0.003942899932264293,-0.003942899932264293
Atlampa,Cuauhtemoc,2026-06,-0.2179827999408708,-0.08035278073454655,-0.08585022108538398,-0.07763061838705998,0.13763001920632426,-0.13763001920632426,False,Estable,Decreciente,False,-0.2280464277656692,0.010063627824798388,0.010063627824798388
Axotla,Alvaro Obregon,2026-06,-0.2424431829742039,-0.26840237212633483,-0.27218824637967515,-0.2649867079313109,0.02595918915213094,0.02595918915213094,False,Estable,Creciente,False,-0.2468164419598022,0.004373258985598316,0.004373258985598316
Barrio San Lucas,Coyoacan,2026-06,-0.2946433262186533,-0.3350200085428577,-0.3373142217952981,-0.33306324395281794,0.04037668232420438,0.04037668232420438,False,Estable,Creciente,False,-0.2983491759181728,0.003705849699519481,0.003705849699519481
Barrio la Concepcion,Coyoacan,2026-06,-0.2787301836238068,-0.32310263851480947,-0.32560632328980416,-0.3211012687680069,0.044372454891002666,0.044372454891002666,False,Estable,Creciente,False,-0.2846572580416467,0.005927074417839906,0.005927074417839906
Bosque de Chapultepec,Miguel Hidalgo,2026-06,0.0207191006733048,-0.010380794365269614,-0.01240411610436529,-0.008440741634933932,0.031099895038574417,0.031099895038574417,False,Estable,Creciente,False,0.0104808223178042,0.010238278355500601,0.010238278355500601
Buenavista,Cuauhtemoc,2026-06,0.4391786850924921,0.43605853252457477,0.43082439851967264,0.4407148064097497,0.0031201525679173114,0.0031201525679173114,True,Estable,Estable,True,0.3111624255940514,0.1280162594984407,0.1280162594984407
Centro,Cuauhtemoc,2026-06,1.541520733525072,1.6985112232430342,1.692514041643816,1.7062227453350745,0.15699048971796215,-0.15699048971796215,False,Estable,Decreciente,False,1.4890944730629008,0.05242626046217125,0.05242626046217125
Centro Urbano Presidente Aleman,Benito Juarez,2026-06,-0.2652472733457282,-0.3563361524109133,-0.3587920176546247,-0.35337766059984593,0.09108887906518515,0.09108887906518515,False,Estable,Creciente,False,-0.272697442502657,0.00745016915692881,0.00745016915692881
Ciudad de los Deportes,Benito Juarez,2026-06,-0.1893230917720204,-0.24453390236119132,-0.24676827745799348,-0.24195978590384518,0.05521081058917093,0.05521081058917093,False,Estable,Creciente,False,-0.1866184525477863,0.0027046392242340844,-0.0027046392242340844
Claveria,Azcapotzalco,2026-06,-0.1033155680938348,-0.13925226366651042,-0.1414197570321344,-0.1327595705220641,0.03593669557267562,0.03593669557267562,False,Estable,Creciente,False,-0.1135750912713468,0.010259523177511998,0.010259523177511998
Condesa,Cuauhtemoc,2026-06,0.5438646248225965,0.6683955642698892,0.6638889026238962,0.6716919098380784,0.12453093944729277,-0.12453093944729277,False,Estable,Decreciente,False,0.5701576325403673,0.026293007717770878,-0.026293007717770878
Credito Constructor,Benito Juarez,2026-06,-0.2999519568730562,-0.3761887604596744,-0.37912069583417896,-0.3729374069939932,0.07623680358661822,0.07623680358661822,False,Estable,Creciente,False,-0.3071609656564532,0.007209008783396975,0.007209008783396975
Cuauhtemoc,Cuauhtemoc,2026-06,1.439259534965335,1.4144709964793745,1.4098239497792762,1.4180807145919414,0.02478853848596052,0.02478853848596052,False,Estable,Estable,True,1.3108008950504833,0.12845863991485174,0.12845863991485174
Cuauhtemoc Pensil,Miguel Hidalgo,2026-06,-0.1712788960531398,-0.216486197255841,-0.2181106320745718,-0.21458256613028973,0.045207301202701194,0.045207301202701194,False,Estable,Creciente,False,-0.1844557603054288,0.013176864252288978,0.013176864252288978
Del Carmen,Coyoacan,2026-06,-0.0466834352632405,-0.013859599710703292,-0.015837959091579666,-0.012119249397318602,0.032823835552537206,-0.032823835552537206,False,Estable,Decreciente,False,-0.0236626296687962,0.0230208055944443,-0.0230208055944443
Del Recreo,Azcapotzalco,2026-06,-0.2700788207099406,-0.31329391226334086,-0.31683787076031394,-0.30704723764099556,0.04321509155340025,0.04321509155340025,False,Estable,Creciente,False,-0.2784361905960419,0.008357369886101307,0.008357369886101307
Del Valle Centro,Benito Juarez,2026-06,0.0687048966049848,0.027394820146905266,0.025535493813751555,0.03018150904560744,0.041310076458079534,0.041310076458079534,False,Estable,Creciente,False,0.0830000387128518,0.014295142107867004,-0.014295142107867004
Del Valle Norte,Benito Juarez,2026-06,0.4246620750144086,0.44251012754468866,0.44000141527478887,0.44458653471528137,0.017848052530280045,-0.017848052530280045,False,Estable,Estable,True,0.4481214004832156,0.02345932546880697,-0.02345932546880697
Del Valle Sur,Benito Juarez,2026-06,0.2601889396938521,0.24115226016305857,0.23954101471277509,0.2440592829292086,0.01903667953079352,0.01903667953079352,False,Estable,Estable,True,0.2892099116034419,0.0290209719095898,-0.0290209719095898
Del valle Centro,Benito Juarez,2026-06,-0.2097918966330432,-0.2834867975113915,-0.28629440459702415,-0.2804135646036817,0.07369490087834829,0.07369490087834829,False,Estable,Creciente,False,-0.209357037315258,0.0004348593177851967,-0.0004348593177851967
Doctores,Cuauhtemoc,2026-06,0.6295936458337696,0.9709148910012497,0.9628066403945921,0.9766216904678777,0.3413212451674801,-0.3413212451674801,False,Estable,Decreciente,False,0.6044905045695486,0.025103141264221085,0.025103141264221085
Escandon,Miguel Hidalgo,2026-06,0.4193370607035885,0.4824816352087384,0.4802613235359762,0.4855660882746577,0.06314457450514988,-0.06314457450514988,False,Estable,Decreciente,False,0.4845764462754714,0.06523938557188291,-0.06523938557188291
Extremadura Insurgentes,Benito Juarez,2026-06,-0.2281300067222014,-0.27430318232638407,-0.2772750518608744,-0.2715334527849814,0.04617317560418266,0.04617317560418266,False,Estable,Creciente,False,-0.2228501485900209,0.005279858132180515,-0.005279858132180515
Florida,Alvaro Obregon,2026-06,-0.2243911450992292,-0.22533793620408743,-0.2299074360314381,-0.22228212818813073,0.0009467911048582356,0.0009467911048582356,True,Estable,Estable,True,-0.2290542712711775,0.004663126171948306,0.004663126171948306
General Pedro Maria Anaya,Benito Juarez,2026-06,-0.1275484845251293,-0.22265179091245418,-0.22576989668112227,-0.21898204388443487,0.09510330638732489,0.09510330638732489,False,Estable,Creciente,False,-0.1236836242773048,0.0038648602478244948,-0.0038648602478244948
Granada,Miguel Hidalgo,2026-06,-0.0417823358892623,-0.08447201493377614,-0.0863926866954501,-0.08274514562614436,0.04268967904451384,0.04268967904451384,False,Estable,Creciente,False,-0.0478901169060792,0.006107781016816902,0.006107781016816902
Guadalupe Chimalistac,Alvaro Obregon,2026-06,-0.2097135067680439,-0.22294163445784893,-0.2266419281996209,-0.2197179740014005,0.013228127689805025,0.013228127689805025,False,Estable,Estable,True,-0.2036565111954593,0.0060569955725846,-0.0060569955725846
Guadalupe Inn,Alvaro Obregon,2026-06,-0.2558335414934241,-0.2443534006132123,-0.24925705133795295,-0.2401222398556064,0.011480140880211764,-0.011480140880211764,False,Estable,Estable,True,-0.249145467731684,0.0066880737617400765,-0.0066880737617400765
Hipodromo,Cuauhtemoc,2026-06,0.8401157816029489,0.9939914075280765,0.9898241917787114,0.9978952574162542,0.1538756259251276,-0.1538756259251276,False,Estable,Decreciente,False,0.9330618040750834,0.09294602247213457,-0.09294602247213457
Hipodromo Condesa,Cuauhtemoc,2026-06,0.000127228385933,0.11584880929788637,0.11174222297093109,0.11999791445632865,0.11572158091195336,-0.11572158091195336,False,Estable,Decreciente,False,0.0249520032150978,0.0248247748291648,-0.0248247748291648
Hogar y Seguridad,Azcapotzalco,2026-06,-0.2752474339074118,-0.3137955778916171,-0.3171436928383401,-0.3067457009466755,0.03854814398420531,0.03854814398420531,False,Estable,Creciente,False,-0.2835491183847139,0.008301684477302118,0.008301684477302118
Ignacio Allende,Azcapotzalco,2026-06,-0.261246748167616,-0.30497831893130123,-0.30862601551969976,-0.2986621660752693,0.043731570763685224,0.043731570763685224,False,Estable,Creciente,False,-0.2711492923916873,0.009902544224071275,0.009902544224071275
Independencia,Benito Juarez,2026-06,-0.1889172208284799,-0.2007745301524394,-0.2045741894911325,-0.1973544915652949,0.011857309323959508,0.011857309323959508,False,Estable,Estable,True,-0.1917944640043849,0.0028772431759050143,0.0028772431759050143
Insurgentes Mixcoac,Benito Juarez,2026-06,-0.085763004930562,-0.0931149011964732,-0.09511458901046896,-0.0902283834542537,0.0073518962659111925,0.0073518962659111925,False,Estable,Estable,True,-0.0661872790136579,0.01957572591690411,-0.01957572591690411
Insurgentes San Borja,Benito Juarez,2026-06,-0.2483876445931446,-0.3215950462743773,-0.3240885426520678,-0.3189233486405948,0.07320740168123269,0.07320740168123269,False,Estable,Creciente,False,-0.2504515522315851,0.0020639076384404986,0.0020639076384404986
Irrigacion,Miguel Hidalgo,2026-06,-0.1204191591819496,-0.1272402716483191,-0.12954270964942147,-0.12447099998088106,0.006821112466369503,0.006821112466369503,False,Estable,Estable,True,-0.1245866627326605,0.0041675035507108965,0.0041675035507108965
Josefa Ortiz de Dominguez,Benito Juarez,2026-06,-0.2186319707243944,-0.2226989643375774,-0.2285146423448251,-0.21887479917160774,0.004066993613183023,0.004066993613183023,False,Estable,Estable,True,-0.1954582442838355,0.023173726440558873,-0.023173726440558873
Juarez,Cuauhtemoc,2026-06,1.4628727689636292,1.5055000221121388,1.500394258062384,1.509157491709831,0.04262725314850968,-0.04262725314850968,False,Estable,Decreciente,False,1.395726367378512,0.06714640158511709,0.06714640158511709
Letran Valle,Benito Juarez,2026-06,-0.1870654150544934,-0.22573990608553787,-0.2281482973354423,-0.22258069387218396,0.03867449103104448,0.03867449103104448,False,Estable,Creciente,False,-0.183348287919889,0.0037171271346043977,-0.0037171271346043977
Lomas de Chapultepec Seccion III,Miguel Hidalgo,2026-06,-0.2483597102126712,-0.2933287028320604,-0.2951460467317066,-0.29152083748526864,0.04496899261938922,0.04496899261938922,False,Estable,Creciente,False,-0.2572414567215678,0.008881746508896587,0.008881746508896587
Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,2026-06,-0.2622011206611091,-0.3012860575535268,-0.3031303146733902,-0.2994178578618385,0.039084936892417654,0.039084936892417654,False,Estable,Creciente,False,-0.2645722267597389,0.0023711060986297827,0.0023711060986297827
Lomas de Chapultepec Seccion V,Miguel Hidalgo,2026-06,-0.2720110523381573,-0.3120050044114436,-0.31376327586176533,-0.3100169725938478,0.039993952073286265,0.039993952073286265,False,Estable,Creciente,False,-0.2792337668360812,0.007222714497923888,0.007222714497923888
Mariano Escobedo,Miguel Hidalgo,2026-06,-0.2256378479150332,-0.27307859680565594,-0.2744151705159488,-0.27111247072663786,0.04744074889062275,0.04744074889062275,False,Estable,Creciente,False,-0.2360163202157001,0.010378472300666908,0.010378472300666908
Modelo Pensil,Miguel Hidalgo,2026-06,-0.2344570619034044,-0.2591634646690788,-0.26108137588257563,-0.2569873284900297,0.0247064027656744,0.0247064027656744,False,Estable,Creciente,False,-0.2427508104277483,0.008293748524343891,0.008293748524343891
Molino del Rey,Miguel Hidalgo,2026-06,-0.5479506685451736,-0.5906713428122407,-0.5922490462736422,-0.5885838496731487,0.04272067426706705,0.04272067426706705,False,Estable,Creciente,False,-0.556783855025178,0.008833186480004418,0.008833186480004418
Napoles,Benito Juarez,2026-06,0.0991502305586783,0.09390126611176378,0.09043194781848687,0.09745556486524411,0.005248964446914528,0.005248964446914528,False,Estable,Estable,True,0.1294759462498004,0.030325715691122107,-0.030325715691122107
Narvarte,Benito Juarez,2026-06,0.3105397339103681,0.3472007653483153,0.34379896648362035,0.35250209510557284,0.03666103143794719,-0.03666103143794719,False,Estable,Decreciente,False,0.3346509510424323,0.02411121713206421,-0.02411121713206421
Narvarte Poniente,Benito Juarez,2026-06,0.2677143667337796,0.2350535126796515,0.232562096048757,0.23709100982544445,0.03266085405412808,0.03266085405412808,False,Estable,Creciente,False,0.3128857415813725,0.04517137484759293,-0.04517137484759293
Nextitla,Miguel Hidalgo,2026-06,-0.2245446417023136,-0.27196645632282285,-0.27421539149928176,-0.269006778106733,0.047421814620509234,0.047421814620509234,False,Estable,Creciente,False,-0.2276166586753935,0.0030720169730798774,0.0030720169730798774
Niños Heroes de Chapultepec,Benito Juarez,2026-06,-0.1665301158811621,-0.1761479942740579,-0.18042300465500863,-0.17283914718034926,0.009617878392895796,0.009617878392895796,False,Estable,Estable,True,-0.1695664578133357,0.003036341932173614,0.003036341932173614
Noche Buena,Benito Juarez,2026-06,-0.2584604058425857,-0.3652278547015099,-0.3682431704912257,-0.3619267553840758,0.1067674488589242,0.1067674488589242,False,Estable,Creciente,False,-0.2649704298291676,0.006510023986581848,0.006510023986581848
Nonoalco,Benito Juarez,2026-06,-0.1719269378222478,-0.25498467329310753,-0.25722471259397595,-0.2519357471663888,0.08305773547085973,0.08305773547085973,False,Estable,Creciente,False,-0.1755366734342937,0.003609735612045889,0.003609735612045889
Nueva Santa Maria,Azcapotzalco,2026-06,-0.1946958390175534,-0.25374137417183795,-0.25658671298110824,-0.24745392448203468,0.05904553515428454,0.05904553515428454,False,Estable,Creciente,False,-0.1975401965191071,0.0028443575015536793,0.0028443575015536793
Obrera,Cuauhtemoc,2026-06,0.184992623664635,0.36175204319166676,0.34926284388731954,0.3725701846783613,0.17675941952703175,-0.17675941952703175,False,Estable,Decreciente,False,0.1966137979275608,0.011621174262925804,-0.011621174262925804
