colonia,alcaldia,periodo_prueba,valor_real,prediccion_p50,prediccion_p10,prediccion_p90,error_abs,error,dentro_p10_p90,categoria_predicha,categoria_real,categoria_acierto,prediccion_naive,error_abs_naive,error_naive
Acacias,Benito Juarez,2026-06,-0.1858561626660829,-0.18328825934630158,-0.20263582822934767,-0.15897767865166376,0.002567903319781323,-0.002567903319781323,True,Estable,Estable,True,-0.1834406842766947,0.002415478389388215,-0.002415478389388215
Actipan,Benito Juarez,2026-06,-0.146321904263687,-0.1412829001120808,-0.15819695459219257,-0.11501064940806956,0.005039004151606186,-0.005039004151606186,True,Estable,Estable,True,-0.1442564279139118,0.0020654763497751916,-0.0020654763497751916
Agricola,Alvaro Obregon,2026-06,-0.2967934482300611,-0.3045399693986061,-0.3306718135786693,-0.28893798252145547,0.0077465211685450175,0.0077465211685450175,True,Estable,Estable,True,-0.3041669091170702,0.007373460887009131,0.007373460887009131
Agricultura,Miguel Hidalgo,2026-06,-0.0906059770475202,-0.1109706747745733,-0.1298403537689048,-0.07413742553218816,0.0203646977270531,0.0203646977270531,True,Decreciente,Estable,False,-0.0901651893485971,0.000440787698923098,-0.000440787698923098
Alamos,Benito Juarez,2026-06,0.0777942887878844,0.048827421920261495,0.0054907498431062,0.08215507061557704,0.028966866867622905,0.028966866867622905,True,Decreciente,Estable,False,0.0697829838670647,0.008011304920819695,0.008011304920819695
Algarin,Cuauhtemoc,2026-06,-0.1339184779442272,-0.10923750449751142,-0.1552654919001008,0.04402095252878668,0.024680973446715784,-0.024680973446715784,True,Creciente,Estable,False,-0.1513496610399609,0.017431183095733688,0.017431183095733688
Americas Unidas,Benito Juarez,2026-06,-0.1718064077648381,-0.19134514115160176,-0.22112547166523863,-0.16137251342015066,0.01953873338676365,0.01953873338676365,True,Decreciente,Estable,False,-0.1651486581170428,0.006657749647795308,-0.006657749647795308
Ampliacion Granada,Miguel Hidalgo,2026-06,-0.1040551673012059,-0.11333896322359059,-0.1555680933423315,-0.08545884291198422,0.009283795922384694,0.009283795922384694,True,Estable,Estable,True,-0.0936203742998294,0.010434793001376494,-0.010434793001376494
Ampliacion Napoles,Benito Juarez,2026-06,-0.1822882525704513,-0.1830137855708999,-0.20009772191257513,-0.14388432687745006,0.000725533000448586,0.000725533000448586,True,Estable,Estable,True,-0.1806413029360848,0.0016469496343665124,-0.0016469496343665124
Anahuac,Miguel Hidalgo,2026-06,0.2596492977270656,0.2940804642449622,0.21529335430126267,0.34452056271801473,0.03443116651789663,-0.03443116651789663,True,Estable,Decreciente,False,0.2985049817900748,0.03885568406300921,-0.03885568406300921
Anahuac I Seccion,Miguel Hidalgo,2026-06,-0.0361135514511469,-0.05017198479878971,-0.08489265952030874,-0.03069811984969428,0.014058433347642812,0.014058433347642812,True,Estable,Estable,True,-0.0491136498093631,0.013000098358216201,0.013000098358216201
Angel Zimbron,Azcapotzalco,2026-06,-0.1981334162165349,-0.20622024016358095,-0.23298444161329046,-0.2006369630551184,0.008086823947046046,0.008086823947046046,False,Estable,Estable,True,-0.2029798289064273,0.004846412689892388,0.004846412689892388
Anzures,Miguel Hidalgo,2026-06,0.1092275447835172,0.11291758808490032,0.08424231584197146,0.20267145185563037,0.003690043301383117,-0.003690043301383117,True,Estable,Estable,True,0.1131704447157815,0.003942899932264293,-0.003942899932264293
Atlampa,Cuauhtemoc,2026-06,-0.2179827999408708,-0.14768413694226998,-0.22762170653295224,-0.019296178228785585,0.07029866299860082,-0.07029866299860082,True,Creciente,Estable,False,-0.2280464277656692,0.010063627824798388,0.010063627824798388
Axotla,Alvaro Obregon,2026-06,-0.2424431829742039,-0.2529560084174272,-0.27250217084057726,-0.24398630830036092,0.010512825443223323,0.010512825443223323,False,Estable,Estable,True,-0.2468164419598022,0.004373258985598316,0.004373258985598316
Barrio San Lucas,Coyoacan,2026-06,-0.2946433262186533,-0.3109312932052919,-0.32822383268530425,-0.2885876237506985,0.01628796698663859,0.01628796698663859,True,Estable,Estable,True,-0.2983491759181728,0.003705849699519481,0.003705849699519481
Barrio la Concepcion,Coyoacan,2026-06,-0.2787301836238068,-0.2909922933645564,-0.3065645424312652,-0.28301511469881374,0.012262109740749594,0.012262109740749594,False,Estable,Estable,True,-0.2846572580416467,0.005927074417839906,0.005927074417839906
Bosque de Chapultepec,Miguel Hidalgo,2026-06,0.0207191006733048,0.012571009472349369,-0.016675083105233548,0.08606990030695126,0.008148091200955433,0.008148091200955433,True,Estable,Estable,True,0.0104808223178042,0.010238278355500601,0.010238278355500601
Buenavista,Cuauhtemoc,2026-06,0.4391786850924921,0.3916502369346998,0.29975268433905733,0.6505893838176586,0.04752844815779228,0.04752844815779228,True,Creciente,Creciente,True,0.3111624255940514,0.1280162594984407,0.1280162594984407
Centro,Cuauhtemoc,2026-06,1.541520733525072,1.5022685575360721,1.3671633154452818,1.813236832051798,0.03925217598899988,0.03925217598899988,True,Estable,Creciente,False,1.4890944730629008,0.05242626046217125,0.05242626046217125
Centro Urbano Presidente Aleman,Benito Juarez,2026-06,-0.2652472733457282,-0.27210313367810585,-0.30649584578081374,-0.222632420717077,0.006855860332377672,0.006855860332377672,True,Estable,Estable,True,-0.272697442502657,0.00745016915692881,0.00745016915692881
Ciudad de los Deportes,Benito Juarez,2026-06,-0.1893230917720204,-0.18437007633635463,-0.19804725537557905,-0.1275294464922022,0.0049530154356657585,-0.0049530154356657585,True,Estable,Estable,True,-0.1866184525477863,0.0027046392242340844,-0.0027046392242340844
Claveria,Azcapotzalco,2026-06,-0.1033155680938348,-0.11930650016971955,-0.15937173321958983,-0.09575375657411417,0.015990932075884756,0.015990932075884756,True,Estable,Estable,True,-0.1135750912713468,0.010259523177511998,0.010259523177511998
Condesa,Cuauhtemoc,2026-06,0.5438646248225965,0.5607115974920511,0.5475071565224131,0.7923715939099829,0.016846972669454674,-0.016846972669454674,False,Estable,Decreciente,False,0.5701576325403673,0.026293007717770878,-0.026293007717770878
Credito Constructor,Benito Juarez,2026-06,-0.2999519568730562,-0.3055981078584928,-0.3433647080495757,-0.23855771557209993,0.005646150985436582,0.005646150985436582,True,Estable,Estable,True,-0.3071609656564532,0.007209008783396975,0.007209008783396975
Cuauhtemoc,Cuauhtemoc,2026-06,1.439259534965335,1.2012046055088756,1.286884885774108,1.4293124838410878,0.23805492945645934,0.23805492945645934,False,Decreciente,Creciente,False,1.3108008950504833,0.12845863991485174,0.12845863991485174
Cuauhtemoc Pensil,Miguel Hidalgo,2026-06,-0.1712788960531398,-0.1916455715547688,-0.21617615935842946,-0.1654815409290504,0.02036667550162899,0.02036667550162899,True,Estable,Estable,True,-0.1844557603054288,0.013176864252288978,0.013176864252288978
Del Carmen,Coyoacan,2026-06,-0.0466834352632405,-0.07129645894792133,-0.0921034094474081,-0.015085093021034446,0.02461302368468083,0.02461302368468083,True,Decreciente,Decreciente,True,-0.0236626296687962,0.0230208055944443,-0.0230208055944443
Del Recreo,Azcapotzalco,2026-06,-0.2700788207099406,-0.2808201745981669,-0.29839113042884563,-0.2652463884327634,0.01074135388822628,0.01074135388822628,True,Estable,Estable,True,-0.2784361905960419,0.008357369886101307,0.008357369886101307
Del Valle Centro,Benito Juarez,2026-06,0.0687048966049848,0.08936486450782238,0.03677930189843083,0.10359471132815745,0.020659967902837584,-0.020659967902837584,True,Estable,Estable,True,0.0830000387128518,0.014295142107867004,-0.014295142107867004
Del Valle Norte,Benito Juarez,2026-06,0.4246620750144086,0.4267428018272626,0.37123154233954625,0.46375393281937366,0.0020807268128539835,-0.0020807268128539835,True,Decreciente,Decreciente,True,0.4481214004832156,0.02345932546880697,-0.02345932546880697
Del Valle Sur,Benito Juarez,2026-06,0.2601889396938521,0.2880236019022064,0.230774842110314,0.3199009275124436,0.02783466220835429,-0.02783466220835429,True,Estable,Decreciente,False,0.2892099116034419,0.0290209719095898,-0.0290209719095898
Del valle Centro,Benito Juarez,2026-06,-0.2097918966330432,-0.20768034169135924,-0.23309437062826385,-0.18587854460575734,0.0021115549416839685,-0.0021115549416839685,True,Estable,Estable,True,-0.209357037315258,0.0004348593177851967,-0.0004348593177851967
Doctores,Cuauhtemoc,2026-06,0.6295936458337696,0.6493807162281426,0.5474683252045329,0.8302574874231877,0.019787070394372996,-0.019787070394372996,True,Creciente,Creciente,True,0.6044905045695486,0.025103141264221085,0.025103141264221085
Escandon,Miguel Hidalgo,2026-06,0.4193370607035885,0.4770598761504158,0.38305356266721813,0.5018703941897822,0.05772281544682728,-0.05772281544682728,True,Estable,Decreciente,False,0.4845764462754714,0.06523938557188291,-0.06523938557188291
Extremadura Insurgentes,Benito Juarez,2026-06,-0.2281300067222014,-0.2234810801693072,-0.2455801250890558,-0.19964890688224737,0.0046489265528942,-0.0046489265528942,True,Estable,Estable,True,-0.2228501485900209,0.005279858132180515,-0.005279858132180515
