zone_id,colonia,alcaldia,n_estaciones,viajes_total_acumulados,possible_alias,possible_match,reason_unmatched
col_1fd836f8991b530f861257d28b0cb970,Agricola,Alvaro Obregon,1,56689.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_f884dc870afb59218eed6bb359ce0e0f,Guadalupe Chimalistac,Alvaro Obregon,2,338221.0,[],"{""crosswalk_labels"": [], ""name_candidates"": [{""zone_id"": ""col_cbef3a463b0b5bc2ac31e747b6721178"", ""colonia"": ""Guadalupe Inn"", ""similarity"": 0.647}]}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_debb68f1d0525506bae6ef15b9e39d2f,Hogar y Seguridad,Azcapotzalco,2,91584.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_b0071da2a8ad5c38b1d137c8dd21a966,Unidad Habitacional Cuitláhuac,Azcapotzalco,1,87454.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_49f6b5a0ab625bda9ca00f7acd601c17,Americas Unidas,Benito Juarez,3,381583.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_f8e6271a3b155d19906933df376c56d8,Ampliacion Napoles,Benito Juarez,4,543501.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_058b0a95e3e35746bf806f626cc29e3c,Del Valle Centro,Benito Juarez,15,2043085.0,"[""Del valle Centro""]","{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_cbe1b970a3525757af7647d6463839ff,Del Valle Norte,Benito Juarez,17,2993338.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_b311567e717b53408adc7485d395fbd0,Del Valle Sur,Benito Juarez,15,2382522.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_99820d9ec1005837855fcf0d7f8dcaf0,Narvarte Poniente,Benito Juarez,16,2497806.0,[],"{""crosswalk_labels"": [], ""name_candidates"": [{""zone_id"": ""col_fff7ee1276da58efb088edf2d4f0141e"", ""colonia"": ""Narvarte"", ""similarity"": 0.64}]}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_588e4e85b75a566e85b1e464fdd27b30,Portales Norte,Benito Juarez,2,417494.0,[],"{""crosswalk_labels"": [], ""name_candidates"": [{""zone_id"": ""col_e426afce41e3549e9144c6ee8c8047dc"", ""colonia"": ""Portales"", ""similarity"": 0.727}]}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_6e124db5b88b5695a72b6c82db5754cd,Santa Cruz Atoyac,Benito Juarez,7,1046789.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_c00d00bb38f656119c21216810bac6c9,Barrio San Lucas,Coyoacan,1,54228.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_bed54b5fa7b155169b5367f26e64ee77,Barrio la Concepcion,Coyoacan,2,118826.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_2d383baad6155258af666ad388181e00,Ampliacion Granada,Miguel Hidalgo,3,732661.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_3d725e14185a5c38a7d3e1cda93adc73,Anahuac I Seccion,Miguel Hidalgo,5,1072185.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_a4784e1d94d556b3b35e2f91d799fbf4,Bosque de Chapultepec,Miguel Hidalgo,3,1439876.0,[],"{""crosswalk_labels"": [], ""name_candidates"": [{""zone_id"": ""col_62bb8f5cf8d25a898a34208ad6dee465"", ""colonia"": ""San Miguel Chapultepec"", ""similarity"": 0.698}]}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_296d6268c64b5552821a2eebfad2256f,Lomas de Chapultepec Seccion III,Miguel Hidalgo,2,222959.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_bbdf83c90b8d5945967637dfe673bde4,Lomas de Chapultepec Seccion IV/Lomas Virreyes,Miguel Hidalgo,2,187245.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_333380f5322950cf9a22ac2947f13767,Lomas de Chapultepec Seccion V,Miguel Hidalgo,2,154397.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_7f4389bc274355ffaf821a5f6d5a33f1,Mariano Escobedo,Miguel Hidalgo,2,339400.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
col_cda58c28c9e35bd7b4c277287cc632da,Polanco Seccion I/ Los Morales,Miguel Hidalgo,1,183252.0,[],"{""crosswalk_labels"": [], ""name_candidates"": []}",no_exact_polygon_in_existing_geojson; candidates_unverified_no_merge
